country,district,indicator,CSI,FAR,POD,n_events
Uganda,ABIM,NDVI,0.5,0.16666666666666666,0.5555555555555556,9.0
Uganda,ABIM,EVI,0.6666666666666666,0.0,0.6666666666666666,9.0
Uganda,ABIM,rainfall_NASA_TRMM_3B43,0.6363636363636364,0.2222222222222222,0.7777777777777778,9.0
Uganda,ABIM,rainfall_JAXA_GSMaP,0.5,0.3333333333333333,0.6666666666666666,9.0
Uganda,ABIM,surface_temperature_daytime,0.0,1.0,0.0,9.0
Uganda,ABIM,surface_temperature_nighttime,0.0,1.0,0.0,9.0
Uganda,ABIM,evapotranspiration,0.7777777777777778,0.0,0.7777777777777778,9.0
Uganda,ABIM,rainfall_CHIRPS_FLDAS,0.6,0.14285714285714285,0.6666666666666666,9.0
Uganda,ABIM,SoilMoisture00_10cm,0.5555555555555556,0.0,0.5555555555555556,9.0
Uganda,ABIM,SoilMoisture10_40cm,0.1875,0.7,0.3333333333333333,9.0
Uganda,ABIM,SoilMoisture40_100cm,0.08333333333333333,0.8823529411764706,0.2222222222222222,9.0
Uganda,ABIM,SoilMoisture100_200cm,0.06666666666666667,0.8571428571428571,0.1111111111111111,9.0
Uganda,ABIM,SoilTemperature00_10cm,0.04,0.9411764705882353,0.1111111111111111,9.0
Uganda,ABIM,SoilTemperature10_40cm,0.0,1.0,0.0,9.0
Uganda,ABIM,SoilTemperature40_100cm,0.0,1.0,0.0,9.0
Uganda,ABIM,SoilTemperature100_200cm,0.0,1.0,0.0,9.0
Uganda,ABIM,air_temperature,0.0,1.0,0.0,9.0
Uganda,ABIM,wind_speed,0.0,1.0,0.0,9.0
Uganda,ABIM,SPEI_1month,0.13636363636363635,0.8125,0.3333333333333333,9.0
Uganda,ABIM,SPEI_2month,0.13043478260869565,0.8235294117647058,0.3333333333333333,9.0
Uganda,ABIM,SPEI_3month,0.125,0.8333333333333334,0.3333333333333333,9.0
Uganda,ABIM,SPEI_4month,0.08,0.8888888888888888,0.2222222222222222,9.0
Uganda,ABIM,SPEI_5month,0.11538461538461539,0.85,0.3333333333333333,9.0
Uganda,ABIM,SPEI_6month,0.125,0.8333333333333334,0.3333333333333333,9.0
Uganda,ABIM,SPEI_7month,0.08,0.8888888888888888,0.2222222222222222,9.0
Uganda,ABIM,SPEI_8month,0.08695652173913043,0.875,0.2222222222222222,9.0
Uganda,ABIM,SPEI_9month,0.08695652173913043,0.875,0.2222222222222222,9.0
