,station,location,Lon,Lat
0,F0001,Guelelinkoro,-8.550000190734863,11.149999618530273
1,F0002,Banankoro,-8.649999618530273,11.649999618530273
2,F0003,Bamako,-8.050000190734863,12.550000190734863
3,F0004,Koulikoro,-7.550000190734863,12.850000381469727
4,F0005,Mopti,-4.150000095367432,14.550000190734863
5,F0006,Dire,-3.3499999046325684,16.25
6,F0007,Gao,-0.05000000074505806,16.25
7,F0008,Sofara,-4.25,14.050000190734863
8,F0009,Douna,-5.949999809265137,13.149999618530273
9,F0010,Bougouni,-7.449999809265137,11.350000381469727
10,F0011,Pankourou,-6.550000190734863,11.449999809265137
11,F0012,Kayes,-11.350000381469727,14.350000381469727
12,F0013,BafingMakana,-10.350000381469727,12.449999809265137
