Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Housing Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall,sum_types_of_material,diff_housing_unit,percentage_,absolute_from_vulnerable_houses
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,City of Catbalogan (Capital),PH086005000,20602,10970,5929,289,218,2821,97,13,49,118,20504,98,0.150458447,3085
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Daram,PH086006000,8656,3089,2379,8,147,3000,13,0,2,4,8642,14,0.34934043,3019
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Gandara,PH086007000,7107,1841,1427,3,147,3671,6,1,5,3,7104,3,0.518721847,3685
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Hinabangan,PH086008000,2781,747,1372,31,24,566,22,0,6,4,2772,9,0.215728716,598
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Jiabong,PH086009000,3883,1186,1258,2,46,1382,4,0,1,0,3879,4,0.357566383,1387
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Marabut,PH086010000,3973,923,2751,30,14,212,17,1,11,7,3966,7,0.062279375,247
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Matuguinao,PH086011000,1441,126,641,1,5,666,0,0,2,0,1441,0,0.463566967,668
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Motiong,PH086012000,3040,896,1180,1,34,916,0,0,1,0,3028,12,0.302840159,917
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pagsanghan,PH086026000,1814,679,123,0,95,915,1,0,1,0,1814,0,0.505512679,917
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Paranas (Wright),PH086022000,6294,2037,2920,4,37,1275,16,0,1,1,6291,3,0.205531712,1293
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pinabacdao,PH086013000,3668,1003,1319,15,36,1268,3,0,3,6,3653,15,0.350396934,1280
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jorge,PH086025000,3450,885,1009,1,42,1487,2,1,5,7,3439,11,0.436464088,1501
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jose De Buan,PH086014000,1648,90,980,0,3,573,0,0,0,0,1646,2,0.348116646,573
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Sebastian,PH086015000,1672,668,607,9,15,348,7,0,5,4,1663,9,0.218881539,364
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Margarita,PH086016000,5611,1572,979,10,180,2819,21,5,8,2,5596,15,0.509292352,2850
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Rita,PH086017000,8828,2160,2772,152,89,3516,34,6,34,40,8803,25,0.411677837,3624
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santo Niño,PH086018000,2720,1110,386,1,188,1025,8,0,2,0,2720,0,0.380514706,1035
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tagapul-An,PH086024000,1873,757,351,0,61,695,3,1,0,0,1868,5,0.37366167,698
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Talalora,PH086019000,1669,485,438,2,45,698,1,0,0,0,1669,0,0.418813661,699
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tarangnan,PH086020000,5347,2158,633,19,216,2224,22,8,23,39,5342,5,0.432047922,2308
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Villareal,PH086021000,5943,1945,2094,55,56,1691,39,1,13,18,5912,31,0.297868742,1761
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Zumarraga,PH086023000,3251,1123,1173,0,58,890,0,0,3,0,3247,4,0.275023098,893
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Anahawan,PH086401000,1764,1087,372,26,16,213,11,13,12,14,1764,0,0.141723356,250
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Bontoc,PH086402000,6582,3798,2347,25,29,348,0,2,2,2,6553,29,0.053715855,352
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,City of Maasin (Capital),PH086407000,18532,11157,5686,22,109,1480,12,5,17,3,18491,41,0.081769509,1512
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinunangan,PH086403000,6925,4103,1803,3,76,919,2,0,1,2,6909,16,0.133738602,924
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinundayan,PH086404000,3037,1797,479,1,99,656,3,0,0,0,3035,2,0.217133443,659
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Libagon,PH086405000,3162,1705,1028,8,22,360,5,1,9,1,3139,23,0.119464798,375
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Liloan,PH086406000,5073,3107,1063,5,66,812,9,1,2,1,5066,7,0.162652981,824
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Limasawa,PH086419000,1364,844,79,2,168,263,6,0,0,0,1362,2,0.197503671,269
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Macrohon,PH086408000,6031,3519,1985,1,37,472,1,0,3,1,6019,12,0.079249045,477
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Malitbog,PH086409000,4312,2541,1412,2,11,318,0,0,1,4,4289,23,0.07530893,323
