Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Housing Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall,sum_types_of_material,diff_housing_unit,percentage_,absolute_from_vulnerable_houses
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Akbar,PH150708000,2560,441,1230,0,127,757,0,0,0,0,2555,5,0.2962818,757
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Al-Barka,PH150709000,3647,503,1853,1,24,1253,2,0,3,0,3639,8,0.345699368,1258
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,City of Lamitan (Capital),PH150702000,14751,4972,6284,24,103,3244,10,6,33,23,14699,52,0.225185387,3310
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Mohammad Ajul,PH150710000,2747,510,1218,7,10,991,5,0,1,1,2743,4,0.363835217,998
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Muhtamad,PH150712000,3921,347,1309,5,30,2215,3,0,5,6,3920,1,0.568622449,2229
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Lantawan,PH150703000,4440,667,1044,0,49,2674,3,0,0,0,4437,3,0.603335587,2677
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Maluso,PH150704000,6019,741,2648,2,70,2551,1,0,1,1,6015,4,0.424605154,2554
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Sumisip,PH150705000,7388,920,3463,17,27,2915,11,1,9,18,7381,7,0.40008129,2953
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tabuan-Lasa,PH150713000,3069,97,758,0,13,2201,0,0,0,0,3069,0,0.717171717,2201
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tipo-Tipo,PH150706000,3117,524,1465,0,11,1099,0,0,1,0,3100,17,0.35483871,1100
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tuburan,PH150707000,2985,630,1670,0,44,625,0,0,0,0,2969,16,0.210508589,625
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Ungkaya Pukan,PH150711000,3060,639,1630,2,22,749,10,0,1,4,3057,3,0.24991822,764
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bacolod-Kalawi (Bacolod Grande),PH153601000,2087,821,1034,1,62,158,0,0,0,0,2076,11,0.0761079,158
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balabagan,PH153602000,4685,1923,2460,1,24,271,0,1,3,2,4685,0,0.058911419,276
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balindong (Watu),PH153603000,3960,2161,1723,0,7,17,0,0,0,0,3908,52,0.004350051,17
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bayang,PH153604000,2517,1138,1248,2,8,101,0,1,0,0,2498,19,0.040432346,101
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Binidayan,PH153605000,2749,1001,1361,31,2,51,0,0,0,8,2454,295,0.02404238,59
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Buadiposo-Buntong,PH153633000,1550,812,621,0,1,114,0,0,0,1,1549,1,0.074241446,115
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bubong,PH153606000,2227,889,1331,2,0,3,0,0,0,0,2225,2,0.001348315,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bumbaran,PH153637000,1776,613,1109,0,3,49,0,0,0,0,1774,2,0.027621195,49
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Butig,PH153607000,2491,931,1546,0,2,11,0,0,0,0,2490,1,0.004417671,11
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Calanogas,PH153632000,1820,184,1552,4,0,66,0,1,0,1,1808,12,0.037057522,67
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ditsaan-Ramain,PH153624000,1976,971,914,3,3,84,0,0,1,0,1976,0,0.043016194,85
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ganassi,PH153609000,2390,744,1414,0,11,152,0,4,48,0,2373,17,0.0842815,200
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapai,PH153610000,1716,361,1327,0,12,16,0,0,0,0,1716,0,0.009324009,16
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapatagan,PH153639000,2456,397,1867,0,2,188,0,0,0,0,2454,2,0.076609617,188
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumba-Bayabao (Maguing),PH153611000,3336,1332,1806,0,1,189,0,0,0,0,3328,8,0.056790865,189
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbaca-Unayan,PH153641000,835,286,544,0,1,4,0,0,0,0,835,0,0.004790419,4
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbatan,PH153612000,2263,871,1340,1,2,41,0,0,0,0,2255,8,0.018181818,41
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbayanague,PH153636000,1782,758,969,0,5,49,0,0,0,0,1781,1,0.027512633,49
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Madalum,PH153613000,3332,745,2059,0,8,409,0,0,1,0,3222,110,0.127250155,410
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Madamba,PH153614000,2263,324,1599,0,3,321,0,0,0,0,2247,16,0.142857143,321
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Maguing,PH153634000,2954,1655,1157,2,7,80,0,0,0,15,2916,38,0.032578875,95
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Malabang,PH153615000,6172,1786,3983,8,11,346,2,1,8,10,6155,17,0.059463851,366
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Marantao,PH153616000,4083,2561,1381,0,29,96,0,3,0,0,4070,13,0.023587224,96
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,City of Marawi (Capital),PH153617000,20121,11652,7596,12,33,623,24,1,4,10,19955,166,0.03312453,661
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Marogong,PH153631000,2790,387,2327,0,1,75,0,0,0,0,2790,0,0.02688172,75
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Masiu,PH153618000,3022,1409,1564,0,5,42,0,1,0,0,3021,1,0.013902681,42
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Mulondo,PH153619000,1161,646,499,0,0,3,0,0,0,0,1148,13,0.00261324,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Pagayawan (Tatarikan),PH153620000,1331,211,1051,1,1,53,0,0,0,0,1317,14,0.040242976,53
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Piagapo,PH153621000,3756,678,3041,0,0,31,0,0,0,0,3750,6,0.008266667,31
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Picong (Sultan Gumander),PH153635000,2342,579,1297,1,9,343,4,3,35,67,2338,4,0.192044482,449
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Poona Bayabao (Gata),PH153622000,2469,1032,1422,0,0,2,0,0,0,0,2456,13,0.000814332,2
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Pualas,PH153623000,1415,481,897,2,1,22,0,0,2,0,1405,10,0.017081851,24
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Saguiaran,PH153625000,2275,1058,1157,0,0,30,0,0,17,0,2262,13,0.020778073,47
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Sultan Dumalondong,PH153640000,1223,220,984,0,0,3,0,0,0,0,1207,16,0.002485501,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Tagoloan Ii,PH153638000,1283,83,1140,0,6,42,0,0,0,0,1271,12,0.033044847,42
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Tamparan,PH153626000,2022,1205,652,0,4,134,0,0,1,0,1996,26,0.067635271,135
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Taraka,PH153627000,1987,1455,526,0,0,5,0,0,0,0,1986,1,0.002517623,5
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Tubaran,PH153628000,1685,466,866,0,1,348,0,1,0,0,1682,3,0.206896552,348
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Tugaya,PH153629000,2170,1139,1028,0,0,3,0,0,0,0,2170,0,0.001382488,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Wao,PH153630000,8900,2801,5944,4,1,101,0,0,0,0,8851,49,0.01141114,101
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Ampatuan,PH153801000,3910,1544,771,0,100,1486,0,0,2,0,3903,7,0.381245196,1488
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Barira,PH153818000,4485,922,3113,0,8,436,0,0,1,0,4480,5,0.097544643,437
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Buldon,PH153802000,5540,884,3881,2,25,726,2,0,5,1,5526,14,0.132826638,734
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Buluan,PH153803000,7281,3062,1403,2,388,2387,0,0,0,0,7242,39,0.329605081,2387
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Abdullah Sangki,PH153828000,3768,1009,995,1,106,1568,0,1,0,0,3680,88,0.426086957,1568
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Anggal Midtimbang,PH153831000,3796,1447,1427,0,18,878,0,0,1,0,3771,25,0.23309467,879
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Blah T. Sinsuat,PH153830000,3839,326,863,0,16,2294,258,0,3,25,3785,54,0.681638045,2580
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Hoffer Ampatuan,PH153835000,4308,856,571,0,166,2708,0,0,0,0,4301,7,0.629621018,2708
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Odin Sinsuat (Dinaig),PH153807000,16943,6111,5471,36,273,4695,40,7,80,155,16868,75,0.29464074,4970
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Paglas,PH153805000,4642,1503,994,4,88,1996,4,0,0,0,4589,53,0.435824798,2000
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Piang,PH153806000,4167,1039,2237,0,27,805,1,1,8,0,4118,49,0.197668771,814
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Salibo,PH153836000,2597,316,1093,0,1,1067,7,0,9,12,2505,92,0.437125749,1095
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Saudi-Ampatuan,PH153826000,4354,1015,2071,0,25,1205,0,1,2,0,4319,35,0.279462839,1207
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Unsay,PH153827000,1769,378,298,0,35,1056,1,0,0,1,1769,0,0.59807801,1058
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Gen. S.K. Pendatun,PH153819000,4167,1039,765,3,94,2211,43,0,9,1,4165,2,0.543577431,2264
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Guindulungan,PH153825000,2992,1105,403,0,30,1453,0,0,1,0,2992,0,0.485962567,1454
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Kabuntalan (Tumbao),PH153814000,2401,343,1578,0,24,420,6,1,25,2,2399,2,0.188828679,453
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Mamasapano,PH153820000,3915,1116,1514,0,54,1214,1,2,4,8,3913,2,0.313570151,1227
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Mangudadatu,PH153832000,3836,622,766,0,66,2376,0,0,0,0,3830,6,0.620365535,2376
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Matanog,PH153809000,4524,902,2984,16,11,438,0,13,2,146,4512,12,0.129875887,586
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Northern Kabuntalan,PH153834000,3069,946,1520,1,15,567,6,2,3,4,3064,5,0.189295039,580
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pagagawan,PH153822000,5608,1000,1328,3,75,3175,4,0,1,21,5607,1,0.570893526,3201
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pagalungan,PH153810000,6738,1594,1144,121,423,2911,90,6,77,356,6722,16,0.510859863,3434
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Paglat,PH153823000,2455,666,375,6,69,1300,13,0,1,5,2435,20,0.541683778,1319
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pandag,PH153833000,3906,1174,513,1,95,2118,0,1,0,0,3902,4,0.542798565,2118
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Parang,PH153811000,15262,6790,6633,22,103,1572,8,1,13,2,15144,118,0.10532224,1595
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Rajah Buayan,PH153829000,3768,1370,619,0,164,1607,0,0,0,0,3760,8,0.427393617,1607
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Shariff Aguak (Maganoy) (Capital),PH153808000,4812,1808,1477,0,243,1219,12,0,2,1,4762,50,0.259134817,1234
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Shariff Saydona Mustapha,PH153837000,3568,426,767,0,51,2313,0,0,1,2,3560,8,0.650561798,2316
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,South Upi,PH153817000,7418,608,2241,1,40,4475,22,0,4,1,7392,26,0.609036797,4502
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Kudarat (Nuling),PH153812000,15331,4067,6828,11,109,4129,40,8,12,38,15242,89,0.276800945,4219
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Mastura,PH153824000,3832,2136,956,10,58,665,1,0,0,0,3826,6,0.174072138,666
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Sa Barongis (Lambayong),PH153813000,3515,865,179,1,295,2162,3,1,0,0,3506,9,0.617512835,2165
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Talayan,PH153816000,4244,1252,1467,0,117,1405,0,0,2,0,4243,1,0.331604996,1407
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Talitay,PH153821000,2390,381,1063,2,23,915,0,0,2,0,2386,4,0.384325231,917
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Upi,PH153815000,10879,2108,5197,13,30,3248,5,0,9,4,10614,265,0.307706802,3266
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Hadji Panglima Tahil (Marunggas),PH156606000,1091,7,454,2,9,606,11,0,1,0,1090,1,0.566972477,618
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Indanan,PH156601000,13848,1880,4998,2,101,6756,0,2,17,16,13772,76,0.492956724,6789
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Jolo (Capital),PH156602000,18644,5373,9391,9,83,3368,2,23,136,13,18398,246,0.19127079,3519
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Kalingalan Caluang,PH156603000,5535,143,4008,0,36,1331,0,0,0,0,5518,17,0.241210584,1331
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Lugus,PH156617000,3831,86,1443,0,10,2287,0,0,1,0,3827,4,0.59785733,2288
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Luuk,PH156604000,5279,453,2408,1,104,2298,3,0,5,2,5274,5,0.437618506,2308
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Maimbung,PH156605000,6346,173,2599,1,26,3431,0,0,2,0,6232,114,0.550866496,3433
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Old Panamao,PH156607000,6234,410,2787,0,30,2863,0,1,38,7,6136,98,0.473924381,2908
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Omar,PH156619000,4367,135,2251,0,8,1961,0,0,2,0,4357,10,0.450539362,1963
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pandami,PH156618000,4870,269,1731,0,54,2807,4,0,0,0,4865,5,0.577800617,2811
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Panglima Estino (New Panamao),PH156616000,4064,293,1732,0,28,1949,1,0,0,0,4003,61,0.487134649,1950
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pangutaran,PH156608000,5235,440,2557,0,23,2208,1,0,1,0,5230,5,0.422562141,2210
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Parang,PH156609000,9613,1084,4348,0,45,4051,0,0,4,0,9532,81,0.425409148,4055
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pata,PH156610000,3580,187,1025,0,46,2316,0,0,1,0,3575,5,0.648111888,2317
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Patikul,PH156611000,10854,2459,5449,0,44,2792,1,2,4,2,10753,101,0.260299451,2799
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Siasi,PH156612000,12195,861,3754,0,106,7321,7,0,1,0,12050,145,0.608215768,7329
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Talipao,PH156613000,12190,486,7557,1,60,3842,2,0,4,0,11952,238,0.321954485,3848
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Tapul,PH156614000,3123,69,478,0,13,2485,19,0,1,2,3067,56,0.817411151,2507
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Tongkil,PH156615000,4184,150,1779,0,49,2206,0,0,0,0,4184,0,0.527246654,2206
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Bongao (Capital),PH157002000,16539,3451,10798,16,31,2187,5,2,20,8,16518,21,0.134398838,2220
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Languyan,PH157009000,5051,114,2525,1,12,2301,31,0,2,2,4988,63,0.468323978,2336
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Mapun (Cagayan De Tawi-Tawi),PH157003000,4008,548,2042,2,50,1285,6,1,1,2,3937,71,0.328676657,1294
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Panglima Sugala (Balimbing),PH157001000,6433,279,4172,0,20,1918,0,0,0,0,6389,44,0.300203475,1918
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Sapa-Sapa,PH157010000,4770,232,3189,0,5,1338,1,0,0,0,4765,5,0.281007345,1339
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Sibutu,PH157011000,3910,694,2941,0,10,241,0,0,0,0,3886,24,0.062017499,241
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Simunul,PH157004000,3205,935,1682,1,16,555,1,0,1,0,3191,14,0.174553432,557
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Sitangkai,PH157005000,5331,230,4117,1,10,967,3,0,1,1,5330,1,0.182363977,972
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,South Ubian,PH157006000,3707,144,2846,0,4,708,0,0,0,0,3702,5,0.191247974,708
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Tandubas,PH157007000,3902,246,3026,0,5,621,0,1,0,0,3899,3,0.159271608,621
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-Tawi,PH157000000,Turtle Islands,PH157008000,782,56,65,0,7,650,0,0,2,2,782,0,0.836317136,654
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bangued (Capital),PH140101000,10787,9253,1269,11,12,201,2,0,1,2,10751,36,0.019161008,206
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Boliney,PH140102000,758,391,349,1,1,7,0,0,0,0,749,9,0.009345794,7
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucay,PH140103000,3813,2952,720,4,3,97,1,0,1,0,3778,35,0.026204341,99
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucloc,PH140104000,435,257,163,0,1,5,0,0,0,0,426,9,0.011737089,5
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Daguioman,PH140105000,375,241,129,0,0,4,0,0,0,0,374,1,0.010695187,4
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Danglas,PH140106000,873,630,206,0,1,31,0,0,0,0,868,5,0.035714286,31
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Dolores,PH140107000,2484,1756,639,0,1,74,0,0,0,0,2470,14,0.029959514,74
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,La Paz,PH140108000,3325,2322,862,26,4,66,0,0,1,2,3283,42,0.021017362,69
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lacub,PH140109000,647,276,354,1,0,11,0,0,0,0,642,5,0.017133956,11
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lagangilang,PH140110000,3048,2193,759,1,3,66,0,0,0,0,3022,26,0.021839841,66
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lagayan,PH140111000,932,459,396,0,0,64,0,0,0,0,919,13,0.069640914,64
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Langiden,PH140112000,660,485,83,0,9,59,0,0,0,0,636,24,0.092767296,59
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Licuan-Baay (Licuan),PH140113000,943,486,440,0,0,10,0,0,0,0,936,7,0.010683761,10
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Luba,PH140114000,1358,953,382,0,0,13,0,0,0,1,1349,9,0.010378058,14
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Malibcong,PH140115000,743,257,474,0,0,9,0,0,0,0,740,3,0.012162162,9
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Manabo,PH140116000,2410,1936,414,3,1,20,1,1,0,0,2376,34,0.008838384,21
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Peñarrubia,PH140117000,1463,1064,291,0,1,91,0,0,0,0,1447,16,0.062888735,91
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Pidigan,PH140118000,2600,2108,456,1,4,18,0,0,0,0,2587,13,0.006957866,18
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Pilar,PH140119000,2262,1366,851,0,4,27,0,0,0,0,2248,14,0.012010676,27
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Sallapadan,PH140120000,1341,854,389,0,26,68,0,0,0,0,1337,4,0.050860135,68
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Isidro,PH140121000,1054,625,399,1,2,21,0,0,0,0,1048,6,0.020038168,21
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Juan,PH140122000,2157,1474,543,0,2,133,0,0,0,0,2152,5,0.061802974,133
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Quintin,PH140123000,1239,1055,138,0,3,38,0,0,0,0,1234,5,0.030794165,38
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tayum,PH140124000,3016,2249,570,3,8,167,0,0,1,0,2998,18,0.056037358,168
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tineg,PH140125000,830,58,675,0,1,88,1,0,1,1,825,5,0.11030303,91
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tubo,PH140126000,982,786,193,0,0,2,0,0,0,0,981,1,0.002038736,2
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Villaviciosa,PH140127000,1058,701,313,0,1,33,0,0,0,0,1048,10,0.03148855,33
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Calanasan (Bayag),PH148101000,2382,885,1305,0,10,174,1,1,2,0,2378,4,0.074432296,177
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Conner,PH148102000,5466,2722,2294,4,7,427,0,0,0,3,5457,9,0.078797874,430
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Flora,PH148103000,4042,2103,1600,3,10,308,2,0,1,1,4028,14,0.077457795,312
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Kabugao (Capital),PH148104000,3130,1258,1536,5,9,312,1,0,0,0,3121,9,0.100288369,313
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Luna,PH148105000,4129,2695,727,1,92,593,1,1,1,3,4114,15,0.145357316,598
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Pudtol,PH148106000,3158,1821,874,12,13,419,9,1,1,5,3155,3,0.137559429,434
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Santa Marcela,PH148107000,3111,2156,638,2,23,280,1,0,0,3,3103,8,0.091524331,284
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Atok,PH141101000,4332,4077,230,3,2,17,0,0,0,0,4329,3,0.003927004,17
