district,station,pcode
Amuria,G5196,21UGA013001
Amuria,G6106,21UGA013001
Bukedea,G5200,unknown
Butaleja,F0032,21UGA003003
Gulu,F0037,21UGA001003
Kaabong,F0042,21UGA008003
Kamwenge,F0036,21UGA014004
Kanungu,F0038,21UGA009002
Katakwi,F0034,21UGA013005
Katakwi,G5196,21UGA013005
Katakwi,G5200,21UGA013005
Katakwi,G6106,21UGA013005
Kotido,F0042,21UGA008004
Kumi,G5200,21UGA013006
Mbarara,F0035,unknown
Napak,G6106,21UGA008008
Ntoroko,F0040,21UGA014008
Serere,F0034,21UGA013008
Soroti,F0034,21UGA013009
Tororo,F0032,21UGA003007
