source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://www.newvision.co.ug/news/649448-gulu-school-closed-again-over-floods.html,Gulu,15/11/2013,4,M,,,1
OPM,GULU,01/09/2014,6,M,,,1
http://www.monitor.co.ug/News/National/Residents-uproot-cassava-in-fear-of-floods/-/688334/2453470/-/f3fyxp/-/index.html,Gulu,16/09/2014,4,M,,,1
OPM,GULU,01/02/2017,4,M,,,1
Letter from SAS/MSRDP & R,KAABONG,02/06/2002,6,L,,,1
https://reliefweb.int/disaster/ms-2011-000110-uga,Kaabong,11/08/2011,7,H,6400,7,1
NEWVISION,KAABONG,03/09/2011,4,L,,,1
OPM,KAABONG,01/04/2012,4,L,,,1
OPM,KAABONG,01/06/2012,4,L,,,1
Daily Monitor News Paper,KAABONG,01/04/2013,4,L,,,1
OPM,KAABONG,11/06/2013,6,L,,,1
New Vision ,KABALE,16/05/1989,4,L,,1,1
New Vision,KABALE,02/11/1992,4,L,,,1
New Vision,KABALE,07/09/1996,4,L,,,1
http://www.newvision.co.ug/news/454683-floods-hit-east-africa.html,Kabale,12/06/2006,4,L,,,1
http://www.monitor.co.ug/News/-/688324/793288/-/bpumaj/-/index.html,Kabale,10/05/2007,4,L,,,1
District Files,KABALE,05/02/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/KaroliSsemogerere/-/878682/820600/-/bkjvok/-/index.html,Kabale,12/10/2009,4,L,,,1
https://www.newvision.co.ug/new_vision/news/1200891/flood-ravages-kabale-hills-bear,Kabale,01/11/2009,2,H,,6,1
Letter Ref: HRM/28/65/01 from CAO-Kabale,KABALE,25/12/2009,4,L,,,1
New Vision,KABALE,03/03/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/898778/-/agbqtjz/-/index.html,Kabale,14/04/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/873306/-/ahnej4z/-/index.html,Kabale,03/05/2010,4,L,,,1
Report from Kabale District in File,KABALE,15/05/2010,4,L,,,1
http://www.newvision.co.ug/news/619112-kabale-landslide-kills-university-student.html,Kabale,17/05/2010,4,L,,,1
http://www.newvision.co.ug/news/619020-rains-weaken-kabale-soils.html,Kabale,18/05/2010,4,L,,,1
Letter Ref: ADM/23/279/02 from CAO-Kabale,KABALE,19/05/2010,4,L,,,1
http://www.newvision.co.ug/news/618494-bududa-gets-kigezi-relief.html,Kabale,25/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/874564/-/wj6rgs/-/index.html,Kabale,03/07/2010,4,L,,,1
http://www.monitor.co.ug/Magazines/Farming/-/689860/1005352/-/2q1n1uz/-/index.html,Kabale,09/08/2010,4,L,,,1
http://www.monitor.co.ug/Magazines/Farming/-/689860/1079796/-/2ln09hz/-/index.html,Kabale,29/12/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1229654/-/12ryiotz/-/index.html,Kabale,09/03/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1131980/-/c3eo31z/-/index.html,Kabale,24/03/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/CharlesOnyangoObbo/-/878504/1227964/-/hoiv3u/-/index.html,Kabale,31/08/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1232962/-/bjb92tz/-/index.html,Kabale,09/09/2011,4,L,,,1
http://www.newvision.co.ug/news/940-3-killed-in-kisoro-landslides.html,Kabale,19/09/2011,4,L,,,1
http://www.newvision.co.ug/news/315705-3-killed-in-kisoro-landslides.html,Kabale,20/09/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1276950/-/12oxttiz/-/index.html,Kabale,22/11/2011,4,L,,,1
http://www.monitor.co.ug/News/National/Government-to-relocate-400-000-people-from-Mt--Elgon/-/688334/1436052/-/tntoom/-/index.html,Kabale,26/06/2012,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/The-kasese-river-that-got-angry/-/691232/1851156/-/2b1210z/-/index.html,Kabale,14/05/2013,4,L,,,1
