County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;magnitude_impact;date_recorded
Baringo;NA;NA;7;0;0;0;0;0;1;2002/05/13
Tana River;NA;NA;0;0;0;0;0;27000;1;2002/05/13
Baringo;NA;NA;10;0;0;0;0;0;1;2002/05/14
Bungoma;NA;NA;1;0;0;0;0;0;1;2002/05/14
Busia;NA;NA;2;0;0;0;0;0;1;2002/05/14
Elgeyo-Mar;NA;NA;1;0;0;0;0;0;1;2002/05/14
Embu;NA;NA;6;0;0;0;0;0;1;2002/05/14
Kakamega;NA;NA;1;0;0;0;0;0;1;2002/05/14
Kericho;NA;NA;1;0;0;0;0;0;1;2002/05/14
Kiambu;NA;NA;1;0;0;0;0;0;1;2002/05/14
Kirinyaga;NA;NA;1;0;0;0;0;0;1;2002/05/14
Kisii;NA;NA;1;0;0;0;0;0;1;2002/05/14
Kisumu;NA;NA;3;4;0;0;0;0;1;2002/05/14
Kitui;NA;NA;1;0;0;0;0;0;1;2002/05/14
Laikipia;NA;NA;1;0;0;0;0;0;1;2002/05/14
Machakos;NA;NA;1;0;0;0;0;0;1;2002/05/14
Meru;NA;NA;10;3;0;0;0;0;1;2002/05/14
Meru;NA;NA;2;0;0;0;0;0;1;2002/05/14
Meru;NA;NA;1;0;0;0;0;0;1;2002/05/14
Nairobi;NA;NA;6;0;0;0;0;0;1;2002/05/14
Nairobi;NA;NA;3;0;0;0;0;0;1;2002/05/14
Nairobi;NA;NA;1;0;0;0;0;0;1;2002/05/14
Nakuru;NA;NA;1;0;0;0;0;0;1;2002/05/14
Turkana;NA;NA;3;0;0;0;0;0;1;2002/05/14
Uasin Gish;NA;NA;6;4;0;0;0;0;1;2002/05/14
Uasin Gish;NA;NA;1;0;0;0;0;0;1;2002/05/14
Siaya;NA;NA;3;0;0;0;0;0;1;2002/05/15
Siaya;NA;NA;0;0;27;0;0;0;1;2003/09/07
West Pokot;NA;NA;11;15;0;0;0;0;1;2005/11/14
Kisumu;NA;NA;0;0;47;0;0;0;1;2009/12/27
Mombasa;NA;NA;0;0;15;0;0;22;1;2006/05/21
Isiolo;NA;NA;3;0;0;354;0;0;1;2006/10/26
Isiolo;NA;NA;4;2;355;0;0;0;1;2006/10/27
Kilifi;NA;NA;0;0;15;0;0;0;1;2006/10/27
Kwale;NA;NA;4;0;0;0;0;0;1;2006/10/27
Kwale;NA;NA;0;0;67;0;0;0;1;2006/10/27
Mombasa;NA;NA;0;0;2;0;0;0;1;2006/10/27
Mombasa;NA;NA;0;0;5;0;0;0;1;2006/10/27
Turkana;NA;NA;2;0;105;0;105;0;1;2006/10/27
Isiolo;NA;NA;4;0;0;0;355;0;1;2006/11/10
Isiolo;NA;NA;7;4;0;0;0;0;1;2007/01/13
Taita Tave;NA;NA;2;0;0;0;0;0;1;2008/03/20
Kilifi;NA;NA;0;17;0;4;0;0;1;2008/06/01
Kwale;NA;NA;0;0;4;0;0;0;1;2008/06/01
Mombasa;NA;NA;1;0;200;0;0;0;1;2008/06/01
Murang'a;NA;NA;16;0;0;0;0;0;1;2008/06/13
Turkana;NA;NA;17;0;0;0;0;0;1;2008/10/07
Mandera;NA;NA;3;0;0;0;0;0;1;2008/10/14
Murang'a;NA;NA;0;0;2;0;0;0;1;2008/11/07
West Pokot;NA;NA;14;16;0;0;0;0;1;2008/11/10
Busia;NA;NA;0;0;3;0;0;0;1;2008/11/13
Machakos;NA;NA;10;0;0;0;0;0;1;2008/11/13
Makueni;NA;NA;2;0;0;0;0;0;1;2008/11/13
Uasin Gish;NA;NA;1;0;0;0;0;0;1;2008/11/13
Kisumu;NA;NA;0;0;12;0;0;0;1;2009/12/27
Trans Nzoi;NA;NA;0;0;500;0;0;0;1;2009/05/01
West Pokot;NA;NA;0;0;367;0;0;0;1;2009/05/01
Kisumu;NA;NA;0;0;3;0;0;0;1;2010/01/14
Lamu;NA;NA;0;0;160;0;0;0;1;2009/10/28
Mandera;NA;NA;0;0;300;2000;0;0;1;2009/10/28
Murang'a;NA;NA;0;0;230;0;0;0;1;2009/10/28
Kilifi;NA;NA;2;0;466;0;0;0;1;2009/11/01
Kilifi;NA;NA;2;0;0;0;0;0;1;2009/11/01
Kilifi;NA;NA;2;0;0;0;0;0;1;2009/11/02
Uasin Gish;NA;NA;1;0;2;0;0;0;1;2009/11/03
Narok;NA;NA;1;0;0;0;0;0;1;2009/12/09
Nairobi;NA;NA;0;0;60;0;0;0;1;2009/12/22
Nairobi;NA;NA;4;0;0;0;0;0;1;2009/12/23
Narok;NA;NA;1;0;0;0;0;0;1;2009/12/24
Kajiado;NA;NA;8;0;4;10;0;0;1;2009/12/25
Siaya;NA;NA;5;0;101;0;0;0;1;2009/12/27
Turkana;NA;NA;5;0;150;0;0;0;1;2009/12/27
West Pokot;NA;NA;0;0;60;0;0;0;1;2009/12/27
West Pokot;NA;NA;0;0;60;0;0;0;1;2009/12/27
Kajiado;NA;NA;3;0;0;0;0;0;1;2009/12/28
Narok;NA;NA;3;0;0;0;0;0;1;2009/12/28
Kajiado;NA;NA;4;0;0;0;0;0;1;2010/01/01
Machakos;NA;NA;2;0;0;0;0;0;1;2010/01/01
Nakuru;NA;NA;3;0;509;0;0;0;1;2010/01/01
Baringo;NA;NA;1;0;100;0;0;0;1;2010/01/02
Baringo;NA;NA;0;0;196;0;0;0;1;2010/01/02
Lamu;NA;NA;0;0;14;0;0;0;1;2010/01/03
Murang'a;NA;NA;0;0;85;0;0;0;1;2010/01/03
Nyandarua;NA;NA;0;0;35;0;0;0;1;2010/01/03
Turkana;NA;NA;2;0;0;0;0;0;1;2010/01/03
Laikipia;NA;NA;1;0;0;0;0;0;1;2010/01/04
Nakuru;NA;NA;4;0;0;0;0;0;1;2010/01/04
Turkana;NA;NA;5;0;0;0;0;0;1;2010/01/04
Kitui;NA;NA;0;0;6;0;0;0;1;2010/01/06
Narok;NA;NA;0;0;75;0;0;0;1;2010/01/06
Turkana;NA;NA;4;0;100;0;0;0;1;2010/01/08
Baringo;NA;NA;0;0;122;0;0;0;1;2010/01/10
Baringo;NA;NA;0;0;67;0;0;0;1;2010/01/10
Baringo;NA;NA;0;0;118;0;0;0;1;2010/01/10
Baringo;NA;NA;0;0;23;0;0;0;1;2010/01/10
Nakuru;NA;NA;4;0;0;0;0;0;1;2010/01/10
West Pokot;NA;NA;1;0;60;0;0;0;1;2010/01/10
Kisumu;NA;NA;0;0;215;0;0;0;1;2010/05/02
Kisumu;NA;NA;0;0;100;0;0;0;1;2010/05/11
Makueni;NA;NA;0;0;10;0;0;0;1;2010/01/14
Siaya;NA;NA;3;0;0;0;0;0;1;2010/01/14
Nakuru;NA;NA;3;0;0;0;0;0;1;2010/03/02
Kajiado;NA;NA;2;0;0;0;0;0;1;2010/03/03
Isiolo;NA;NA;0;0;200;0;0;0;1;2010/03/04
Marsabit;NA;NA;0;0;420;0;0;0;1;2010/03/09
Turkana;NA;NA;3;0;0;0;0;0;1;2010/03/19
Kilifi;NA;NA;0;0;97;66;0;0;1;2010/03/21
Murang'a;NA;NA;0;0;25;0;0;0;1;2010/03/21
West Pokot;NA;NA;2;0;0;0;0;0;1;2010/03/28
Uasin Gish;NA;NA;1;0;2;0;0;0;1;2010/04/04
Narok;NA;NA;5;0;0;0;0;0;1;2010/04/07
Marsabit;NA;NA;2;0;120;0;0;0;1;2010/04/20
Samburu;NA;NA;1;0;0;0;0;0;1;2010/05/02
Marsabit;NA;NA;0;0;280;0;0;0;1;2010/05/03
Homa Bay;NA;NA;0;0;4;0;0;0;1;2010/05/05
Homa Bay;NA;NA;2;0;0;0;0;0;1;2010/05/06
Kajiado;Kajiado North;NA;1;0;0;0;0;0;1;2010/05/09
Turkana;NA;NA;4;0;0;0;0;0;1;2010/05/10
Turkana;NA;NA;3;0;0;0;0;0;1;2010/05/10
Samburu;NA;NA;10;0;0;0;0;0;1;2010/05/15
Kiambu;NA;NA;0;0;2;0;0;0;1;2010/05/16
Murang'a;NA;NA;0;0;30;0;0;0;1;2010/05/21
Kilifi;NA;NA;0;0;354;0;0;0;1;2010/05/22
Murang'a;NA;NA;0;0;138;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;172;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;136;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;86;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;127;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;112;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;107;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;82;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;60;0;0;0;1;2010/05/25
Murang'a;NA;NA;0;0;39;0;0;0;1;2010/05/25
Turkana;NA;NA;0;0;156;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;187;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;289;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;174;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;240;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;198;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;874;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;334;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;580;0;0;0;1;2010/07/01
Turkana;NA;NA;0;0;191;0;0;0;1;2010/07/01
Trans Nzoi;NA;NA;1;0;0;0;0;0;1;2010/09/03
Trans Nzoi;NA;NA;0;0;40;0;0;0;1;2010/09/03
