Region,PCODE_REG,Province,PCODE_PROV,City_Municipality,PCODE_MUN_CTY,Total # of Active HHs,housing_unit,
Region IV-A (CALABARZON),PH040000000,LAGUNA,PH043400000,CITY OF SANTA ROSA,PH043428000,"2,192",94323,0.023239295
Region IV-A (CALABARZON),PH040000000,LAGUNA,PH043400000,SINILOAN,PH043429000,843,8315,0.101383043
Region IV-A (CALABARZON),PH040000000,LAGUNA,PH043400000,VICTORIA,PH043430000,"1,178",10362,0.113684617
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,AGDANGAN,PH045601000,594,3156,0.188212928
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,ALABAT,PH045602000,744,3539,0.210228878
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,ATIMONAN,PH045603000,"2,018",14422,0.139925114
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,BUENAVISTA,PH045605000,"2,478",6754,0.366893693
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,BURDEOS,PH045606000,"2,161",5634,0.383564075
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,CALAUAG,PH045607000,"4,646",16451,0.282414443
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,CANDELARIA,PH045608000,"2,042",26841,0.076077642
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,CATANAUAN,PH045610000,"4,362",15231,0.2863896
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,DOLORES,PH045615000,684,6463,0.105833204
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,GENERAL LUNA,PH045616000,"1,888",5666,0.333215672
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,GENERAL NAKAR,PH045617000,"2,162",6357,0.34009753
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,GUINAYANGAN,PH045618000,"3,169",10189,0.31102169
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,GUMACA,PH045619000,"2,425",17334,0.139898465
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,INFANTA,PH045620000,"2,394",16209,0.147695725
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,JOMALIG,PH045621000,724,1522,0.475689882
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,"5,064",20674,0.244945342
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,LUCBAN,PH045623000,643,11342,0.056691941
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,CITY OF LUCENA (Capital),PH045624000,"5,576",57743,0.096565818
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,MACALELON,PH045625000,"1,884",5921,0.318189495
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,MAUBAN,PH045627000,"3,023",14682,0.205898379
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,MULANAY,PH045628000,"4,338",11589,0.374320476
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PADRE BURGOS,PH045629000,"1,352",5166,0.261711189
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PAGBILAO,PH045630000,"1,619",17130,0.094512551
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PANUKULAN,PH045631000,"1,565",2890,0.541522491
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PATNANUNGAN,PH045632000,"1,589",3279,0.484598963
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PEREZ,PH045633000,"1,124",2758,0.407541697
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PITOGO,PH045634000,"1,415",5046,0.280420135
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,PLARIDEL,PH045635000,476,2249,0.211649622
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,POLILLO,PH045636000,"1,743",6915,0.252060738
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,QUEZON,PH045637000,"1,059",3654,0.289819376
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,REAL,PH045638000,"1,665",7955,0.209302326
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SAMPALOC,PH045639000,343,2988,0.114792503
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SAN ANDRES,PH045640000,"2,421",8643,0.280111073
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SAN ANTONIO,PH045641000,"1,503",7290,0.20617284
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SAN FRANCISCO (AURORA),PH045642000,"4,512",13871,0.325282964
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SAN NARCISO,PH045644000,"3,120",10638,0.293288212
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,SARIAYA,PH045645000,"4,064",34174,0.118920817
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,TAGKAWAYAN,PH045646000,"2,797",11627,0.240560764
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,CITY OF TAYABAS,PH045647000,"1,982",23198,0.0854384
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,TIAONG,PH045648000,"2,454",22287,0.110109032
Region IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,UNISAN,PH045649000,"1,490",6172,0.241412832
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,ANGONO,PH045801000,"1,890",24914,0.075860962
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,CITY OF ANTIPOLO (Capital),PH045802000,"4,310",169078,0.025491193
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,BARAS,PH045803000,"1,547",16186,0.095576424
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,BINANGONAN,PH045804000,"4,558",66734,0.068301016
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,CAINTA,PH045805000,"1,606",69983,0.02294843
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,CARDONA,PH045806000,"2,121",11089,0.191270629
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,JALA-JALA,PH045807000,"1,458",6836,0.213282621
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,RODRIGUEZ (MONTALBAN),PH045808000,"5,656",81333,0.069541269
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,MORONG,PH045809000,"1,438",13057,0.110132496
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,PILILLA,PH045810000,"1,683",13854,0.121481161
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,SAN MATEO,PH045811000,"3,665",55563,0.065961161
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,TANAY,PH045812000,"4,073",25463,0.159957586
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,TAYTAY,PH045813000,"5,246",72439,0.072419553
Region IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,TERESA,PH045814000,"1,562",13411,0.116471553
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,BACACAY,PH050501000,"4,065",14348,0.283314748
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,CAMALIG,PH050502000,"4,069",14763,0.275621486
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,DARAGA (LOCSIN),PH050503000,"5,121",27551,0.185873471
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,GUINOBATAN,PH050504000,"5,061",17882,0.283022033
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,JOVELLAR,PH050505000,"1,683",3811,0.441616374
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,CITY OF LEGAZPI (Capital),PH050506000,"8,312",41437,0.200593672
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,LIBON,PH050507000,"5,062",15461,0.327404437
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,CITY OF LIGAO,PH050508000,"6,235",22491,0.277222
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,MALILIPOT,PH050509000,"2,244",8059,0.278446457
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,MALINAO,PH050510000,"2,541",9748,0.260668855
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,MANITO,PH050511000,"1,805",5056,0.357001582
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,OAS,PH050512000,"4,914",14036,0.350099744
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,PIO DURAN,PH050513000,"4,214",9452,0.44583157
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,POLANGUI,PH050514000,"4,335",18188,0.238343963
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,RAPU-RAPU,PH050515000,"2,656",7395,0.359161596
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,SANTO DOMINGO (LIBOG),PH050516000,"2,066",7415,0.27862441
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,CITY OF TABACO,PH050517000,"7,429",27533,0.269821669
Region V (Bicol Region),PH050000000,ALBAY,PH050500000,TIWI,PH050518000,"2,781",10975,0.253394077
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,BASUD,PH051601000,"2,488",9078,0.274069178
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,CAPALONGA,PH051602000,"2,563",7091,0.361444084
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,DAET (Capital),PH051603000,"3,181",22803,0.139499189
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,SAN LORENZO RUIZ (IMELDA),PH051604000,886,3154,0.280913126
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,JOSE PANGANIBAN,PH051605000,"2,958",13381,0.221059712
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,LABO,PH051606000,"4,773",22201,0.214990316
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,MERCEDES,PH051607000,"3,746",10866,0.344745076
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,PARACALE,PH051608000,"3,105",13096,0.237095296
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,SAN VICENTE,PH051609000,558,2394,0.233082707
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,SANTA ELENA,PH051610000,"3,181",9182,0.346438684
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,TALISAY,PH051611000,"1,125",5801,0.193932081
Region V (Bicol Region),PH050000000,CAMARINES NORTE,PH051600000,VINZONS,PH051612000,"3,047",9632,0.316341362
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BAAO,PH051701000,"2,781",11390,0.244161545
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BALATAN,PH051702000,"2,132",5801,0.367522841
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BATO,PH051703000,"3,002",9720,0.308847737
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BOMBON,PH051704000,763,3441,0.221737867
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BUHI,PH051705000,"4,705",16266,0.289253658
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,BULA,PH051706000,"3,708",13482,0.275033378
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CABUSAO,PH051707000,"1,233",3897,0.316397229
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CALABANGA,PH051708000,"4,720",17035,0.277076607
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CAMALIGAN,PH051709000,994,4737,0.20983745
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CANAMAN,PH051710000,"1,637",6968,0.234931114
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CARAMOAN,PH051711000,"3,987",9878,0.403624215
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,DEL GALLEGO,PH051712000,"1,548",5243,0.295250811
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,GAINZA,PH051713000,613,2206,0.277878513
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,GARCHITORENA,PH051714000,"2,351",5094,0.461523361
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,GOA,PH051715000,"3,903",12791,0.305136424
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CITY OF IRIGA,PH051716000,"4,066",21717,0.187226597
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,LAGONOY,PH051717000,"3,335",11176,0.298407301
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,LIBMANAN,PH051718000,"7,036",23343,0.301417984
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,LUPI,PH051719000,"2,308",6996,0.329902802
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,MAGARAO,PH051720000,"1,332",5317,0.250517209
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,MILAOR,PH051721000,"1,681",6154,0.273155671
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,MINALABAC,PH051722000,"2,738",10263,0.266783592
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,NABUA,PH051723000,"3,723",16509,0.225513356
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,CITY OF NAGA,PH051724000,"4,912",41280,0.118992248
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,OCAMPO,PH051725000,"4,037",9267,0.435631812
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,PAMPLONA,PH051726000,"2,251",7567,0.297475882
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,PASACAO,PH051727000,"3,464",9838,0.352104086
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,PILI (Capital),PH051728000,"3,756",18062,0.207950393
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,PRESENTACION (PARUBCAN),PH051729000,"1,714",4038,0.424467558
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,RAGAY,PH051730000,"3,454",12453,0.277362884
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,SAGÑAY,PH051731000,"3,207",6947,0.461638117
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,SAN FERNANDO,PH051732000,"1,926",7214,0.266980871
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,SAN JOSE,PH051733000,"2,331",8597,0.271141096
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,SIPOCOT,PH051734000,"3,790",13472,0.281324228
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,"1,567",3762,0.416533759
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,TIGAON,PH051736000,"3,636",11444,0.317721077
Region V (Bicol Region),PH050000000,CAMARINES SUR,PH051700000,TINAMBAC,PH051737000,"4,799",13277,0.361452135
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,BAGAMANOC,PH052001000,719,2408,0.29858804
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,BARAS,PH052002000,886,2798,0.316654753
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,BATO,PH052003000,"1,023",4517,0.226477751
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,CARAMORAN,PH052004000,"2,323",5865,0.396078431
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,GIGMOTO,PH052005000,530,1744,0.303899083
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,PANDAN,PH052006000,"1,463",4192,0.348998092
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,PANGANIBAN (PAYO),PH052007000,611,2007,0.304434479
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,SAN ANDRES (CALOLBON),PH052008000,"2,396",7646,0.313366466
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,SAN MIGUEL,PH052009000,872,3029,0.28788379
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,VIGA,PH052010000,"1,609",4318,0.372626216
Region V (Bicol Region),PH050000000,CATANDUANES,PH052000000,VIRAC (Capital),PH052011000,"2,847",14958,0.190332932
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,AROROY,PH054101000,"5,965",17039,0.35007923
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,BALENO,PH054102000,"2,210",5341,0.413780191
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,BALUD,PH054103000,"2,755",7843,0.351268647
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,BATUAN,PH054104000,"1,154",3587,0.321717313
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,CATAINGAN,PH054105000,"4,874",10764,0.452805648
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,CAWAYAN,PH054106000,"5,213",15039,0.34663209
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,CLAVERIA,PH054107000,"3,307",9159,0.361065619
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,DIMASALANG,PH054108000,"2,126",5386,0.39472707
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,ESPERANZA,PH054109000,"1,479",4062,0.364106352
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,MANDAON,PH054110000,"3,934",8724,0.450939936
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,CITY OF MASBATE (Capital),PH054111000,"6,147",19083,0.322119164
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,MILAGROS,PH054112000,"5,273",11439,0.460966868
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,MOBO,PH054113000,"3,316",7721,0.429478047
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,MONREAL,PH054114000,"2,016",5256,0.383561644
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,PALANAS,PH054115000,"2,386",5843,0.408351874
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,PIO V. CORPUZ (LIMBUHAN),PH054116000,"2,039",5269,0.386980452
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,PLACER,PH054117000,"4,679",11934,0.392073069
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,SAN FERNANDO,PH054118000,"1,682",5397,0.311654623
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,SAN JACINTO,PH054119000,"2,307",7060,0.326770538
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,SAN PASCUAL,PH054120000,"3,699",9819,0.376718607
Region V (Bicol Region),PH050000000,MASBATE,PH054100000,USON,PH054121000,"4,286",11534,0.371597018
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,BARCELONA,PH056202000,"1,618",4788,0.337928154
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,BULAN,PH056203000,"7,230",20598,0.351004952
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,BULUSAN,PH056204000,"1,575",5285,0.298013245
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,CASIGURAN,PH056205000,"2,386",7088,0.336625282
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,CASTILLA,PH056206000,"4,738",12266,0.386270993
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,DONSOL,PH056207000,"5,203",10252,0.50751073
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,GUBAT,PH056208000,"3,661",13454,0.272112383
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,IROSIN,PH056209000,"3,730",11395,0.327336551
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,JUBAN,PH056210000,"2,464",6636,0.371308017
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,MAGALLANES,PH056211000,"3,313",7470,0.443507363
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,MATNOG,PH056212000,"3,322",8347,0.397987301
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,PILAR,PH056213000,"6,582",14960,0.439973262
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,PRIETO DIAZ,PH056214000,"2,089",4773,0.437670228
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,SANTA MAGDALENA,PH056215000,"1,341",3587,0.373850014
Region V (Bicol Region),PH050000000,SORSOGON,PH056200000,CITY OF SORSOGON (Capital),PH056216000,"7,998",35207,0.227170733
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,ALTAVAS,PH060401000,"1,372",5950,0.230588235
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,BALETE,PH060402000,"1,797",6974,0.257671351
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,BANGA,PH060403000,"1,476",9243,0.159688413
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,BATAN,PH060404000,"1,866",7929,0.23533863
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,BURUANGA,PH060405000,890,4219,0.210950462
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,IBAJAY,PH060406000,"2,573",10931,0.235385601
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,KALIBO (Capital),PH060407000,"2,226",17784,0.125168691
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,LEZO,PH060408000,600,3491,0.171870524
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,LIBACAO,PH060409000,"2,730",6556,0.416412447
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,MADALAG,PH060410000,"1,684",4239,0.397263506
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,MAKATO,PH060411000,"1,620",6538,0.247782196
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,"1,602",12618,0.126961484
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,MALINAO,PH060413000,"1,354",5411,0.250231011
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,NABAS,PH060414000,"1,549",7829,0.197854132
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,NEW WASHINGTON,PH060415000,"2,219",10820,0.205083179
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,NUMANCIA,PH060416000,"1,043",7332,0.142253137
Region VI (Western Visayas),PH060000000,AKLAN,PH060400000,TANGALAN,PH060417000,"1,220",4920,0.24796748
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,ANINI-Y,PH060601000,976,4611,0.211667751
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,BARBAZA,PH060602000,980,5439,0.18018018
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,BELISON,PH060603000,442,3051,0.144870534
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,BUGASONG,PH060604000,"1,657",7341,0.225718567
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,CALUYA,PH060605000,"1,353",7978,0.169591376
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,CULASI,PH060606000,"2,124",9472,0.224239865
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,TOBIAS FORNIER (DAO),PH060607000,"1,196",6863,0.174267813
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,HAMTIC,PH060608000,"2,514",10501,0.239405771
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,LAUA-AN,PH060609000,"1,240",5944,0.208613728
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,LIBERTAD,PH060610000,784,3633,0.215799615
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,PANDAN,PH060611000,"1,334",7760,0.171907216
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,PATNONGON,PH060612000,"2,028",8540,0.237470726
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,SAN JOSE (Capital),PH060613000,"1,700",13488,0.12603796
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,SAN REMIGIO,PH060614000,"2,193",6579,0.333333333
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,SEBASTE,PH060615000,905,3983,0.227215667
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,SIBALOM,PH060616000,"2,932",13186,0.222357045
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,TIBIAO,PH060617000,"1,404",6233,0.225252687
Region VI (Western Visayas),PH060000000,ANTIQUE,PH060600000,VALDERRAMA,PH060618000,"1,542",4151,0.371476753
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,CUARTERO,PH061901000,"1,300",6428,0.202240199
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,DAO,PH061902000,"1,324",7720,0.171502591
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,DUMALAG,PH061903000,"1,054",7028,0.149971542
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,DUMARAO,PH061904000,"2,444",10988,0.222424463
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,IVISAN,PH061905000,"1,211",6622,0.182875264
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,JAMINDAN,PH061906000,"2,277",8540,0.266627635
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,MA-AYON,PH061907000,"2,593",9245,0.280475933
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,MAMBUSAO,PH061908000,"1,717",9661,0.177724873
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,PANAY,PH061909000,"2,158",10938,0.197293838
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,PANITAN,PH061910000,"1,657",9558,0.173362628
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,PILAR,PH061911000,"2,989",10678,0.279921334
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,PONTEVEDRA,PH061912000,"2,082",11150,0.186726457
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,PRESIDENT ROXAS,PH061913000,"1,516",6883,0.220252797
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,CITY OF ROXAS (Capital),PH061914000,"5,017",37291,0.134536483
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,SAPI-AN,PH061915000,"1,766",6106,0.289223714
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,SIGMA,PH061916000,"1,372",7373,0.186084362
Region VI (Western Visayas),PH060000000,CAPIZ,PH061900000,TAPAZ,PH061917000,"3,856",12094,0.318835786
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,AJUY,PH063001000,"2,992",12162,0.246012169
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,ALIMODIAN,PH063002000,"1,499",8057,0.186049398
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,ANILAO,PH063003000,"1,544",6509,0.237210017
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BADIANGAN,PH063004000,938,5878,0.159578088
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BALASAN,PH063005000,"1,534",8083,0.189781022
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BANATE,PH063006000,"1,654",7664,0.215814196
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BAROTAC NUEVO,PH063007000,"2,298",11935,0.192542941
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BAROTAC VIEJO,PH063008000,"2,351",11076,0.212260744
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BATAD,PH063009000,"1,058",5143,0.205716508
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,BINGAWAN,PH063010000,683,3429,0.199183435
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,CABATUAN,PH063012000,"1,632",12689,0.128615336
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,CALINOG,PH063013000,"2,739",13069,0.209579922
Region VI (Western Visayas),PH060000000,ILOILO,PH063000000,CARLES,PH063014000,"4,696",15249,0.30795462
