Region,PCODE_REG,Province,PCODE_PROV,City_Municipality,PCODE_MUN_CTY,Total # of Active HHs,housing_unit,
Region II (Cagayan Valley),PH020000000,NUEVA VIZCAYA,PH025000000,SOLANO,PH025013000,813,15236,0.053360462
Region II (Cagayan Valley),PH020000000,NUEVA VIZCAYA,PH025000000,VILLAVERDE,PH025014000,415,4439,0.093489525
Region II (Cagayan Valley),PH020000000,NUEVA VIZCAYA,PH025000000,ALFONSO CASTANEDA,PH025015000,410,1783,0.229949523
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,AGLIPAY,PH025701000,"1,307",6540,0.199847095
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,CABARROGUIS (Capital),PH025702000,"1,278",6822,0.187335092
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,DIFFUN,PH025703000,"2,208",12087,0.182675602
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,MADDELA,PH025704000,923,8842,0.104388147
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,SAGUDAY,PH025705000,571,3979,0.143503393
Region II (Cagayan Valley),PH020000000,QUIRINO,PH025700000,NAGTIPUNAN,PH025706000,"1,791",4891,0.366182785
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,ABUCAY,PH030801000,830,9256,0.089671564
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,BAGAC,PH030802000,"1,277",6008,0.212549933
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,CITY OF BALANGA (Capital),PH030803000,"1,176",20832,0.056451613
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,DINALUPIHAN,PH030804000,"2,982",23405,0.127408673
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,HERMOSA,PH030805000,"2,048",14212,0.144103574
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,LIMAY,PH030806000,"1,392",15036,0.092577813
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,MARIVELES,PH030807000,"1,633",30691,0.053207781
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,MORONG,PH030808000,"1,273",6828,0.186438196
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,ORANI,PH030809000,"1,666",15288,0.108974359
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,ORION,PH030810000,"1,474",11740,0.125553663
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,PILAR,PH030811000,873,9251,0.094368176
Region III (Central Luzon),PH030000000,BATAAN,PH030800000,SAMAL,PH030812000,787,7605,0.10348455
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,ANGAT,PH031401000,"1,285",14325,0.089703316
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,BALAGTAS (BIGAA),PH031402000,"1,598",17046,0.093746333
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,BALIUAG,PH031403000,"1,785",35488,0.050298693
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,BOCAUE,PH031404000,"2,407",26062,0.092356688
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,BULACAN,PH031405000,"1,670",18019,0.092679949
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,BUSTOS,PH031406000,"1,363",15949,0.085459903
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,CALUMPIT,PH031407000,"2,183",24219,0.090135844
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,GUIGUINTO,PH031408000,"1,353",22769,0.0594229
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,HAGONOY,PH031409000,"3,167",28773,0.110068467
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,CITY OF MALOLOS (Capital),PH031410000,"3,063",56255,0.054448493
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,MARILAO,PH031411000,"2,473",51591,0.047934717
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,CITY OF MEYCAUAYAN,PH031412000,"3,174",49919,0.063583004
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,NORZAGARAY,PH031413000,"3,442",24396,0.141088703
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,OBANDO,PH031414000,701,12883,0.054412792
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,PANDI,PH031415000,"3,663",20193,0.181399495
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,PAOMBONG,PH031416000,"1,325",11489,0.115327705
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,PLARIDEL,PH031417000,"1,342",24206,0.0554408
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,PULILAN,PH031418000,"1,943",22279,0.087212173
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,SAN ILDEFONSO,PH031419000,"2,662",23932,0.111231823
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,CITY OF SAN JOSE DEL MONTE,PH031420000,"14,256",123530,0.115405165
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,SAN MIGUEL,PH031421000,"4,721",33729,0.139968573
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,SAN RAFAEL,PH031422000,"2,047",22051,0.092830257
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,SANTA MARIA,PH031423000,"4,800",57575,0.083369518
Region III (Central Luzon),PH030000000,BULACAN,PH031400000,DOÑA REMEDIOS TRINIDAD,PH031424000,"1,879",5059,0.371417276
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,ALIAGA,PH034901000,"2,912",13940,0.208895265
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,BONGABON,PH034902000,"2,756",14819,0.185977461
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CITY OF CABANATUAN,PH034903000,"6,303",66994,0.094083052
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CABIAO,PH034904000,"2,442",16511,0.147901399
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CARRANGLAN,PH034905000,"2,380",9588,0.24822695
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CUYAPO,PH034906000,"3,194",15003,0.212890755
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,GABALDON (BITULOK & SABANI),PH034907000,"1,908",8484,0.224893918
