"adminLevel","placeCode","indicator","value"
"3","030204219","population",50826
"3","030204221","population",36842
"3","030204222","population",18452
"3","090412222","population",13992
"3","090412219","population",16572
"3","090412220","population",17871
"3","090412221","population",19760
"3","090412216","population",13178
"3","090412217","population",12049
"3","090412218","population",12011
"3","091013209","population",10052
"3","091013213","population",4492
"3","091013212","population",3824
"3","091013211","population",9072
"3","091013210","population",9835
"3","091013208","population",14481
"3","091113302","population",5376
"3","091113314","population",10372
"3","091113313","population",10014
"3","091113312","population",8932
"3","091113310","population",15682
"3","091113311","population",9352
"3","091113309","population",13310
"3","091113308","population",8602
"3","091113307","population",8059
"3","091113306","population",13508
"3","091113305","population",4488
"3","091113304","population",4274
"3","091113303","population",4473
"3","091113301","population",2312
"3","040506307","population",10283
"3","040506414","population",8783
"3","040506421","population",4116
"3","040506420","population",9656
"3","040506419","population",22805
"3","040506418","population",5848
"3","040506417","population",4306
"3","040506416","population",8985
"3","040506313","population",3102
"3","040506314","population",4945
"3","040506312","population",562
"3","040506311","population",1346
"3","040506310","population",4024
"3","040506309","population",5421
"3","040506308","population",4452
"3","040106513","population",6808
"3","040606612","population",10894
"3","040606603","population",8646
"3","040606601","population",23808
"3","040606602","population",24110
"3","040606605","population",28433
"3","040606606","population",18814
"3","040606604","population",3015
"3","040606608","population",10830
"3","040606609","population",10161
"3","040606607","population",14180
"3","040606610","population",16155
"3","040606611","population",11596
"3","040606613","population",7862
"3","040406009","population",1493
"3","040406001","population",2235
"3","040406004","population",1839
"3","040406003","population",3237
"3","040406007","population",3100
"3","040406006","population",1082
"3","040406005","population",3210
"3","040406008","population",1323
"3","040406011","population",1520
"3","040406012","population",857
"3","040406013","population",6233
"3","040406010","population",1658
"3","040205715","population",8403
"3","040205722","population",5422
"3","040205721","population",8189
"3","040205720","population",2026
"3","040205719","population",243
"3","040205718","population",8296
"3","040205717","population",11582
"3","040205716","population",10308
"3","040506422","population",9810
"3","090512106","population",12950
"3","090512101","population",5464
"3","090512103","population",12290
"3","090512104","population",10742
"3","090512102","population",9630
"3","090512107","population",15900
"3","090512108","population",10110
"3","090512109","population",4991
"3","090512114","population",7946
"3","090512111","population",7379
"3","090512112","population",6679
"3","090512110","population",12889
"3","090512105","population",11973
"3","090512113","population",6136
"3","090612305","population",15982
"3","090612312","population",18724
"3","090612301","population",24702
"3","090612311","population",2688
"3","090612313","population",6520
"3","090612314","population",11474
"3","090612316","population",5539
"3","090612315","population",2699
"3","090612309","population",5962
"3","090612306","population",7689
"3","090612308","population",2882
"3","090612307","population",1717
"3","090612304","population",9073
"3","090612302","population",10890
"3","090612303","population",19065
"3","090612310","population",8436
"3","090612317","population",15591
"3","090211801","population",6519
"3","090211814","population",6801
"3","090211813","population",1585
"3","090211812","population",9688
"3","090211810","population",12065
"3","090211811","population",2791
"3","090211809","population",3837
"3","090211808","population",5113
"3","090211807","population",1753
"3","090211806","population",4275
"3","090211805","population",5855
"3","090211804","population",2407
"3","090211802","population",1530
"3","090211803","population",4639
"3","040706712","population",16919
"3","040706810","population",4620
"3","040706722","population",7016
"3","040706721","population",8344
"3","040706720","population",10144
"3","040706717","population",15379
"3","040706713","population",10607
"3","040706716","population",8995
"3","040706711","population",24625
"3","040706809","population",14811
"3","040706805","population",10317
"3","040706806","population",8528
"3","040706801","population",12335
"3","040706807","population",12835
"3","040706808","population",3128
"3","040706804","population",7583
"3","040706803","population",15500
"3","040706802","population",7745
"3","090411901","population",30979
"3","090412010","population",13258
"3","090412007","population",31077
"3","090412008","population",16985
"3","090412009","population",15830
"3","090412011","population",9618
"3","090412012","population",6521
"3","090412015","population",10296
"3","090412013","population",11834
"3","090412014","population",6667
"3","090411906","population",12970
"3","090411905","population",16989
"3","090411904","population",15808
"3","090411903","population",20698
"3","090411902","population",13289
"3","090913108","population",6145
"3","090913112","population",13917
"3","090913113","population",5967
"3","090913114","population",11482
"3","090913111","population",10266
"3","090913102","population",3905
"3","090913103","population",5044
"3","090913104","population",6826
"3","090913105","population",5011
"3","090913110","population",6914
"3","090913109","population",16948
"3","090913107","population",5752
"3","090913106","population",11871
"3","040306115","population",22329
"3","040306116","population",39512
"3","040106501","population",25325
"3","040106502","population",8171
"3","040106503","population",9616
"3","040106504","population",7738
"3","040106505","population",9000
"3","040106506","population",15275
"3","040106507","population",11486
"3","040106508","population",11920
"3","040106509","population",7713
"3","040106510","population",5710
"3","040106511","population",5662
"3","040106512","population",13098
"3","090111710","population",15700
"3","090111708","population",10994
"3","090111713","population",5753
"3","090111712","population",6428
"3","090111714","population",7544
"3","090111711","population",6450
"3","090712510","population",25112
"3","090712621","population",32391
"3","090712517","population",2874
"3","090712514","population",7087
"3","090712515","population",2027
"3","090712516","population",10012
"3","090712513","population",13670
"3","090712512","population",3177
"3","090712511","population",6109
"3","090712509","population",9264
"3","090712620","population",7003
"3","090712618","population",50941
"3","090712619","population",8148
"3","090712622","population",11128
"3","090812706","population",10805
"3","090812809","population",16481
"3","090812922","population",4720
"3","090111709","population",1868
"3","090812702","population",9352
"3","090812703","population",14428
"3","090812701","population",9150
"3","090812707","population",12392
"3","090812704","population",6226
"3","090812818","population",2730
"3","090812810","population",25336
"3","090812812","population",7001
"3","090812813","population",5513
"3","090812814","population",6161
"3","090812815","population",6990
"3","090812816","population",14997
"3","090812817","population",4594
"3","090812811","population",11606
"3","090812919","population",13151
"3","090812921","population",6254
"3","090812920","population",11363
"3","090812808","population",10758
"3","090812705","population",6928
"3","040706914","population",13211
"3","040706915","population",3895
"3","040706919","population",1901
"3","040706918","population",8436
"3","040305906","population",28404
"3","040305901","population",13472
"3","040305902","population",18435
"3","040305903","population",6121
"3","040305904","population",22781
"3","040305905","population",35920
"3","040306113","population",46526
"3","040306112","population",31282
"3","040306111","population",15603
"3","040306110","population",45360
"3","040306108","population",54028
"3","040306114","population",21669
"3","040305907","population",10468
"3","040406002","population",1454
"3","040506201","population",6063
"3","040506202","population",3428
"3","040506203","population",6054
"3","040506204","population",7152
"3","040506205","population",7595
"3","040506206","population",5598
"3","040205601","population",9669
"3","040205812","population",5559
"3","040205614","population",5385
"3","040205604","population",21476
"3","040205605","population",2361
"3","040205606","population",5358
"3","040205607","population",13222
"3","040205603","population",1260
"3","040205802","population",7179
"3","040205808","population",9748
"3","040205813","population",6607
"3","040205809","population",6706
"3","040205810","population",8495
"3","040205811","population",3723
"3","090712407","population",10317
"3","090712401","population",13989
"3","090712402","population",7401
"3","090712403","population",2957
"3","090712404","population",3518
"3","090712408","population",11197
"3","090712405","population",11509
"3","090712406","population",8261
"3","090111520","population",2199
"3","090111607","population",13136
"3","090111601","population",9498
"3","090111602","population",4231
"3","090111603","population",3838
"3","090111604","population",7972
"3","090111605","population",6338
"3","090111606","population",2404
"3","090111517","population",6982
"3","090111521","population",8072
"3","090111518","population",40029
"3","090111519","population",36649
"3","090111527","population",27178
"3","090111526","population",21747
"3","090111525","population",33343
"3","090111516","population",6942
"3","090111515","population",8620
"3","100113619","population",2759
"3","100113623","population",17245
"3","100113624","population",9352
"3","100113626","population",2642
"3","100113627","population",5580
"3","100113622","population",5128
"3","100113618","population",6053
"3","100113620","population",2609
"3","100113621","population",3315
"3","100113625","population",1272
"3","100614908","population",3992
"3","100615015","population",6326
"3","100614914","population",4990
"3","100614913","population",2819
"3","100614911","population",2864
"3","100614910","population",3758
"3","100614909","population",3474
"3","100614912","population",3653
"3","100614907","population",3922
"3","100514501","population",9452
"3","100514503","population",14735
"3","100514502","population",7956
"3","100514504","population",7027
"3","100514505","population",5766
"3","100514507","population",7320
"3","100514506","population",4063
"3","100514508","population",6847
"3","100414317","population",8698
"3","100414415","population",9310
"3","100414412","population",3347
"3","100414411","population",3699
"3","100414409","population",10976
"3","100414410","population",9455
"3","100414413","population",6172
"3","100414414","population",4793
"3","100414328","population",3091
"3","100414327","population",11765
"3","100414326","population",5997
"3","100414321","population",50625
"3","100414320","population",25419
"3","100414318","population",8812
"3","100414316","population",7989
"3","100614801","population",8784
"3","100614802","population",4512
"3","100614803","population",4874
"3","100614806","population",4389
"3","100614804","population",6716
"3","100614805","population",5820
"3","050307114","population",3391
"3","050307102","population",1569
"3","050307101","population",5198
"3","050307103","population",593
"3","050307104","population",19
"3","050307105","population",2252
"3","050307106","population",100
"3","050307107","population",1651
"3","050307108","population",1042
"3","050307109","population",2254
"3","050307110","population",1427
"3","050307111","population",1821
"3","050307112","population",4495
"3","050307113","population",1899
"3","050307115","population",1008
"3","100615019","population",8063
"3","100615018","population",8416
"3","100615017","population",4636
"3","100615016","population",23227
"3","100615020","population",2442
"3","100714701","population",111841
"3","050407504","population",57297
"3","050407609","population",54846
"3","050407710","population",217368
"3","050407816","population",65001
"3","050408027","population",191393
"3","050408129","population",85684
"3","050407815","population",50781
"3","050407814","population",33261
"3","050407813","population",6499
"3","050407608","population",57548
"3","050407605","population",49554
"3","050407606","population",24846
"3","050407607","population",48008
"3","050407501","population",40427
"3","050407502","population",51567
"3","050407503","population",22160
"3","050407712","population",113811
"3","050407711","population",153973
"3","050408028","population",79510
"3","050408026","population",17766
"3","050408025","population",36722
"3","050408024","population",47084
"3","050407921","population",19509
"3","050407920","population",7118
"3","050407919","population",24419
"3","050407918","population",58719
"3","050408133","population",83837
"3","050408131","population",53443
"3","050408130","population",46865
"3","050407917","population",110567
"3","010601417","population",10823
"3","010601312","population",4729
"3","010601422","population",5227
"3","010601420","population",9541
"3","010601421","population",10338
"3","010601419","population",21247
"3","010601418","population",19515
"3","010601313","population",6366
"3","010601314","population",5695
"3","010601316","population",13781
"3","010601315","population",7095
"3","050107309","population",9002
"3","050107301","population",35910
"3","050107302","population",25157
"3","050107305","population",20876
"3","050107306","population",10301
"3","050107304","population",27583
"3","050107303","population",32797
"3","050107307","population",8052
"3","050107308","population",9668
"3","050107310","population",7404
"3","050408132","population",37220
"3","100213705","population",14347
"3","100213703","population",28567
"3","100213704","population",15906
"3","100213707","population",6672
"3","100514615","population",6015
"3","100514612","population",4591
"3","100514611","population",12510
"3","100514610","population",2937
"3","100514609","population",7721
"3","100514613","population",10037
"3","100514617","population",9021
"3","100514616","population",4518
"3","100514614","population",5784
"3","050207011","population",8017
"3","050207001","population",7476
"3","050207002","population",4523
"3","050207004","population",30643
"3","050207003","population",19325
"3","050207005","population",9721
"3","050207006","population",4998
"3","050207007","population",12950
"3","050207009","population",11622
"3","050207008","population",7971
"3","050207010","population",18357
"3","100113416","population",6036
"3","100113506","population",3707
"3","100113502","population",1995
"3","100113501","population",2092
"3","100113503","population",2354
"3","100113504","population",4391
"3","100113505","population",5985
"3","100113507","population",8887
"3","100113410","population",4948
"3","100113409","population",11367
"3","100113411","population",8999
"3","100113408","population",3417
"3","100113412","population",3889
"3","100113413","population",5342
"3","100113414","population",7215
"3","100113415","population",5407
"3","100113417","population",1946
"3","060208415","population",8463
"3","060208422","population",6560
"3","060208421","population",9493
"3","060208419","population",4019
"3","060208420","population",7565
"3","060208412","population",8151
"3","060208413","population",9282
"3","060208416","population",5832
"3","060208417","population",3243
"3","060208418","population",3326
"3","100213920","population",5906
"3","100213701","population",6337
"3","100213702","population",5787
"3","100213706","population",6306
"3","100213808","population",9088
"3","100213812","population",6446
"3","100213916","population",6472
"3","100213918","population",16628
"3","100213922","population",10418
"3","100213919","population",6460
"3","100213921","population",2156
"3","100213917","population",9738
"3","050107413","population",16289
"3","050107417","population",2162
"3","050107416","population",4048
"3","050107415","population",17621
"3","050107414","population",8338
"3","050107411","population",5087
"3","050107412","population",8770
"3","010200402","population",10053
"3","010200516","population",16442
"3","010200401","population",5270
"3","010200414","population",6845
"3","010200413","population",7791
"3","010200412","population",4437
"3","010200411","population",14546
"3","010200415","population",4363
"3","010200518","population",12465
"3","010200517","population",6385
"3","010200519","population",16743
"3","010200521","population",9810
"3","010200407","population",5584
"3","010200403","population",2363
"3","010200527","population",15681
"3","010200524","population",17975
"3","010200526","population",5871
"3","010200405","population",12615
"3","010200410","population",3495
"3","010200525","population",18927
"3","010200523","population",10258
"3","010200520","population",3126
"3","010200522","population",4701
"3","010200408","population",2856
"3","010200409","population",3837
"3","010200406","population",2846
"3","010500920","population",9867
"3","010500917","population",8439
"3","010500918","population",16708
"3","010500922","population",15260
"3","010500919","population",11458
"3","010500921","population",8091
"3","100314009","population",4093
"3","100314001","population",5592
"3","100314002","population",4367
"3","100314003","population",6250
"3","100314004","population",5378
"3","100314005","population",6200
"3","100314006","population",9003
"3","100314013","population",6802
"3","100314012","population",3943
"3","100314011","population",13989
"3","100314010","population",3815
"3","100314007","population",2988
"3","100314008","population",2769
"3","010300611","population",30164
"3","010300604","population",18828
"3","010300603","population",25711
"3","010300608","population",36159
"3","010300607","population",15208
"3","010300606","population",34523
"3","060501013","population",9802
"3","010300613","population",28248
"3","010300614","population",16423
"3","010300612","population",27118
"3","010300610","population",17717
"3","010300609","population",9213
"3","010601207","population",11829
"3","010601201","population",7101
"3","010601202","population",4665
"3","010601204","population",2267
"3","010601203","population",9757
"3","010601205","population",7417
"3","010601206","population",13603
"3","010601308","population",8361
"3","010601310","population",7376
"3","010601311","population",784
"3","010601309","population",7851
"3","100314121","population",7234
"3","100314118","population",2037
"3","100314117","population",3163
"3","100314119","population",1624
"3","100314120","population",4334
"3","100314116","population",3232
"3","100314115","population",6617
"3","100314114","population",3750
"3","100314122","population",3121
"3","090313001","population",17720
"3","010501114","population",19159
"3","090913101","population",9783
"3","090313007","population",1323
"3","090313002","population",7921
"3","090313003","population",11070
"3","090313009","population",2202
"3","090313012","population",5971
"3","090313011","population",5840
"3","090313013","population",12577
"3","090313010","population",4731
"3","090313008","population",8812
"3","090313004","population",4571
"3","090313005","population",5159
"3","090313006","population",2928
"3","100414202","population",7627
"3","100414204","population",4237
"3","100414203","population",2541
"3","100414205","population",10241
"3","100414208","population",2206
"3","100414207","population",4091
"3","100414206","population",6642
"3","100414201","population",5866
"3","060103901","population",2325
"3","060104013","population",3926
"3","030404805","population",16628
"3","060104022","population",5758
"3","060104021","population",7391
"3","060104020","population",11110
"3","060104017","population",5650
"3","060104015","population",7158
"3","060104019","population",6148
"3","060104018","population",5281
"3","060104016","population",2195
"3","060104014","population",7902
"3","060103912","population",7843
"3","060103911","population",8002
"3","060103910","population",14529
"3","060103908","population",506
"3","060103909","population",6578
"3","060103907","population",2074
"3","060103905","population",2848
"3","060103904","population",5535
"3","060103903","population",4789
"3","060103902","population",6441
"3","010501001","population",29482
"3","010501003","population",12360
"3","010501002","population",6072
"3","010501007","population",8552
"3","010501008","population",9774
"3","010501009","population",11981
"3","010501004","population",9832
"3","010501005","population",16772
"3","010501006","population",8077
"3","010501110","population",13967
"3","010501111","population",25214
"3","010501112","population",4331
"3","010501113","population",11765
"3","010501116","population",15492
"3","010501115","population",9523
"3","100213810","population",13895
"3","100213814","population",11644
"3","100213815","population",7489
"3","100213809","population",9806
"3","100213811","population",7880
"3","100213813","population",6344
"3","010300601","population",6976
"3","010300602","population",20277
"3","010300605","population",16625
"3","060208311","population",14306
"3","060208302","population",1022
"3","060208305","population",6421
"3","060208301","population",12828
"3","060208303","population",7932
"3","060208304","population",13256
"3","060208307","population",5176
"3","060208306","population",7496
"3","060208309","population",16945
"3","060208308","population",12318
"3","050207217","population",24704
"3","050207212","population",76384
"3","050207213","population",30679
"3","050207214","population",52366
"3","050207215","population",20637
"3","050207216","population",7981
"3","010400813","population",12439
"3","010400812","population",3413
"3","010400814","population",14866
"3","010400817","population",1299
"3","010400816","population",1217
"3","091013201","population",5469
"3","091013202","population",7802
"3","091013203","population",10485
"3","091013204","population",15446
"3","091013205","population",9879
"3","091013206","population",9747
"3","091013207","population",4642
"3","010400710","population",21254
"3","010400701","population",7440
"3","010400702","population",17084
"3","010400704","population",19205
"3","010400703","population",17753
"3","010400705","population",20930
"3","010400706","population",10391
"3","010400709","population",7339
"3","010400708","population",25086
"3","010400707","population",12147
"3","010400711","population",6456
"3","060509804","population",15582
"3","060509922","population",6525
"3","060501016","population",23629
"3","060509919","population",5034
"3","060509920","population",1304
"3","060509921","population",6236
"3","060509809","population",16798
"3","060509808","population",12138
"3","060509810","population",10424
"3","060509807","population",7478
"3","060509806","population",6672
"3","060509805","population",7616
"3","060509801","population",7943
"3","060509802","population",7736
"3","060509803","population",12915
"3","060501017","population",2867
"3","060501011","population",26173
"3","060501012","population",29167
"3","060501018","population",4788
"3","060501015","population",35170
"3","060608705","population",11295
"3","060608701","population",11392
"3","060608706","population",11856
"3","060608707","population",11248
"3","060608713","population",11476
"3","060608711","population",8797
"3","060608710","population",12216
"3","060608709","population",23683
"3","060608704","population",8745
"3","060608708","population",13709
"3","060608703","population",16032
"3","060608702","population",9916
"3","060308607","population",8855
"3","060608712","population",5252
"3","060308609","population",17747
"3","060308608","population",5094
"3","060308605","population",18125
"3","060308602","population",7765
"3","060308604","population",10808
