index,countryCodeISO3,adminLevel,placeCode,indicator,value
143,ETH,3,ET010222,populationTotal,57062
144,ETH,3,ET010301,populationTotal,96841
145,ETH,3,ET010302,populationTotal,37545
146,ETH,3,ET010303,populationTotal,90195
147,ETH,3,ET010304,populationTotal,113005
148,ETH,3,ET010305,populationTotal,149765
149,ETH,3,ET010306,populationTotal,98755
150,ETH,3,ET010307,populationTotal,120945
151,ETH,3,ET010308,populationTotal,101566
152,ETH,3,ET010309,populationTotal,53796
153,ETH,3,ET010310,populationTotal,35634
154,ETH,3,ET010311,populationTotal,9327
155,ETH,3,ET010312,populationTotal,8941
156,ETH,3,ET010313,populationTotal,7262
157,ETH,3,ET010314,populationTotal,100962
158,ETH,3,ET010315,populationTotal,3482
159,ETH,3,ET010316,populationTotal,88270
160,ETH,3,ET010317,populationTotal,43006
161,ETH,3,ET010318,populationTotal,3396
162,ETH,3,ET010401,populationTotal,40660
163,ETH,3,ET010402,populationTotal,31472
164,ETH,3,ET010403,populationTotal,28061
165,ETH,3,ET010404,populationTotal,89634
166,ETH,3,ET010405,populationTotal,90959
167,ETH,3,ET010406,populationTotal,133008
168,ETH,3,ET010407,populationTotal,111852
169,ETH,3,ET010408,populationTotal,118045
170,ETH,3,ET010409,populationTotal,45538
171,ETH,3,ET010410,populationTotal,36581
172,ETH,3,ET010411,populationTotal,65692
173,ETH,3,ET010412,populationTotal,16800
174,ETH,3,ET010413,populationTotal,62363
175,ETH,3,ET010414,populationTotal,63207
176,ETH,3,ET010501,populationTotal,119876
177,ETH,3,ET010502,populationTotal,155606
178,ETH,3,ET010503,populationTotal,128628
179,ETH,3,ET010504,populationTotal,33207
180,ETH,3,ET010505,populationTotal,19382
181,ETH,3,ET010506,populationTotal,31774
182,ETH,3,ET010507,populationTotal,36965
183,ETH,3,ET010508,populationTotal,13336
184,ETH,3,ET010509,populationTotal,4410
185,ETH,3,ET010601,populationTotal,80885
186,ETH,3,ET010602,populationTotal,128133
187,ETH,3,ET010603,populationTotal,123140
188,ETH,3,ET010604,populationTotal,84924
189,ETH,3,ET010605,populationTotal,10203
190,ETH,3,ET010606,populationTotal,118700
191,ETH,3,ET010607,populationTotal,12908
192,ETH,3,ET010608,populationTotal,68284
193,ETH,3,ET010701,populationTotal,432534
194,ETH,3,ET020101,populationTotal,64145
195,ETH,3,ET020102,populationTotal,72121
196,ETH,3,ET020103,populationTotal,56425
197,ETH,3,ET020104,populationTotal,26246
198,ETH,3,ET020105,populationTotal,75242
199,ETH,3,ET020106,populationTotal,90290
200,ETH,3,ET020107,populationTotal,5753
201,ETH,3,ET020108,populationTotal,22317
202,ETH,3,ET020109,populationTotal,73549
203,ETH,3,ET020110,populationTotal,57516
204,ETH,3,ET020111,populationTotal,21669
205,ETH,3,ET020198,populationTotal,36122
206,ETH,3,ET020201,populationTotal,69284
207,ETH,3,ET020202,populationTotal,59873
208,ETH,3,ET020203,populationTotal,41885
209,ETH,3,ET020204,populationTotal,32631
210,ETH,3,ET020205,populationTotal,122665
211,ETH,3,ET020206,populationTotal,82472
212,ETH,3,ET020207,populationTotal,74146
213,ETH,3,ET020208,populationTotal,23554
214,ETH,3,ET020209,populationTotal,30059
215,ETH,3,ET020301,populationTotal,38621
216,ETH,3,ET020302,populationTotal,26661
217,ETH,3,ET020303,populationTotal,53279
218,ETH,3,ET020304,populationTotal,40422
219,ETH,3,ET020305,populationTotal,28975
220,ETH,3,ET020306,populationTotal,24916
221,ETH,3,ET020307,populationTotal,37956
222,ETH,3,ET020396,populationTotal,20902
223,ETH,3,ET020401,populationTotal,48937
224,ETH,3,ET020402,populationTotal,63134
225,ETH,3,ET020403,populationTotal,131650
226,ETH,3,ET020404,populationTotal,54498
227,ETH,3,ET020405,populationTotal,58218
228,ETH,3,ET020501,populationTotal,63775
229,ETH,3,ET020502,populationTotal,51245
230,ETH,3,ET020503,populationTotal,41065
231,ETH,3,ET020504,populationTotal,73595
232,ETH,3,ET020505,populationTotal,50361
233,ETH,3,ET030101,populationTotal,143454
