id,placeCode,value,countryCodeISO3,indicator,adminLevel
158,ET030517,0,ETH,total_idps,3
159,ET071805,0,ETH,total_idps,3
160,ET050608,1541,ETH,total_idps,3
161,ET030102,0,ETH,total_idps,3
162,ET030601,0,ETH,total_idps,3
163,ET020208,2187,ETH,total_idps,3
164,ET040207,0,ETH,total_idps,3
165,ET160032,28468,ETH,total_idps,3
166,ET050306,2445,ETH,total_idps,3
167,ET060306,486,ETH,total_idps,3
168,ET040315,0,ETH,total_idps,3
169,ET041596,1794,ETH,total_idps,3
170,ET041798,144,ETH,total_idps,3
171,ET040709,0,ETH,total_idps,3
172,ET070910,0,ETH,total_idps,3
173,ET150208,0,ETH,total_idps,3
174,ET010310,0,ETH,total_idps,3
175,ET050599,342,ETH,total_idps,3
176,ET070615,0,ETH,total_idps,3
177,ET040110,0,ETH,total_idps,3
178,ET040106,1960,ETH,total_idps,3
179,ET040910,0,ETH,total_idps,3
180,ET050702,4850,ETH,total_idps,3
181,ET070710,0,ETH,total_idps,3
182,ET050999,9395,ETH,total_idps,3
183,ET140104,0,ETH,total_idps,3
184,ET070608,0,ETH,total_idps,3
185,ET070601,178,ETH,total_idps,3
186,ET160017,0,ETH,total_idps,3
187,ET040205,0,ETH,total_idps,3
188,ET070911,0,ETH,total_idps,3
189,ET071014,0,ETH,total_idps,3
190,ET040710,0,ETH,total_idps,3
191,ET010402,0,ETH,total_idps,3
192,ET041402,0,ETH,total_idps,3
193,ET041607,0,ETH,total_idps,3
194,ET071004,0,ETH,total_idps,3
195,ET030412,0,ETH,total_idps,3
196,ET160010,0,ETH,total_idps,3
197,ET040702,0,ETH,total_idps,3
198,ET040495,8592,ETH,total_idps,3
199,ET030301,0,ETH,total_idps,3
200,ET070117,0,ETH,total_idps,3
201,ET070504,0,ETH,total_idps,3
202,ET041501,6619,ETH,total_idps,3
203,ET041587,0,ETH,total_idps,3
204,ET060207,0,ETH,total_idps,3
205,ET071508,0,ETH,total_idps,3
206,ET160024,0,ETH,total_idps,3
207,ET042001,0,ETH,total_idps,3
208,ET030710,0,ETH,total_idps,3
209,ET040312,0,ETH,total_idps,3
210,ET030798,0,ETH,total_idps,3
211,ET072203,1260,ETH,total_idps,3
212,ET050394,0,ETH,total_idps,3
213,ET040998,0,ETH,total_idps,3
214,ET160015,0,ETH,total_idps,3
215,ET070115,0,ETH,total_idps,3
216,ET160029,0,ETH,total_idps,3
217,ET030999,26207,ETH,total_idps,3
218,ET050802,4609,ETH,total_idps,3
219,ET070110,0,ETH,total_idps,3
220,ET070508,0,ETH,total_idps,3
221,ET040505,0,ETH,total_idps,3
222,ET070909,0,ETH,total_idps,3
223,ET071010,0,ETH,total_idps,3
224,ET071006,0,ETH,total_idps,3
225,ET010414,0,ETH,total_idps,3
226,ET070907,0,ETH,total_idps,3
