adminLevel,placeCode,indicator,value,countryCodeISO3
3,UG410801,cattle,158119,UGA
3,UG203201,cattle,216822,UGA
3,UG100201,cattle,163521,UGA
3,UG411501,cattle,394100,UGA
3,UG203002,cattle,470710,UGA
3,UG205501,cattle,272952,UGA
3,UG101501,cattle,284279,UGA
3,UG101701,cattle,184992,UGA
3,UG203401,cattle,142181,UGA
3,UG204301,cattle,245907,UGA
3,UG410201,cattle,89543,UGA
3,UG205401,cattle,404332,UGA
3,UG205301,cattle,524960,UGA
3,UG410401,cattle,158741,UGA
3,UG413101,cattle,136150,UGA
3,UG203601,cattle,253663,UGA
3,UG411001,cattle,236533,UGA
3,UG102301,cattle,168373,UGA
3,UG412502,cattle,52823,UGA
3,UG410501,cattle,54916,UGA
3,UG203501,cattle,50158,UGA
3,UG205701,cattle,243563,UGA
3,UG102601,cattle,641114,UGA
3,UG411502,cattle,334028,UGA
3,UG101801,cattle,95746,UGA
3,UG100301,cattle,106472,UGA
3,UG203701,cattle,115126,UGA
3,UG205901,cattle,35814,UGA
3,UG204001,cattle,193932,UGA
3,UG100401,cattle,64264,UGA
3,UG102001,cattle,130262,UGA
3,UG411101,cattle,461017,UGA
3,UG411701,cattle,137928,UGA
3,UG204402,cattle,208078,UGA
3,UG410302,cattle,172589,UGA
3,UG308901,cattle,110661,UGA
3,UG307701,cattle,227365,UGA
3,UG307501,cattle,387443,UGA
3,UG307601,cattle,106953,UGA
3,UG307301,cattle,212117,UGA
3,UG306501,cattle,465184,UGA
3,UG102602,cattle,96316,UGA
3,UG308301,cattle,333732,UGA
3,UG411002,cattle,51755,UGA
3,UG100501,cattle,164539,UGA
3,UG307402,cattle,178385,UGA
3,UG410602,cattle,123707,UGA
3,UG410701,cattle,46857,UGA
3,UG410701,cattle,39183,UGA
3,UG410701,cattle,83096,UGA
3,UG410702,cattle,114430,UGA
3,UG203901,cattle,62996,UGA
3,UG410502,cattle,221272,UGA
3,UG202802,cattle,100741,UGA
3,UG410802,cattle,306617,UGA
3,UG308001,cattle,212404,UGA
3,UG204002,cattle,95410,UGA
3,UG309801,cattle,143235,UGA
3,UG410901,cattle,45965,UGA
3,UG204101,cattle,109509,UGA
3,UG101601,cattle,87456,UGA
3,UG204003,cattle,263731,UGA
3,UG412901,cattle,134035,UGA
3,UG204201,cattle,120073,UGA
3,UG100701,cattle,188735,UGA
3,UG204403,cattle,63048,UGA
3,UG204501,cattle,55790,UGA
3,UG204601,cattle,177659,UGA
3,UG102002,cattle,155654,UGA
3,UG411503,cattle,124558,UGA
3,UG412601,cattle,260941,UGA
3,UG206001,cattle,143437,UGA
3,UG100901,cattle,331496,UGA
3,UG204701,cattle,134345,UGA
3,UG101402,cattle,293846,UGA
3,UG411601,cattle,182246,UGA
3,UG100102,cattle,42177,UGA
3,UG100801,cattle,1963248,UGA
3,UG101802,cattle,24469,UGA
3,UG102101,cattle,70497,UGA
3,UG411301,cattle,217157,UGA
3,UG412001,cattle,365927,UGA
3,UG101101,cattle,192787,UGA
3,UG101201,cattle,214000,UGA
3,UG204801,cattle,204851,UGA
3,UG203902,cattle,314875,UGA
3,UG307001,cattle,195807,UGA
3,UG411401,cattle,275185,UGA
3,UG306801,cattle,148123,UGA
3,UG102603,cattle,227595,UGA
3,UG412102,cattle,14961,UGA
3,UG412201,cattle,150508,UGA
3,UG307702,cattle,71631,UGA
3,UG307801,cattle,213699,UGA
3,UG307802,cattle,79405,UGA
3,UG307901,cattle,261591,UGA
3,UG203301,cattle,84849,UGA
3,UG102401,cattle,266350,UGA
3,UG308002,cattle,78732,UGA
3,UG204901,cattle,257323,UGA
3,UG204902,cattle,41508,UGA
3,UG308101,cattle,200129,UGA
3,UG205001,cattle,120049,UGA
3,UG102604,cattle,102620,UGA
3,UG412301,cattle,183719,UGA
3,UG100602,cattle,28412,UGA
3,UG101301,cattle,256552,UGA
3,UG306401,cattle,72261,UGA
3,UG308201,cattle,195908,UGA
3,UG308302,cattle,125730,UGA
3,UG100103,cattle,85020,UGA
3,UG205101,cattle,298324,UGA
3,UG102501,cattle,41222,UGA
3,UG308401,cattle,150683,UGA
3,UG102605,cattle,224905,UGA
3,UG202901,cattle,214022,UGA
3,UG308501,cattle,226402,UGA
3,UG307102,cattle,147765,UGA
3,UG101702,cattle,79360,UGA
3,UG412503,cattle,131415,UGA
3,UG308601,cattle,145910,UGA
3,UG102502,cattle,199156,UGA
3,UG101901,cattle,229419,UGA
3,UG205402,cattle,102635,UGA
3,UG412602,cattle,89633,UGA
3,UG101803,cattle,142752,UGA
3,UG101804,cattle,72666,UGA
3,UG306701,cattle,260905,UGA
3,UG308602,cattle,20366,UGA
3,UG308701,cattle,296542,UGA
3,UG102003,cattle,79574,UGA
3,UG102102,cattle,235828,UGA
3,UG102103,cattle,66120,UGA
3,UG412401,cattle,439517,UGA
3,UG102201,cattle,217826,UGA
3,UG102104,cattle,241837,UGA
3,UG102606,cattle,313168,UGA
3,UG410902,cattle,87338,UGA
3,UG309101,cattle,34438,UGA
3,UG205801,cattle,184681,UGA
3,UG100104,cattle,175297,UGA
3,UG101002,cattle,244186,UGA
3,UG412801,cattle,101286,UGA
3,UG412902,cattle,18164,UGA
3,UG309201,cattle,67390,UGA
3,UG411901,cattle,161010,UGA
3,UG309301,cattle,229148,UGA
3,UG310001,cattle,243019,UGA
3,UG309401,cattle,147842,UGA
3,UG309501,cattle,98984,UGA
3,UG309601,cattle,437002,UGA
3,UG309102,cattle,207554,UGA
3,UG205902,cattle,266537,UGA
3,UG308801,cattle,85107,UGA
3,UG306901,cattle,139200,UGA
3,UG413302,cattle,150248,UGA
3,UG413001,cattle,189666,UGA
3,UG412903,cattle,245465,UGA
3,UG412701,cattle,214607,UGA
3,UG413201,cattle,103916,UGA
3,UG413303,cattle,38764,UGA
3,UG412904,cattle,129570,UGA
3,UG413401,cattle,144126,UGA
3,UG203502,cattle,281084,UGA
3,UG206002,cattle,207068,UGA
3,UG413501,cattle,64869,UGA
3,UG413501,cattle,67055,UGA
3,UG413502,cattle,108468,UGA
3,UG206201,cattle,304649,UGA
3,UG206202,cattle,80679,UGA
3,UG307203,cattle,273362,UGA
3,UG204502,cattle,69847,UGA
3,UG204502,cattle,7740,UGA
3,UG204702,cattle,69628,UGA
3,UG206301,cattle,191071,UGA
3,UG206302,cattle,48859,UGA
3,UG307204,cattle,146364,UGA
3,UG206303,cattle,297986,UGA
4,UG30670101,cattle,24351,UGA
4,UG31000101,cattle,18910,UGA
4,UG20270101,cattle,50734,UGA
4,UG30960101,cattle,53755,UGA
