index,countryCodeISO3,adminLevel,placeCode,indicator,value
0,LSO,1,LSD,populationTotal,320159
1,LSO,1,LSB,populationTotal,125190
2,LSO,1,LSC,populationTotal,314589
3,LSO,1,LSE,populationTotal,185794
4,LSO,1,LSA,populationTotal,526667
5,LSO,1,LSF,populationTotal,182830
6,LSO,1,LSJ,populationTotal,129918
7,LSO,1,LSH,populationTotal,79593
8,LSO,1,LSG,populationTotal,133420
9,LSO,1,LSK,populationTotal,143866
