id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,0.49467513,ETH,malaria_suitable_temperature,3
2,ET010102,0.489565447,ETH,malaria_suitable_temperature,3
3,ET010103,0.439575768,ETH,malaria_suitable_temperature,3
4,ET010104,0.409495473,ETH,malaria_suitable_temperature,3
5,ET010105,0.458750308,ETH,malaria_suitable_temperature,3
6,ET010106,0.486386578,ETH,malaria_suitable_temperature,3
7,ET010107,0.486197678,ETH,malaria_suitable_temperature,3
8,ET010108,0.333513075,ETH,malaria_suitable_temperature,3
9,ET010109,0.32560852,ETH,malaria_suitable_temperature,3
10,ET010110,0.520110072,ETH,malaria_suitable_temperature,3
11,ET010111,0.478727454,ETH,malaria_suitable_temperature,3
12,ET010112,0.523769827,ETH,malaria_suitable_temperature,3
13,ET010113,0.475939183,ETH,malaria_suitable_temperature,3
14,ET010114,0.445707478,ETH,malaria_suitable_temperature,3
15,ET010115,0.454379726,ETH,malaria_suitable_temperature,3
16,ET010116,0.50903073,ETH,malaria_suitable_temperature,3
17,ET010201,0.479181318,ETH,malaria_suitable_temperature,3
18,ET010202,0.16309864,ETH,malaria_suitable_temperature,3
19,ET010203,0.3670968,ETH,malaria_suitable_temperature,3
20,ET010204,0.217308565,ETH,malaria_suitable_temperature,3
21,ET010205,0.224704021,ETH,malaria_suitable_temperature,3
22,ET010206,0.251014841,ETH,malaria_suitable_temperature,3
23,ET010207,0.415830603,ETH,malaria_suitable_temperature,3
24,ET010208,0.487884474,ETH,malaria_suitable_temperature,3
25,ET010209,0.394420986,ETH,malaria_suitable_temperature,3
26,ET010210,0.540520969,ETH,malaria_suitable_temperature,3
27,ET010211,0.43812485,ETH,malaria_suitable_temperature,3
28,ET010212,0.265710166,ETH,malaria_suitable_temperature,3
29,ET010213,0.15275288,ETH,malaria_suitable_temperature,3
30,ET010214,0.496154012,ETH,malaria_suitable_temperature,3
31,ET010215,0.347983211,ETH,malaria_suitable_temperature,3
32,ET010216,0.37271691,ETH,malaria_suitable_temperature,3
33,ET010217,0.160134036,ETH,malaria_suitable_temperature,3
34,ET010218,0.435107505,ETH,malaria_suitable_temperature,3
35,ET010219,0.321622126,ETH,malaria_suitable_temperature,3
36,ET010220,0.204412994,ETH,malaria_suitable_temperature,3
37,ET010221,0.441078769,ETH,malaria_suitable_temperature,3
38,ET010222,0.465341067,ETH,malaria_suitable_temperature,3
39,ET010301,0.109304159,ETH,malaria_suitable_temperature,3
40,ET010302,0.334200058,ETH,malaria_suitable_temperature,3
41,ET010303,0.112303828,ETH,malaria_suitable_temperature,3
42,ET010304,0.047423748,ETH,malaria_suitable_temperature,3
43,ET010305,0.221723701,ETH,malaria_suitable_temperature,3
44,ET010306,0.168638923,ETH,malaria_suitable_temperature,3
45,ET010307,0.078051204,ETH,malaria_suitable_temperature,3
46,ET010308,0.038348538,ETH,malaria_suitable_temperature,3
47,ET010309,0.259189107,ETH,malaria_suitable_temperature,3
48,ET010310,0.119620342,ETH,malaria_suitable_temperature,3
49,ET010311,0.009802495,ETH,malaria_suitable_temperature,3
50,ET010312,0.10244247,ETH,malaria_suitable_temperature,3
51,ET010313,0.038128799,ETH,malaria_suitable_temperature,3
52,ET010314,0.094596622,ETH,malaria_suitable_temperature,3
53,ET010315,0.010791032,ETH,malaria_suitable_temperature,3
54,ET010316,0.225283178,ETH,malaria_suitable_temperature,3
55,ET010317,0.18789981,ETH,malaria_suitable_temperature,3
56,ET010318,0.084741451,ETH,malaria_suitable_temperature,3
57,ET010401,0.23599289,ETH,malaria_suitable_temperature,3
58,ET010402,0.24951807,ETH,malaria_suitable_temperature,3
59,ET010403,0.12131011,ETH,malaria_suitable_temperature,3
60,ET010404,0.027707406,ETH,malaria_suitable_temperature,3
61,ET010405,0.06177183,ETH,malaria_suitable_temperature,3
62,ET010406,0.497866663,ETH,malaria_suitable_temperature,3
63,ET010407,0.372401747,ETH,malaria_suitable_temperature,3
64,ET010408,0.097198748,ETH,malaria_suitable_temperature,3
65,ET010409,0.073334322,ETH,malaria_suitable_temperature,3
66,ET010410,0.112757984,ETH,malaria_suitable_temperature,3
67,ET010411,0.502508307,ETH,malaria_suitable_temperature,3
68,ET010412,0.473316714,ETH,malaria_suitable_temperature,3
69,ET010413,0.269799918,ETH,malaria_suitable_temperature,3
70,ET010414,0.526458074,ETH,malaria_suitable_temperature,3
71,ET010501,0.477408815,ETH,malaria_suitable_temperature,3
72,ET010502,0.46057551,ETH,malaria_suitable_temperature,3
73,ET010503,0.436891009,ETH,malaria_suitable_temperature,3
74,ET010504,0.41455108,ETH,malaria_suitable_temperature,3
75,ET010505,0.3984701,ETH,malaria_suitable_temperature,3
76,ET010506,0.427037794,ETH,malaria_suitable_temperature,3
77,ET010507,0.488271476,ETH,malaria_suitable_temperature,3
78,ET010508,0.447426653,ETH,malaria_suitable_temperature,3
79,ET010509,0.447285836,ETH,malaria_suitable_temperature,3
80,ET010601,0.369111745,ETH,malaria_suitable_temperature,3
81,ET010602,0.230499808,ETH,malaria_suitable_temperature,3
82,ET010603,0.224524358,ETH,malaria_suitable_temperature,3
83,ET010604,0.168829275,ETH,malaria_suitable_temperature,3
84,ET010605,0.015692296,ETH,malaria_suitable_temperature,3
85,ET010606,0.440083754,ETH,malaria_suitable_temperature,3
86,ET010607,0.243724512,ETH,malaria_suitable_temperature,3
87,ET010608,0.33393006,ETH,malaria_suitable_temperature,3
88,ET010701,0.193239623,ETH,malaria_suitable_temperature,3
89,ET020101,0.601621093,ETH,malaria_suitable_temperature,3
90,ET020102,0.6115803,ETH,malaria_suitable_temperature,3
91,ET020103,0.570155251,ETH,malaria_suitable_temperature,3
92,ET020104,0.562605524,ETH,malaria_suitable_temperature,3
93,ET020105,0.630348585,ETH,malaria_suitable_temperature,3
94,ET020106,0.653257382,ETH,malaria_suitable_temperature,3
95,ET020107,0.572626017,ETH,malaria_suitable_temperature,3
96,ET020108,0.609946699,ETH,malaria_suitable_temperature,3
97,ET020109,0.645592393,ETH,malaria_suitable_temperature,3
98,ET020110,0.605790405,ETH,malaria_suitable_temperature,3
99,ET020111,0.565212258,ETH,malaria_suitable_temperature,3
100,ET020198,0.579942604,ETH,malaria_suitable_temperature,3
101,ET020201,0.611226307,ETH,malaria_suitable_temperature,3
102,ET020202,0.56112863,ETH,malaria_suitable_temperature,3
103,ET020203,0.557372663,ETH,malaria_suitable_temperature,3
104,ET020204,0.584044183,ETH,malaria_suitable_temperature,3
105,ET020205,0.533647485,ETH,malaria_suitable_temperature,3
106,ET020206,0.519364886,ETH,malaria_suitable_temperature,3
107,ET020207,0.460768472,ETH,malaria_suitable_temperature,3
108,ET020208,0.526926746,ETH,malaria_suitable_temperature,3
109,ET020209,0.55820741,ETH,malaria_suitable_temperature,3
110,ET020301,0.600329035,ETH,malaria_suitable_temperature,3
111,ET020302,0.614696774,ETH,malaria_suitable_temperature,3
112,ET020303,0.64642876,ETH,malaria_suitable_temperature,3
113,ET020304,0.608915907,ETH,malaria_suitable_temperature,3
114,ET020305,0.640225427,ETH,malaria_suitable_temperature,3
115,ET020306,0.587963551,ETH,malaria_suitable_temperature,3
116,ET020307,0.620689547,ETH,malaria_suitable_temperature,3
117,ET020396,0.619688426,ETH,malaria_suitable_temperature,3
118,ET020401,0.643366649,ETH,malaria_suitable_temperature,3
119,ET020402,0.648943584,ETH,malaria_suitable_temperature,3
120,ET020403,0.579974176,ETH,malaria_suitable_temperature,3
121,ET020404,0.624728349,ETH,malaria_suitable_temperature,3
