placeCode,value,indicator,countryCodeISO3,adminLevel
SS010101,11052,populationTotal,SSD,3
SS010102,33528,populationTotal,SSD,3
SS010103,10082,populationTotal,SSD,3
SS010104,20258,populationTotal,SSD,3
SS010105,716,populationTotal,SSD,3
SS010106,339,populationTotal,SSD,3
SS010107,11821,populationTotal,SSD,3
SS010108,131815,populationTotal,SSD,3
SS010109,36618,populationTotal,SSD,3
SS010110,24422,populationTotal,SSD,3
SS010111,27512,populationTotal,SSD,3
SS010112,1247,populationTotal,SSD,3
SS010113,36281,populationTotal,SSD,3
SS010114,21238,populationTotal,SSD,3
SS010115,11027,populationTotal,SSD,3
SS010116,10552,populationTotal,SSD,3
SS010117,39833,populationTotal,SSD,3
SS010201,36775,populationTotal,SSD,3
SS010202,35192,populationTotal,SSD,3
SS010203,36707,populationTotal,SSD,3
SS010204,69104,populationTotal,SSD,3
SS010205,47259,populationTotal,SSD,3
SS010301,19309,populationTotal,SSD,3
SS010302,19756,populationTotal,SSD,3
SS010303,22888,populationTotal,SSD,3
SS010304,28513,populationTotal,SSD,3
SS010305,13371,populationTotal,SSD,3
SS010401,22612,populationTotal,SSD,3
SS010402,23268,populationTotal,SSD,3
SS010403,21110,populationTotal,SSD,3
SS010404,31962,populationTotal,SSD,3
SS010405,17065,populationTotal,SSD,3
SS010501,30279,populationTotal,SSD,3
SS010502,5551,populationTotal,SSD,3
SS010503,11173,populationTotal,SSD,3
SS010504,21400,populationTotal,SSD,3
SS010505,24221,populationTotal,SSD,3
SS010506,28815,populationTotal,SSD,3
SS010507,8081,populationTotal,SSD,3
SS010508,28472,populationTotal,SSD,3
SS010509,9856,populationTotal,SSD,3
SS010601,45320,populationTotal,SSD,3
SS010602,31916,populationTotal,SSD,3
SS010603,29502,populationTotal,SSD,3
SS010604,95304,populationTotal,SSD,3
SS010605,31349,populationTotal,SSD,3
SS020101,39584,populationTotal,SSD,3
SS020102,153525,populationTotal,SSD,3
SS020103,93377,populationTotal,SSD,3
SS020104,58682,populationTotal,SSD,3
SS020105,15836,populationTotal,SSD,3
SS020106,17078,populationTotal,SSD,3
SS020107,34173,populationTotal,SSD,3
SS020108,51001,populationTotal,SSD,3
SS020201,71254,populationTotal,SSD,3
SS020202,111567,populationTotal,SSD,3
SS020203,11583,populationTotal,SSD,3
SS020204,45411,populationTotal,SSD,3
SS020205,53681,populationTotal,SSD,3
SS020206,101673,populationTotal,SSD,3
SS020301,81361,populationTotal,SSD,3
SS020302,91257,populationTotal,SSD,3
SS020303,252581,populationTotal,SSD,3
SS020304,61948,populationTotal,SSD,3
SS020305,72204,populationTotal,SSD,3
SS020306,130551,populationTotal,SSD,3
SS020307,65888,populationTotal,SSD,3
SS020401,19196,populationTotal,SSD,3
SS020402,324847,populationTotal,SSD,3
SS020403,55172,populationTotal,SSD,3
SS020404,38497,populationTotal,SSD,3
SS020405,11509,populationTotal,SSD,3
SS020406,32009,populationTotal,SSD,3
