id,adminLevel,placeCode,value,countryCodeISO3,indicator
116,3,ET020307,1,ETH,Hotspot_Nutrition
117,3,ET020396,0.1,ETH,Hotspot_Nutrition
118,3,ET020401,1,ETH,Hotspot_Nutrition
119,3,ET020402,2,ETH,Hotspot_Nutrition
120,3,ET020403,1,ETH,Hotspot_Nutrition
121,3,ET020404,1,ETH,Hotspot_Nutrition
122,3,ET020405,2,ETH,Hotspot_Nutrition
123,3,ET020501,1,ETH,Hotspot_Nutrition
124,3,ET020502,1,ETH,Hotspot_Nutrition
125,3,ET020503,2,ETH,Hotspot_Nutrition
126,3,ET020504,1,ETH,Hotspot_Nutrition
127,3,ET020505,2,ETH,Hotspot_Nutrition
128,3,ET030101,2,ETH,Hotspot_Nutrition
129,3,ET030102,1,ETH,Hotspot_Nutrition
130,3,ET030103,1,ETH,Hotspot_Nutrition
131,3,ET030104,2,ETH,Hotspot_Nutrition
132,3,ET030105,2,ETH,Hotspot_Nutrition
133,3,ET030106,0.1,ETH,Hotspot_Nutrition
134,3,ET030119,1,ETH,Hotspot_Nutrition
135,3,ET030198,0.1,ETH,Hotspot_Nutrition
136,3,ET030201,3,ETH,Hotspot_Nutrition
137,3,ET030202,0.1,ETH,Hotspot_Nutrition
138,3,ET030203,0.1,ETH,Hotspot_Nutrition
139,3,ET030204,0.1,ETH,Hotspot_Nutrition
140,3,ET030205,3,ETH,Hotspot_Nutrition
141,3,ET030206,2,ETH,Hotspot_Nutrition
142,3,ET030207,2,ETH,Hotspot_Nutrition
143,3,ET030208,0.1,ETH,Hotspot_Nutrition
144,3,ET030209,0.1,ETH,Hotspot_Nutrition
145,3,ET030210,0.1,ETH,Hotspot_Nutrition
146,3,ET030211,0.1,ETH,Hotspot_Nutrition
147,3,ET030212,2,ETH,Hotspot_Nutrition
148,3,ET030213,1,ETH,Hotspot_Nutrition
149,3,ET030214,1,ETH,Hotspot_Nutrition
150,3,ET030215,0.1,ETH,Hotspot_Nutrition
151,3,ET030293,0.1,ETH,Hotspot_Nutrition
152,3,ET030298,0.1,ETH,Hotspot_Nutrition
153,3,ET030299,0.1,ETH,Hotspot_Nutrition
154,3,ET030301,1,ETH,Hotspot_Nutrition
155,3,ET030302,2,ETH,Hotspot_Nutrition
