id,placeCode,value,countryCodeISO3,indicator,adminLevel
138,ET030203,132,ETH,travel_time_cities,3
139,ET030204,173,ETH,travel_time_cities,3
140,ET030205,300,ETH,travel_time_cities,3
141,ET030206,286,ETH,travel_time_cities,3
142,ET030207,283,ETH,travel_time_cities,3
143,ET030208,237,ETH,travel_time_cities,3
144,ET030209,128,ETH,travel_time_cities,3
145,ET030210,40,ETH,travel_time_cities,3
146,ET030211,158,ETH,travel_time_cities,3
147,ET030212,265,ETH,travel_time_cities,3
148,ET030213,468,ETH,travel_time_cities,3
149,ET030214,248,ETH,travel_time_cities,3
150,ET030215,27,ETH,travel_time_cities,3
151,ET030216,0,ETH,travel_time_cities,3
152,ET030217,0,ETH,travel_time_cities,3
153,ET030218,13,ETH,travel_time_cities,3
154,ET030293,0,ETH,travel_time_cities,3
155,ET030298,108,ETH,travel_time_cities,3
156,ET030299,15,ETH,travel_time_cities,3
157,ET030301,353,ETH,travel_time_cities,3
158,ET030302,138,ETH,travel_time_cities,3
159,ET030303,158,ETH,travel_time_cities,3
160,ET030304,198,ETH,travel_time_cities,3
161,ET030305,160,ETH,travel_time_cities,3
162,ET030306,15,ETH,travel_time_cities,3
163,ET030307,141,ETH,travel_time_cities,3
164,ET030308,100,ETH,travel_time_cities,3
165,ET030309,15,ETH,travel_time_cities,3
166,ET030310,177,ETH,travel_time_cities,3
167,ET030311,223,ETH,travel_time_cities,3
168,ET030312,72,ETH,travel_time_cities,3
169,ET030313,76,ETH,travel_time_cities,3
170,ET030314,35,ETH,travel_time_cities,3
171,ET030315,36,ETH,travel_time_cities,3
172,ET030397,18,ETH,travel_time_cities,3
173,ET030398,80,ETH,travel_time_cities,3
174,ET030399,27,ETH,travel_time_cities,3
175,ET030401,105,ETH,travel_time_cities,3
176,ET030402,168,ETH,travel_time_cities,3
177,ET030403,147,ETH,travel_time_cities,3
178,ET030404,283,ETH,travel_time_cities,3
179,ET030405,72,ETH,travel_time_cities,3
180,ET030406,154,ETH,travel_time_cities,3
181,ET030407,89,ETH,travel_time_cities,3
182,ET030408,80,ETH,travel_time_cities,3
183,ET030409,95,ETH,travel_time_cities,3
184,ET030410,74,ETH,travel_time_cities,3
185,ET030411,306,ETH,travel_time_cities,3
186,ET030412,94,ETH,travel_time_cities,3
187,ET030413,190,ETH,travel_time_cities,3
188,ET030414,166,ETH,travel_time_cities,3
189,ET030415,105,ETH,travel_time_cities,3
190,ET030416,146,ETH,travel_time_cities,3
191,ET030417,22,ETH,travel_time_cities,3
192,ET030418,24,ETH,travel_time_cities,3
193,ET030419,191,ETH,travel_time_cities,3
194,ET030420,112,ETH,travel_time_cities,3
195,ET030421,357,ETH,travel_time_cities,3
196,ET030422,125,ETH,travel_time_cities,3
197,ET030423,50,ETH,travel_time_cities,3
198,ET030424,86,ETH,travel_time_cities,3
199,ET030425,94,ETH,travel_time_cities,3
200,ET030426,91,ETH,travel_time_cities,3
201,ET030427,26,ETH,travel_time_cities,3
202,ET030428,33,ETH,travel_time_cities,3
203,ET030429,10,ETH,travel_time_cities,3
204,ET030498,12,ETH,travel_time_cities,3
205,ET030499,12,ETH,travel_time_cities,3
206,ET030501,166,ETH,travel_time_cities,3
207,ET030502,230,ETH,travel_time_cities,3
208,ET030503,115,ETH,travel_time_cities,3
209,ET030504,238,ETH,travel_time_cities,3
210,ET030505,196,ETH,travel_time_cities,3
211,ET030506,380,ETH,travel_time_cities,3
212,ET030507,156,ETH,travel_time_cities,3
213,ET030508,136,ETH,travel_time_cities,3
214,ET030509,203,ETH,travel_time_cities,3
215,ET030510,172,ETH,travel_time_cities,3
216,ET030511,160,ETH,travel_time_cities,3
217,ET030512,115,ETH,travel_time_cities,3
218,ET030513,111,ETH,travel_time_cities,3
219,ET030514,282,ETH,travel_time_cities,3
220,ET030515,284,ETH,travel_time_cities,3
221,ET030516,140,ETH,travel_time_cities,3
222,ET030517,228,ETH,travel_time_cities,3
223,ET030518,77,ETH,travel_time_cities,3
224,ET030519,119,ETH,travel_time_cities,3
225,ET030520,20,ETH,travel_time_cities,3
226,ET030521,240,ETH,travel_time_cities,3
227,ET030522,448,ETH,travel_time_cities,3
228,ET030523,139,ETH,travel_time_cities,3
229,ET030524,75,ETH,travel_time_cities,3
230,ET030525,0,ETH,travel_time_cities,3
231,ET030526,47,ETH,travel_time_cities,3
232,ET030527,0,ETH,travel_time_cities,3
233,ET030595,5,ETH,travel_time_cities,3
234,ET030597,27,ETH,travel_time_cities,3
235,ET030598,34,ETH,travel_time_cities,3
236,ET030599,88,ETH,travel_time_cities,3
237,ET030601,76,ETH,travel_time_cities,3
238,ET030602,186,ETH,travel_time_cities,3
239,ET030603,101,ETH,travel_time_cities,3
240,ET030604,228,ETH,travel_time_cities,3
241,ET030605,202,ETH,travel_time_cities,3
242,ET030606,133,ETH,travel_time_cities,3
243,ET030607,108,ETH,travel_time_cities,3
244,ET030608,155,ETH,travel_time_cities,3
245,ET030609,127,ETH,travel_time_cities,3
246,ET030610,113,ETH,travel_time_cities,3
247,ET030611,170,ETH,travel_time_cities,3
248,ET030612,148,ETH,travel_time_cities,3
249,ET030613,94,ETH,travel_time_cities,3
250,ET030614,211,ETH,travel_time_cities,3
251,ET030615,5,ETH,travel_time_cities,3
252,ET030616,97,ETH,travel_time_cities,3
253,ET030617,184,ETH,travel_time_cities,3
254,ET030618,0,ETH,travel_time_cities,3
255,ET030619,425,ETH,travel_time_cities,3
256,ET030620,39,ETH,travel_time_cities,3
257,ET030621,37,ETH,travel_time_cities,3
258,ET030622,0,ETH,travel_time_cities,3
259,ET030623,6,ETH,travel_time_cities,3
260,ET030694,86,ETH,travel_time_cities,3
261,ET030698,0,ETH,travel_time_cities,3
262,ET030699,0,ETH,travel_time_cities,3
263,ET030701,94,ETH,travel_time_cities,3
264,ET030702,84,ETH,travel_time_cities,3
265,ET030703,142,ETH,travel_time_cities,3
266,ET030704,87,ETH,travel_time_cities,3
267,ET030705,107,ETH,travel_time_cities,3
268,ET030706,114,ETH,travel_time_cities,3
269,ET030707,110,ETH,travel_time_cities,3
270,ET030708,105,ETH,travel_time_cities,3
271,ET030709,94,ETH,travel_time_cities,3
272,ET030710,55,ETH,travel_time_cities,3
273,ET030711,174,ETH,travel_time_cities,3
274,ET030712,19,ETH,travel_time_cities,3
