id,placeCode,amount
355,ET040310,1
356,ET040311,1
357,ET040312,1
358,ET040313,1
359,ET040314,1
360,ET040315,1
361,ET040316,1
362,ET040317,1
363,ET040319,1
364,ET040320,1
365,ET040324,1
366,ET040401,1
367,ET040402,1
368,ET040403,1
369,ET040404,1
370,ET040405,1
371,ET040406,1
372,ET040407,1
373,ET040408,1
374,ET040409,1
375,ET040410,1
376,ET040411,1
377,ET040412,1
378,ET040413,1
379,ET040414,1
380,ET040415,1
381,ET040416,1
382,ET040417,1
383,ET040418,1
384,ET040490,1
385,ET040491,1
386,ET040495,1
387,ET040499,1
388,ET040500,1
389,ET040501,1
390,ET040502,1
391,ET040503,1
392,ET040504,1
393,ET040505,1
394,ET040506,1
395,ET040507,1
396,ET040508,1
397,ET040509,1
398,ET040510,1
399,ET040511,1
400,ET040513,1
401,ET040514,1
402,ET040515,1
403,ET040516,1
404,ET040517,1
405,ET040518,1
406,ET040519,1
407,ET040590,1
408,ET040592,1
409,ET040594,1
410,ET040597,1
411,ET040601,4
412,ET040602,4
413,ET040603,2
414,ET040604,2
415,ET040605,2
416,ET040606,2
417,ET040607,2
418,ET040608,2
419,ET040609,4
420,ET040610,2
421,ET040613,1
422,ET040614,2
423,ET040615,2
424,ET040617,4
425,ET040701,2
426,ET040702,4
427,ET040703,4
428,ET040704,1
429,ET040705,1
430,ET040706,1
431,ET040707,4
432,ET040708,4
433,ET040709,1
434,ET040710,1
435,ET040711,1
436,ET040714,1
437,ET040797,1
438,ET040799,1
439,ET040801,2
440,ET040802,4
441,ET040803,2
442,ET040804,1
443,ET040805,1
444,ET040806,2
445,ET040807,1
446,ET040808,1
447,ET040809,1
448,ET040810,2
449,ET040811,2
450,ET040812,2
451,ET040813,1
452,ET040814,2
453,ET040815,1
454,ET040816,1
455,ET040817,1
456,ET040818,1
457,ET040819,1
458,ET040820,1
459,ET040821,1
460,ET040822,1
461,ET040823,1
462,ET040824,1
463,ET040825,1
464,ET040893,2
465,ET040894,1
466,ET040901,2
467,ET040902,2
468,ET040903,2
469,ET040904,2
470,ET040905,1
471,ET040906,2
472,ET040907,2
473,ET040908,2
474,ET040909,2
475,ET040910,2
476,ET040911,2
477,ET040912,2
478,ET040913,2
479,ET040914,1
480,ET040915,2
481,ET040991,2
482,ET040998,2
483,ET041000,1
484,ET041001,2
485,ET041002,2
486,ET041003,2
487,ET041004,2
488,ET041005,2
489,ET041006,2
490,ET041007,2
491,ET041008,2
492,ET041009,2
493,ET041010,2
494,ET041011,2
495,ET041012,2
496,ET041013,2
497,ET041014,2
498,ET041015,2
499,ET041016,2
500,ET041017,2
501,ET041018,2
502,ET041019,1
503,ET041089,2
504,ET041097,1
505,ET041098,2
506,ET041099,1
507,ET041104,4
508,ET041106,4
509,ET041109,1
510,ET041110,1
511,ET041111,2
512,ET041112,2
513,ET041113,2
514,ET041114,2
515,ET041115,2
516,ET041116,2
517,ET041119,1
518,ET041120,1
519,ET041122,1
520,ET041199,2
521,ET041207,2
522,ET041208,2
523,ET041210,2
524,ET041211,2
525,ET041212,2
526,ET041216,2
527,ET041219,2
528,ET041220,2
529,ET041223,2
530,ET041290,2
531,ET041291,2
532,ET041295,2
533,ET041296,1
534,ET041298,2
535,ET041301,1
536,ET041302,1
537,ET041303,1
538,ET041304,1
539,ET041305,1
540,ET041307,1
541,ET041308,1
542,ET041309,1
543,ET041310,1
544,ET041311,1
545,ET041312,1
546,ET041314,1
547,ET041401,1
548,ET041402,1
549,ET041403,2
550,ET041404,2
551,ET041405,1
552,ET041407,2
553,ET041408,1
554,ET041410,1
555,ET041411,1
556,ET041412,2
557,ET041413,2
558,ET041414,1
559,ET041482,2
560,ET041490,1
561,ET041492,1
562,ET041497,2
563,ET041499,1
564,ET041501,2
565,ET041502,3
566,ET041509,3
567,ET041513,2
568,ET041515,2
569,ET041517,2
570,ET041518,2
571,ET041587,1
572,ET041594,3
573,ET041596,3
574,ET041603,1
575,ET041604,1
576,ET041605,1
577,ET041606,1
578,ET041607,1
579,ET041608,1
580,ET041618,1
581,ET041621,1
582,ET041622,1
583,ET041623,1
584,ET041700,1
585,ET041701,2
586,ET041702,2
587,ET041703,3
588,ET041704,3
589,ET041705,1
590,ET041706,3
591,ET041707,3
592,ET041708,1
593,ET041709,3
594,ET041710,3
595,ET041711,1
596,ET041712,3
597,ET041783,3
598,ET041797,3
599,ET041798,1
600,ET041799,1
601,ET041801,1
602,ET041802,1
603,ET041803,1
604,ET041804,1
605,ET041805,1
606,ET041806,1
607,ET041807,3
608,ET041808,1
609,ET041809,1
610,ET041810,1
611,ET041811,1
612,ET041812,1
613,ET041901,1
614,ET041902,1
615,ET041903,1
616,ET041904,1
617,ET041905,1
618,ET041906,1
619,ET041907,1
620,ET041908,1
621,ET041909,1
622,ET041910,1
623,ET041911,1
624,ET041912,1
625,ET042001,1
626,ET042004,1
627,ET042005,1
628,ET042006,1
629,ET042008,1
630,ET042009,1
631,ET042011,1
632,ET042012,1
633,ET042013,1
634,ET042014,1
635,ET042016,1
636,ET042018,1
637,ET042020,1
638,ET042098,1
639,ET042101,3
640,ET042102,2
641,ET042103,3
642,ET042104,2
643,ET042105,2
644,ET042106,2
645,ET042107,1
646,ET050101,2
647,ET050102,2
648,ET050103,3
649,ET050104,2
650,ET050105,2
651,ET050106,3
652,ET050107,2
653,ET050198,2
654,ET050199,2
655,ET050202,3
656,ET050203,2
657,ET050204,2
658,ET050205,3
659,ET050206,2
660,ET050207,2
661,ET050283,2
662,ET050290,2
663,ET050293,1
664,ET050295,1
665,ET050296,1
666,ET050297,2
667,ET050298,3
668,ET050299,3
669,ET050301,2
670,ET050302,3
671,ET050303,2
672,ET050304,2
673,ET050305,2
674,ET050306,2
675,ET050307,1
676,ET050382,3
677,ET050392,2
678,ET050394,3
679,ET050395,2
680,ET050399,2
681,ET050402,2
682,ET050404,2
683,ET050407,2
684,ET050408,2
685,ET050497,2
686,ET050498,2
687,ET050499,2
688,ET050501,3
689,ET050502,2
690,ET050503,2
691,ET050504,2
692,ET050586,2
693,ET050592,1
694,ET050595,3
695,ET050596,3
696,ET050597,2
697,ET050598,2
698,ET050599,2
699,ET050601,2
700,ET050602,2
701,ET050603,2
702,ET050604,3
703,ET050605,2
704,ET050606,2
705,ET050607,2
706,ET050608,3
707,ET050696,1
708,ET050698,3
709,ET050699,2
710,ET050701,2
711,ET050702,2
712,ET050703,2
713,ET050704,2
714,ET050788,3
715,ET050798,2
716,ET050799,2
717,ET050802,2
718,ET050804,3
719,ET050805,2
720,ET050806,2
721,ET050807,2
722,ET050808,2
723,ET050809,2
724,ET050898,2
725,ET050899,2
726,ET050901,2
727,ET050902,2
728,ET050903,2
729,ET050904,2
730,ET050905,2
731,ET050991,2
732,ET050999,2
733,ET051001,2
734,ET051002,2
735,ET051003,2
736,ET051005,2
737,ET051006,2
738,ET051095,2
739,ET051096,2
740,ET051103,2
741,ET051104,2
742,ET051187,2
743,ET051198,2
744,ET060201,2
745,ET060202,2
746,ET060203,2
747,ET060204,2
748,ET060205,2
749,ET060206,1
750,ET060207,2
751,ET060301,1
752,ET060302,1
753,ET060303,1
754,ET060304,1
755,ET060305,1
756,ET060306,1
757,ET060307,1
758,ET060308,1
759,ET060401,1
760,ET060402,1
761,ET060403,1
762,ET060404,1
763,ET060405,1
764,ET060508,1
765,ET070101,3
766,ET070102,3
767,ET070103,3
768,ET070104,3
769,ET070105,3
770,ET070106,2
771,ET070107,2
772,ET070108,3
773,ET070109,3
774,ET070110,3
775,ET070111,3
776,ET070112,3
777,ET070113,3
778,ET070114,1
779,ET070115,1
780,ET070116,1
781,ET070117,1
782,ET070118,2
783,ET070119,3
784,ET070120,3
785,ET070201,3
786,ET070202,2
787,ET070203,3
788,ET070204,2
789,ET070205,1
790,ET070206,2
791,ET070207,2
792,ET070208,3
793,ET070209,2
794,ET070210,3
795,ET070211,1
796,ET070212,1
797,ET070213,1
798,ET070214,1
799,ET070215,3
800,ET070216,1
801,ET070217,2
802,ET070301,1
803,ET070302,3
804,ET070303,3
805,ET070304,3
806,ET070305,2
807,ET070306,3
808,ET070307,2
809,ET070308,1
810,ET070309,2
811,ET070310,1
812,ET070312,1
813,ET070501,1
814,ET070502,1
815,ET070503,1
816,ET070504,2
817,ET070505,2
818,ET070506,2
819,ET070507,1
820,ET070508,1
821,ET070509,3
822,ET070510,2
823,ET070511,1
824,ET070512,1
825,ET070601,2
826,ET070602,5
827,ET070605,5
828,ET070604,2
829,ET070605,5
830,ET070606,5
831,ET070607,5
832,ET070608,2
833,ET070609,2
834,ET070610,1
835,ET070611,5
836,ET070612,1
837,ET070615,1
838,ET070614,1
839,ET070615,1
840,ET070616,1
841,ET070617,1
842,ET070618,1
843,ET070619,2
844,ET070620,2
845,ET070621,1
846,ET070622,5
847,ET070701,5
848,ET070702,2
849,ET070705,2
850,ET070704,1
851,ET070705,1
852,ET070706,1
853,ET070707,1
854,ET070708,1
855,ET070709,1
856,ET070710,3
857,ET070711,3
858,ET070801,1
859,ET070802,1
860,ET070803,1
861,ET070804,1
862,ET070805,1
863,ET070901,1
864,ET070902,1
865,ET070903,1
866,ET070904,1
867,ET070905,1
868,ET070906,1
869,ET070907,1
870,ET070908,1
871,ET070909,1
872,ET070910,1
873,ET070911,1
874,ET070912,1
875,ET070913,1
876,ET070914,1
877,ET071003,1
878,ET071004,4
879,ET071005,2
880,ET071006,4
881,ET071007,4
882,ET071008,2
883,ET071009,4
884,ET071010,2
885,ET071011,2
886,ET071012,1
887,ET071013,4
888,ET071014,4
