id,placeCode,value,countryCodeISO3,indicator,adminLevel
152,ET030217,3237,ETH,population_u5,3
153,ET030218,1845,ETH,population_u5,3
154,ET030293,5735,ETH,population_u5,3
155,ET030298,1959,ETH,population_u5,3
156,ET030299,3108,ETH,population_u5,3
157,ET030301,11346,ETH,population_u5,3
158,ET030302,30613,ETH,population_u5,3
159,ET030303,24738,ETH,population_u5,3
160,ET030304,32298,ETH,population_u5,3
161,ET030305,18619,ETH,population_u5,3
162,ET030306,1320,ETH,population_u5,3
163,ET030307,20281,ETH,population_u5,3
164,ET030308,24882,ETH,population_u5,3
165,ET030309,12472,ETH,population_u5,3
166,ET030310,19778,ETH,population_u5,3
167,ET030311,9887,ETH,population_u5,3
168,ET030312,1571,ETH,population_u5,3
169,ET030313,5603,ETH,population_u5,3
170,ET030314,3173,ETH,population_u5,3
171,ET030315,635,ETH,population_u5,3
172,ET030397,4358,ETH,population_u5,3
173,ET030398,4685,ETH,population_u5,3
174,ET030399,6722,ETH,population_u5,3
175,ET030401,5260,ETH,population_u5,3
176,ET030402,26066,ETH,population_u5,3
177,ET030403,13599,ETH,population_u5,3
178,ET030404,19026,ETH,population_u5,3
179,ET030405,19488,ETH,population_u5,3
180,ET030406,18025,ETH,population_u5,3
181,ET030407,27420,ETH,population_u5,3
182,ET030408,12012,ETH,population_u5,3
183,ET030409,23703,ETH,population_u5,3
184,ET030410,23410,ETH,population_u5,3
185,ET030411,22450,ETH,population_u5,3
186,ET030412,21738,ETH,population_u5,3
187,ET030413,19268,ETH,population_u5,3
188,ET030414,18162,ETH,population_u5,3
189,ET030415,15327,ETH,population_u5,3
190,ET030416,11066,ETH,population_u5,3
191,ET030417,15843,ETH,population_u5,3
192,ET030418,37092,ETH,population_u5,3
193,ET030419,11038,ETH,population_u5,3
194,ET030420,10338,ETH,population_u5,3
195,ET030421,22056,ETH,population_u5,3
196,ET030422,15916,ETH,population_u5,3
197,ET030423,2469,ETH,population_u5,3
198,ET030424,2122,ETH,population_u5,3
199,ET030425,1632,ETH,population_u5,3
200,ET030426,1517,ETH,population_u5,3
201,ET030427,1286,ETH,population_u5,3
202,ET030428,543,ETH,population_u5,3
203,ET030429,2939,ETH,population_u5,3
204,ET030498,2240,ETH,population_u5,3
