id,adminLevel,placeCode,value
269,3,ET030515,3
270,3,ET030901,0.1
271,3,ET030902,0.1
272,3,ET030903,0.1
273,3,ET030904,0.1
274,3,ET030905,0.1
275,3,ET030906,0.1
276,3,ET030907,0.1
277,3,ET030908,0.1
278,3,ET030996,0.1
279,3,ET030997,0.1
280,3,ET030998,0.1
281,3,ET030999,0.1
282,3,ET030517,3
283,3,ET030519,3
284,3,ET030521,1
285,3,ET030522,2
286,3,ET030601,2
287,3,ET031006,0.1
288,3,ET031099,0.1
289,3,ET031106,0.1
290,3,ET031107,0.1
291,3,ET030603,3
292,3,ET030604,1
293,3,ET030610,2
294,3,ET031111,0.1
295,3,ET031112,0.1
296,3,ET031115,0.1
297,3,ET030612,2
298,3,ET030613,2
299,3,ET031118,0.1
300,3,ET031120,0.1
301,3,ET031121,0.1
302,3,ET030614,3
303,3,ET031125,0.1
304,3,ET031199,0.1
305,3,ET031206,0.1
306,3,ET031213,0.1
307,3,ET031214,0.1
308,3,ET031223,0.1
309,3,ET031224,0.1
310,3,ET031292,0.1
311,3,ET040101,2
312,3,ET040102,2
313,3,ET040103,2
314,3,ET040104,2
315,3,ET040105,2
316,3,ET040106,2
317,3,ET040107,0.1
318,3,ET040108,0.1
319,3,ET040109,0.1
320,3,ET040110,0.1
321,3,ET040111,0.1
322,3,ET040112,0.1
323,3,ET040113,0.1
324,3,ET040114,0.1
325,3,ET040115,0.1
326,3,ET040116,0.1
327,3,ET040117,0.1
328,3,ET040118,0.1
329,3,ET040119,0.1
330,3,ET040193,0.1
331,3,ET040197,2
332,3,ET040198,0.1
333,3,ET040199,0.1
334,3,ET040201,0.1
335,3,ET040202,0.1
336,3,ET040203,3
337,3,ET040204,3
338,3,ET040205,0.1
339,3,ET040206,0.1
340,3,ET040207,0.1
341,3,ET040208,0.1
342,3,ET040209,0.1
343,3,ET040210,3
344,3,ET040211,2
345,3,ET040212,0.1
346,3,ET040213,2
347,3,ET040214,0.1
348,3,ET040215,0.1
349,3,ET040216,0.1
350,3,ET040217,0.1
351,3,ET040297,0.1
352,3,ET040301,0.1
353,3,ET040302,0.1
354,3,ET040309,0.1
355,3,ET040310,0.1
356,3,ET040311,0.1
357,3,ET040312,0.1
358,3,ET040313,0.1
359,3,ET040314,0.1
360,3,ET040315,0.1
361,3,ET040316,0.1
362,3,ET040317,0.1
363,3,ET040319,0.1
364,3,ET040320,0.1
365,3,ET040324,0.1
366,3,ET040401,0.1
367,3,ET040402,0.1
368,3,ET040403,0.1
369,3,ET040404,0.1
370,3,ET040405,0.1
371,3,ET040406,0.1
372,3,ET040407,0.1
373,3,ET040408,0.1
374,3,ET040409,0.1
375,3,ET040410,0.1
376,3,ET040411,0.1
377,3,ET040412,0.1
378,3,ET040413,0.1
379,3,ET040414,0.1
380,3,ET040415,0.1
381,3,ET040416,0.1
382,3,ET040417,0.1
383,3,ET040418,0.1
384,3,ET040490,0.1
385,3,ET040491,0.1
386,3,ET040495,0.1
387,3,ET040499,0.1
388,3,ET040500,0.1
389,3,ET040501,0.1
390,3,ET040502,0.1
391,3,ET040503,0.1
392,3,ET040504,0.1
393,3,ET040505,0.1
394,3,ET040506,0.1
395,3,ET040507,0.1
396,3,ET040508,0.1
397,3,ET040509,0.1
398,3,ET040510,0.1
399,3,ET040511,0.1
400,3,ET040513,0.1
401,3,ET040514,0.1
402,3,ET040515,0.1
403,3,ET040516,0.1
404,3,ET040517,0.1
405,3,ET040518,0.1
406,3,ET040519,0.1
407,3,ET040590,0.1
408,3,ET040592,0.1
409,3,ET040594,0.1
410,3,ET040597,0.1
411,3,ET040601,3
412,3,ET040602,3
413,3,ET040603,2
414,3,ET040604,2
415,3,ET040605,2
416,3,ET040606,2
417,3,ET040607,2
418,3,ET040608,2
419,3,ET040609,3
420,3,ET040610,2
421,3,ET040613,0.1
422,3,ET040614,2
423,3,ET040615,2
424,3,ET040617,3
425,3,ET040701,2
426,3,ET040702,3
427,3,ET040703,3
428,3,ET040704,0.1
429,3,ET040705,0.1
430,3,ET040706,0.1
431,3,ET040707,3
432,3,ET040708,3
433,3,ET040709,0.1
434,3,ET040710,0.1
435,3,ET040711,0.1
436,3,ET040714,0.1
437,3,ET040797,0.1
438,3,ET040799,0.1
439,3,ET040801,2
440,3,ET040802,3
441,3,ET040803,1
442,3,ET040804,0.1
443,3,ET040805,0.1
444,3,ET040806,2
445,3,ET040807,0.1
446,3,ET040808,0.1
447,3,ET040809,0.1
448,3,ET040810,2
449,3,ET040811,1
450,3,ET040812,2
451,3,ET040813,0.1
452,3,ET040814,2
453,3,ET040815,0.1
454,3,ET040816,0.1
455,3,ET040817,0.1
456,3,ET040818,0.1
457,3,ET040819,0.1
458,3,ET040820,0.1
459,3,ET040821,0.1
460,3,ET040822,0.1
461,3,ET040823,0.1
462,3,ET040824,0.1
463,3,ET040825,0.1
464,3,ET040893,1
465,3,ET040894,0.1
466,3,ET040901,1
467,3,ET040902,1
468,3,ET040903,2
469,3,ET040904,2
470,3,ET040905,0.1
471,3,ET040906,1
472,3,ET040907,1
473,3,ET040908,2
474,3,ET040909,2
475,3,ET040910,2
476,3,ET040911,2
477,3,ET040912,2
478,3,ET040913,2
479,3,ET040914,0.1
480,3,ET040915,1
481,3,ET040991,1
482,3,ET040998,1
483,3,ET041000,0.1
484,3,ET041001,2
485,3,ET041002,2
486,3,ET041003,1
487,3,ET041004,1
488,3,ET041005,1
489,3,ET041006,2
490,3,ET041007,2
491,3,ET041008,2
492,3,ET041009,1
493,3,ET041010,2
494,3,ET041011,2
495,3,ET041012,1
496,3,ET041013,1
497,3,ET041014,1
498,3,ET041015,1
499,3,ET041016,1
500,3,ET041017,1
501,3,ET041018,1
502,3,ET041019,0.1
503,3,ET041089,1
504,3,ET041097,0.1
505,3,ET041098,1
506,3,ET041099,0.1
507,3,ET041104,3
508,3,ET041106,3
509,3,ET041109,0.1
510,3,ET041110,0.1
511,3,ET041111,1
512,3,ET041112,1
513,3,ET041113,1
514,3,ET041114,1
515,3,ET041115,1
516,3,ET041116,2
517,3,ET041119,0.1
518,3,ET041120,0.1
519,3,ET041122,0.1
520,3,ET041199,1
521,3,ET041207,2
522,3,ET041208,1
523,3,ET041210,1
524,3,ET041211,1
525,3,ET041212,2
526,3,ET041216,1
527,3,ET041219,1
528,3,ET041220,1
529,3,ET041223,2
530,3,ET041290,1
531,3,ET041291,1
532,3,ET041295,2
533,3,ET041296,0.1
534,3,ET041298,1
535,3,ET041301,0.1
536,3,ET041302,0.1
537,3,ET041303,0.1
538,3,ET041304,0.1
539,3,ET041305,0.1
540,3,ET041307,0.1
541,3,ET041308,0.1
542,3,ET041309,0.1
543,3,ET041310,0.1
544,3,ET041311,0.1
545,3,ET041312,0.1
546,3,ET041314,0.1
547,3,ET041401,0.1
548,3,ET041402,0.1
549,3,ET041403,2
550,3,ET041404,2
551,3,ET041405,0.1
552,3,ET041407,1
553,3,ET041408,0.1
554,3,ET041410,0.1
555,3,ET041411,0.1
556,3,ET041412,1
557,3,ET041413,1
558,3,ET041414,0.1
559,3,ET041482,1
560,3,ET041490,0.1
561,3,ET041492,0.1
562,3,ET041497,1
563,3,ET041499,0.1
564,3,ET041501,1
565,3,ET041502,2
566,3,ET041509,2
567,3,ET041513,1
568,3,ET041515,1
569,3,ET041517,1
570,3,ET041518,1
571,3,ET041587,0.1
572,3,ET041594,2
573,3,ET041596,2
574,3,ET041603,0.1
575,3,ET041604,0.1
576,3,ET041605,0.1
577,3,ET041606,0.1
578,3,ET041607,0.1
579,3,ET041608,0.1
580,3,ET041618,0.1
581,3,ET041621,0.1
582,3,ET041622,0.1
583,3,ET041623,0.1
584,3,ET041700,0.1
585,3,ET041701,1
586,3,ET041702,1
587,3,ET041703,2
588,3,ET041704,3
589,3,ET041705,0.1
590,3,ET041706,3
591,3,ET041707,3
592,3,ET041708,0.1
593,3,ET041709,3
594,3,ET041710,2
595,3,ET041711,0.1
596,3,ET041712,2
597,3,ET041783,2
598,3,ET041797,3
599,3,ET041798,0.1
600,3,ET041799,0.1
601,3,ET041801,0.1
602,3,ET041802,0.1
603,3,ET041803,0.1
604,3,ET041804,0.1
605,3,ET041805,0.1
606,3,ET041806,0.1
607,3,ET041807,2
608,3,ET041808,0.1
609,3,ET041809,0.1
610,3,ET041810,0.1
611,3,ET041811,0.1
612,3,ET041812,0.1
613,3,ET041901,0.1
614,3,ET041902,0.1
615,3,ET041903,0.1
616,3,ET041904,0.1
617,3,ET041905,0.1
618,3,ET041906,0.1
619,3,ET041907,0.1
620,3,ET041908,0.1
621,3,ET041909,0.1
622,3,ET041910,0.1
623,3,ET041911,0.1
624,3,ET041912,0.1
625,3,ET042001,0.1
626,3,ET042004,0.1
627,3,ET042005,0.1
628,3,ET042006,0.1
629,3,ET042008,0.1
630,3,ET042009,0.1
631,3,ET042011,0.1
632,3,ET042012,0.1
633,3,ET042013,0.1
634,3,ET042014,0.1
635,3,ET042016,0.1
636,3,ET042018,0.1
637,3,ET042020,0.1
638,3,ET042098,0.1
639,3,ET042101,2
640,3,ET042102,1
641,3,ET042103,2
