PCODE_Mun_City,percentage_vul_housing
PH064518000,0.146201232
PH064519000,0.134886364
PH064520000,0.118308617
PH064521000,0.20144435
PH064522000,0.1496
PH064523000,0.192305368
PH064532000,0.08215639
PH064524000,0.152328622
PH064525000,0.19715264
PH064526000,0.071000428
PH064529000,0.137948824
PH064530000,0.166609881
PH074601000,0.354552049
PH074602000,0.407582026
PH074603000,0.214789589
PH074604000,0.2031223
PH074605000,0.38483816
PH074607000,0.428983501
PH074608000,0.063456633
PH074606000,0.244964724
PH074611000,0.296712181
PH074621000,0.235736643
PH074609000,0.347732181
PH074610000,0.093455695
PH074612000,0.561950666
PH074613000,0.405758583
PH074614000,0.114529428
PH074615000,0.293077158
PH074616000,0.237108656
PH074617000,0.300043706
PH074618000,0.361141403
PH074619000,0.426938314
PH074620000,0.255257433
PH074622000,0.46394947
PH074623000,0.157093952
PH074624000,0.259682994
PH074625000,0.405578418
PH012801000,0.0243309
PH012802000,0.004803947
PH012803000,0.066600957
PH012804000,0.027746319
PH012811000,0.050260358
PH012806000,0.081667376
PH012807000,0.016447368
PH012805000,0.018978102
PH012808000,0.032588102
PH012809000,0.021246121
PH012810000,0.030630631
PH012812000,0.006764909
PH012813000,0.032489128
PH012814000,0.13805047
PH012815000,0.114427861
PH012816000,0.069009937
PH012817000,0.05003885
PH012818000,0.028377545
PH012819000,0.047368421
PH012820000,0.008938833
PH012821000,0.007526882
PH012822000,0.019062143
PH012823000,0.008345286
PH012901000,0.009569378
PH012902000,0.015828151
PH012903000,0.007403559
PH012904000,0.015785609
PH012905000,0.033584472
PH012907000,0.017625232
PH012908000,0.032440056
PH012906000,0.011671405
PH012934000,0.013268346
PH012909000,0.010869565
PH012910000,0.002209945
PH012911000,0.007049345
PH012912000,0.083030472
PH012913000,0.014382403
PH012914000,0.028213166
PH012915000,0.010106682
PH012916000,0.012093726
PH012917000,0.00589391
PH012918000,0.01010101
PH012919000,0.020648968
PH012920000,0.026238592
PH012921000,0.019586507
PH012922000,0.012076583
PH012923000,0.010488246
PH012924000,0.039981826
PH012925000,0.085610515
PH012926000,0.02169655
PH012927000,0.033419023
PH012928000,0.035554181
PH012929000,0.001953125
PH012930000,0.056162513
PH012931000,0.099526066
PH012932000,0.03520262
PH012933000,0.022035928
PH013301000,0.012217059
PH013302000,0.018345154
PH013303000,0.017894084
PH013304000,0.003407155
PH013305000,0.01392596
PH013306000,0.020081913
PH013307000,0.017362169
PH013308000,0.013203215
PH013309000,0.01217079
PH013314000,0.004606968
PH013310000,0.024776156
PH013311000,0.018297872
PH013312000,0.018828452
PH013313000,0.013782671
PH013315000,0.014541677
PH013316000,0.020456708
PH013317000,0.022384368
PH013318000,0.020282506
PH013319000,0.032896496
PH013320000,0.027724665
PH015501000,0.15894141
PH015502000,0.072822911
PH015504000,0.046813651
PH015505000,0.057528332
PH015506000,0.039559763
PH015507000,0.051196033
PH015508000,0.108849122
PH015509000,0.044708297
PH015510000,0.027253978
PH015511000,0.049241813
PH015512000,0.036242251
PH015513000,0.092813051
PH015514000,0.075979969
PH015515000,0.145910977
PH015516000,0.149084018
PH015517000,0.037689741
PH015503000,0.073881227
PH015546000,0.03383203
PH015518000,0.04249204
PH015519000,0.194545455
PH015520000,0.196078431
PH015521000,0.085613905
PH015548000,0.036724356
PH015522000,0.148251682
PH015523000,0.159266244
PH015524000,0.045753936
PH015525000,0.03820287
PH015526000,0.058666667
PH015527000,0.085986463
PH015528000,0.01968556
PH015529000,0.065325739
PH015530000,0.035559244
PH015531000,0.024821203
PH015532000,0.090346138
PH015533000,0.052951204
PH015534000,0.046920821
PH015535000,0.064388055
PH015536000,0.0728485
PH015537000,0.08104361
PH015538000,0.034184719
PH015539000,0.021169079
PH015540000,0.016620499
PH015541000,0.033930614
PH015542000,0.128615702
PH015543000,0.040118719
PH015544000,0.135938425
PH015545000,0.08942774
PH015547000,0.048961841
PH020901000,0.000877193
PH020902000,0.133010883
PH020903000,0.005602241
PH020904000,0.045558087
PH020905000,0.032178218
PH020906000,0.002824859
PH021501000,0.150454484
PH021502000,0.025388488
PH021503000,0.084086079
PH021504000,0.053239864
PH021505000,0.10658466
PH021506000,0.034179128
PH021507000,0.170057774
PH021508000,0.15632012
PH021509000,0.40690188
PH021510000,0.035117057
PH021511000,0.106814261
PH021512000,0.10107584
PH021513000,0.042974678
PH021514000,0.044860473
PH021515000,0.036180406
PH021516000,0.034550839
PH021517000,0.028154681
PH021518000,0.236499803
PH021519000,0.031985742
PH021520000,0.060864826
PH021521000,0.193291925
PH021522000,0.136087268
PH021523000,0.109194657
PH021524000,0.231083845
PH021525000,0.068016004
PH021526000,0.054965646
PH021527000,0.108621897
PH021528000,0.060805807
PH021529000,0.014943655
PH023101000,0.022098788
PH023102000,0.050547427
PH023103000,0.025472375
PH023104000,0.030846063
PH023105000,0.046581651
PH023106000,0.046296296
PH023107000,0.031860568
PH023108000,0.029693423
PH023135000,0.028316693
PH023109000,0.067710372
PH023118000,0.066144874
PH023110000,0.171193416
PH023111000,0.149193548
PH023112000,0.074248324
PH023113000,0.042105263
PH023114000,0.020205013
PH023115000,0.048019093
PH023116000,0.016808606
PH023117000,0.08137045
PH023119000,0.120696478
PH023120000,0.069770636
PH023121000,0.205073996
PH023122000,0.157733015
PH023123000,0.082840237
PH023124000,0.058084893
PH023125000,0.034673107
PH023126000,0.052886326
PH023127000,0.01805659
PH023128000,0.056999345
PH023129000,0.031148135
PH023130000,0.068785896
PH023131000,0.104694676
PH023132000,0.019720517
PH023133000,0.038286054
PH023134000,0.144915431
PH023136000,0.058376156
PH023137000,0.04336355
PH025015000,0.160493827
PH025001000,0.201188455
PH025002000,0.055694395
PH025003000,0.042696886
PH025004000,0.033373786
PH025005000,0.013587494
PH025006000,0.114043139
PH025007000,0.052207002
PH025008000,0.071586879
PH025009000,0.048100048
PH025010000,0.128714676
PH025011000,0.04642639
PH025012000,0.036827957
PH025013000,0.018440464
PH025014000,0.031914894
PH025701000,0.061696265
PH025702000,0.033455613
PH025703000,0.059150489
PH025704000,0.025391068
PH025706000,0.048069022
PH025705000,0.054142533
PH037701000,0.114137931
PH037702000,0.187312775
PH037703000,0.129475869
PH037704000,0.19727376
PH037705000,0.134927717
PH037706000,0.117360813
PH037707000,0.042964554
PH037708000,0.067470283
PH030801000,0.022082702
PH030802000,0.05415764
PH030803000,0.025850864
PH030804000,0.048306282
PH030805000,0.075989558
PH030806000,0.050457796
PH030807000,0.028819762
PH030808000,0.13481329
PH030809000,0.023022432
PH030810000,0.054472379
PH030811000,0.037374066
PH030812000,0.03757416
PH031401000,0.023130301
PH031402000,0.014522578
PH031403000,0.007814704
PH031404000,0.014376321
PH031405000,0.01528882
PH031406000,0.01243953
PH031407000,0.009754485
PH031410000,0.009705453
PH031412000,0.010285462
PH031420000,0.014242653
PH031424000,0.121109338
PH031408000,0.011105235
PH031409000,0.029066518
PH031411000,0.009146816
PH031413000,0.033820202
PH031414000,0.011680424
PH031415000,0.010577544
PH031416000,0.040356394
PH031417000,0.007691353
PH031418000,0.017979452
PH031419000,0.030949885
