countryCodeISO3,adminLevel,placeCode,indicator,value
MUS,1,MU11,populationTotal,121773
MUS,1,MU12,populationTotal,145221
MUS,1,MU13,populationTotal,110878
MUS,1,MU14,populationTotal,142406
MUS,1,MU15,populationTotal,115822
MUS,1,MU16,populationTotal,70164
MUS,1,MU17,populationTotal,377082
MUS,1,MU18,populationTotal,85894
MUS,1,MU19,populationTotal,85623
MUS,1,MU21,populationTotal,44308
MUS,1,MU22,populationTotal,297
MUS,1,MU23,populationTotal,0
