adminLevel,placeCode,indicator,value,countryCodeISO3
1,UG1,small_ruminants,9742206,UGA
1,UG2,small_ruminants,10285422,UGA
1,UG3,small_ruminants,9397561,UGA
1,UG4,small_ruminants,9438219,UGA
2,21UGA012009,small_ruminants,264202,UGA
2,21UGA003004,small_ruminants,150801,UGA
2,21UGA010001,small_ruminants,260996,UGA
2,21UGA013002,small_ruminants,216791,UGA
2,21UGA003002,small_ruminants,331341,UGA
2,21UGA008005,small_ruminants,166282,UGA
2,21UGA014003,small_ruminants,288376,UGA
2,21UGA004008,small_ruminants,433457,UGA
2,21UGA005007,small_ruminants,568939,UGA
2,21UGA003001,small_ruminants,197200,UGA
2,21UGA015004,small_ruminants,225767,UGA
2,21UGA003007,small_ruminants,537787,UGA
2,21UGA004003,small_ruminants,461078,UGA
2,21UGA012004,small_ruminants,60774,UGA
2,21UGA011001,small_ruminants,475267,UGA
2,21UGA011007,small_ruminants,488676,UGA
2,21UGA010005,small_ruminants,261649,UGA
2,21UGA010002,small_ruminants,148107,UGA
2,21UGA001005,small_ruminants,196331,UGA
2,21UGA002003,small_ruminants,283444,UGA
2,21UGA011013,small_ruminants,1607860,UGA
2,21UGA008003,small_ruminants,494540,UGA
2,21UGA014002,small_ruminants,158758,UGA
2,21UGA005004,small_ruminants,377781,UGA
2,21UGA011012,small_ruminants,168403,UGA
2,21UGA013003,small_ruminants,229606,UGA
2,21UGA005010,small_ruminants,272999,UGA
2,21UGA009006,small_ruminants,347169,UGA
2,21UGA011009,small_ruminants,365216,UGA
2,21UGA011002,small_ruminants,64264,UGA
2,21UGA015007,small_ruminants,143169,UGA
2,21UGA009004,small_ruminants,189531,UGA
2,21UGA005008,small_ruminants,298021,UGA
2,21UGA013009,small_ruminants,385294,UGA
2,21UGA005006,small_ruminants,245896,UGA
2,21UGA001007,small_ruminants,147437,UGA
2,21UGA009005,small_ruminants,103928,UGA
2,21UGA006005,small_ruminants,119967,UGA
2,21UGA001002,small_ruminants,196142,UGA
2,21UGA001004,small_ruminants,291292,UGA
2,21UGA014006,small_ruminants,183913,UGA
2,21UGA013008,small_ruminants,350516,UGA
2,21UGA009002,small_ruminants,275153,UGA
2,21UGA015009,small_ruminants,242793,UGA
2,21UGA006002,small_ruminants,84849,UGA
2,21UGA014007,small_ruminants,439513,UGA
2,21UGA005005,small_ruminants,553120,UGA
2,21UGA006004,small_ruminants,133468,UGA
2,21UGA003003,small_ruminants,253798,UGA
2,21UGA013001,small_ruminants,352347,UGA
2,21UGA002010,small_ruminants,240131,UGA
2,21UGA015008,small_ruminants,709911,UGA
2,21UGA014005,small_ruminants,852430,UGA
2,21UGA002009,small_ruminants,136156,UGA
2,21UGA015001,small_ruminants,464983,UGA
2,21UGA005003,small_ruminants,301589,UGA
2,21UGA009003,small_ruminants,237891,UGA
2,21UGA002008,small_ruminants,527167,UGA
2,21UGA002006,small_ruminants,494997,UGA
2,21UGA008007,small_ruminants,110620,UGA
2,21UGA001003,small_ruminants,293377,UGA
2,21UGA012001,small_ruminants,163498,UGA
2,21UGA004005,small_ruminants,137907,UGA
2,21UGA004006,small_ruminants,261355,UGA
2,21UGA012010,small_ruminants,229438,UGA
2,21UGA010004,small_ruminants,212030,UGA
2,21UGA002007,small_ruminants,214694,UGA
2,21UGA012007,small_ruminants,284224,UGA
2,21UGA011004,small_ruminants,392376,UGA
2,21UGA012008,small_ruminants,87444,UGA
2,21UGA012012,small_ruminants,240380,UGA
2,21UGA006001,small_ruminants,214513,UGA
2,21UGA001001,small_ruminants,355320,UGA
2,21UGA010003,small_ruminants,190564,UGA
2,21UGA003006,small_ruminants,266521,UGA
2,21UGA010007,small_ruminants,459412,UGA
2,21UGA008004,small_ruminants,289418,UGA
2,21UGA012002,small_ruminants,106452,UGA
2,21UGA012005,small_ruminants,188493,UGA
2,21UGA013005,small_ruminants,204181,UGA
2,21UGA002005,small_ruminants,343186,UGA
2,21UGA004001,small_ruminants,89563,UGA
2,21UGA014004,small_ruminants,367618,UGA
2,21UGA006006,small_ruminants,183472,UGA
2,21UGA011006,small_ruminants,214420,UGA
2,21UGA008008,small_ruminants,225758,UGA
2,21UGA002001,small_ruminants,110563,UGA
2,21UGA005011,small_ruminants,243578,UGA
2,21UGA011005,small_ruminants,192634,UGA
2,21UGA005001,small_ruminants,503334,UGA
2,21UGA010008,small_ruminants,98995,UGA
2,21UGA013006,small_ruminants,298846,UGA
2,21UGA015002,small_ruminants,874965,UGA
2,21UGA006009,small_ruminants,264767,UGA
2,21UGA015006,small_ruminants,242237,UGA
