id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,3,ETH,IPC_forecast_long,3
2,ET010103,3,ETH,IPC_forecast_long,3
3,ET010104,3,ETH,IPC_forecast_long,3
4,ET010105,3,ETH,IPC_forecast_long,3
5,ET010106,3,ETH,IPC_forecast_long,3
6,ET010107,2,ETH,IPC_forecast_long,3
7,ET010109,3,ETH,IPC_forecast_long,3
8,ET010110,3,ETH,IPC_forecast_long,3
9,ET010111,3,ETH,IPC_forecast_long,3
10,ET010112,4,ETH,IPC_forecast_long,3
11,ET010113,3,ETH,IPC_forecast_long,3
12,ET010114,2,ETH,IPC_forecast_long,3
13,ET010115,3,ETH,IPC_forecast_long,3
14,ET010116,3,ETH,IPC_forecast_long,3
15,ET010201,3,ETH,IPC_forecast_long,3
16,ET010202,3,ETH,IPC_forecast_long,3
17,ET010204,3,ETH,IPC_forecast_long,3
18,ET010205,3,ETH,IPC_forecast_long,3
19,ET010206,3,ETH,IPC_forecast_long,3
20,ET010207,3,ETH,IPC_forecast_long,3
21,ET010208,3,ETH,IPC_forecast_long,3
22,ET010209,3,ETH,IPC_forecast_long,3
23,ET010210,3,ETH,IPC_forecast_long,3
24,ET010211,2,ETH,IPC_forecast_long,3
25,ET010212,2,ETH,IPC_forecast_long,3
26,ET010213,2,ETH,IPC_forecast_long,3
27,ET010214,3,ETH,IPC_forecast_long,3
28,ET010215,3,ETH,IPC_forecast_long,3
29,ET010216,4,ETH,IPC_forecast_long,3
30,ET010217,3,ETH,IPC_forecast_long,3
31,ET010218,3,ETH,IPC_forecast_long,3
32,ET010219,3,ETH,IPC_forecast_long,3
33,ET010220,2,ETH,IPC_forecast_long,3
34,ET010221,3,ETH,IPC_forecast_long,3
35,ET010222,3,ETH,IPC_forecast_long,3
36,ET010301,3,ETH,IPC_forecast_long,3
37,ET010302,4,ETH,IPC_forecast_long,3
38,ET010303,3,ETH,IPC_forecast_long,3
39,ET010304,3,ETH,IPC_forecast_long,3
40,ET010305,3,ETH,IPC_forecast_long,3
41,ET010306,3,ETH,IPC_forecast_long,3
42,ET010307,3,ETH,IPC_forecast_long,3
43,ET010308,2,ETH,IPC_forecast_long,3
44,ET010309,2,ETH,IPC_forecast_long,3
45,ET010310,3,ETH,IPC_forecast_long,3
46,ET010311,2,ETH,IPC_forecast_long,3
47,ET010312,2,ETH,IPC_forecast_long,3
48,ET010313,2,ETH,IPC_forecast_long,3
49,ET010314,3,ETH,IPC_forecast_long,3
50,ET010315,2,ETH,IPC_forecast_long,3
51,ET010316,3,ETH,IPC_forecast_long,3
52,ET010317,3,ETH,IPC_forecast_long,3
53,ET010318,3,ETH,IPC_forecast_long,3
54,ET010401,3,ETH,IPC_forecast_long,3
55,ET010402,3,ETH,IPC_forecast_long,3
56,ET010403,3,ETH,IPC_forecast_long,3
57,ET010404,3,ETH,IPC_forecast_long,3
58,ET010405,3,ETH,IPC_forecast_long,3
59,ET010406,3,ETH,IPC_forecast_long,3
60,ET010407,3,ETH,IPC_forecast_long,3
61,ET010408,3,ETH,IPC_forecast_long,3
62,ET010409,2,ETH,IPC_forecast_long,3
63,ET010410,2,ETH,IPC_forecast_long,3
64,ET010411,2,ETH,IPC_forecast_long,3
65,ET010412,2,ETH,IPC_forecast_long,3
66,ET010413,3,ETH,IPC_forecast_long,3
67,ET010414,3,ETH,IPC_forecast_long,3
68,ET010501,2,ETH,IPC_forecast_long,3
69,ET010502,2,ETH,IPC_forecast_long,3
70,ET010503,2,ETH,IPC_forecast_long,3
