id,placeCode,value,countryCodeISO3,indicator,adminLevel
118,ET020401,287,ETH,walking_travel_time_to_health,3
119,ET020402,283,ETH,walking_travel_time_to_health,3
120,ET020403,410,ETH,walking_travel_time_to_health,3
121,ET020404,185,ETH,walking_travel_time_to_health,3
122,ET020405,158,ETH,walking_travel_time_to_health,3
123,ET020501,265,ETH,walking_travel_time_to_health,3
124,ET020502,152,ETH,walking_travel_time_to_health,3
125,ET020503,182,ETH,walking_travel_time_to_health,3
126,ET020504,238,ETH,walking_travel_time_to_health,3
127,ET020505,271,ETH,walking_travel_time_to_health,3
128,ET030101,145,ETH,walking_travel_time_to_health,3
129,ET030102,173,ETH,walking_travel_time_to_health,3
130,ET030103,143,ETH,walking_travel_time_to_health,3
131,ET030104,156,ETH,walking_travel_time_to_health,3
132,ET030105,83,ETH,walking_travel_time_to_health,3
133,ET030106,12,ETH,walking_travel_time_to_health,3
134,ET030119,182,ETH,walking_travel_time_to_health,3
135,ET030198,24,ETH,walking_travel_time_to_health,3
136,ET030201,172,ETH,walking_travel_time_to_health,3
137,ET030202,97,ETH,walking_travel_time_to_health,3
138,ET030203,99,ETH,walking_travel_time_to_health,3
139,ET030204,72,ETH,walking_travel_time_to_health,3
140,ET030205,175,ETH,walking_travel_time_to_health,3
141,ET030206,119,ETH,walking_travel_time_to_health,3
142,ET030207,162,ETH,walking_travel_time_to_health,3
143,ET030208,106,ETH,walking_travel_time_to_health,3
144,ET030209,105,ETH,walking_travel_time_to_health,3
145,ET030210,50,ETH,walking_travel_time_to_health,3
146,ET030211,111,ETH,walking_travel_time_to_health,3
147,ET030212,115,ETH,walking_travel_time_to_health,3
148,ET030213,269,ETH,walking_travel_time_to_health,3
149,ET030214,177,ETH,walking_travel_time_to_health,3
150,ET030215,66,ETH,walking_travel_time_to_health,3
151,ET030216,12,ETH,walking_travel_time_to_health,3
152,ET030217,12,ETH,walking_travel_time_to_health,3
153,ET030218,18,ETH,walking_travel_time_to_health,3
154,ET030293,11,ETH,walking_travel_time_to_health,3
155,ET030298,101,ETH,walking_travel_time_to_health,3
156,ET030299,12,ETH,walking_travel_time_to_health,3
157,ET030301,259,ETH,walking_travel_time_to_health,3
158,ET030302,102,ETH,walking_travel_time_to_health,3
159,ET030303,156,ETH,walking_travel_time_to_health,3
160,ET030304,133,ETH,walking_travel_time_to_health,3
161,ET030305,87,ETH,walking_travel_time_to_health,3
162,ET030306,73,ETH,walking_travel_time_to_health,3
163,ET030307,88,ETH,walking_travel_time_to_health,3
164,ET030308,88,ETH,walking_travel_time_to_health,3
165,ET030309,40,ETH,walking_travel_time_to_health,3
166,ET030310,116,ETH,walking_travel_time_to_health,3
167,ET030311,140,ETH,walking_travel_time_to_health,3
168,ET030312,55,ETH,walking_travel_time_to_health,3
169,ET030313,108,ETH,walking_travel_time_to_health,3
170,ET030314,95,ETH,walking_travel_time_to_health,3
171,ET030315,42,ETH,walking_travel_time_to_health,3
172,ET030397,29,ETH,walking_travel_time_to_health,3
173,ET030398,10,ETH,walking_travel_time_to_health,3
174,ET030399,127,ETH,walking_travel_time_to_health,3
175,ET030401,119,ETH,walking_travel_time_to_health,3
176,ET030402,170,ETH,walking_travel_time_to_health,3
177,ET030403,103,ETH,walking_travel_time_to_health,3
178,ET030404,139,ETH,walking_travel_time_to_health,3
179,ET030405,66,ETH,walking_travel_time_to_health,3
180,ET030406,130,ETH,walking_travel_time_to_health,3
181,ET030407,91,ETH,walking_travel_time_to_health,3
182,ET030408,93,ETH,walking_travel_time_to_health,3
183,ET030409,125,ETH,walking_travel_time_to_health,3
184,ET030410,100,ETH,walking_travel_time_to_health,3
185,ET030411,175,ETH,walking_travel_time_to_health,3
186,ET030412,119,ETH,walking_travel_time_to_health,3
187,ET030413,138,ETH,walking_travel_time_to_health,3
188,ET030414,187,ETH,walking_travel_time_to_health,3
189,ET030415,113,ETH,walking_travel_time_to_health,3
190,ET030416,147,ETH,walking_travel_time_to_health,3
191,ET030417,66,ETH,walking_travel_time_to_health,3
192,ET030418,60,ETH,walking_travel_time_to_health,3
193,ET030419,193,ETH,walking_travel_time_to_health,3
194,ET030420,106,ETH,walking_travel_time_to_health,3
195,ET030421,178,ETH,walking_travel_time_to_health,3
196,ET030422,119,ETH,walking_travel_time_to_health,3
197,ET030423,17,ETH,walking_travel_time_to_health,3
198,ET030424,31,ETH,walking_travel_time_to_health,3
199,ET030425,10,ETH,walking_travel_time_to_health,3
200,ET030426,16,ETH,walking_travel_time_to_health,3
201,ET030427,60,ETH,walking_travel_time_to_health,3
202,ET030428,57,ETH,walking_travel_time_to_health,3
203,ET030429,8,ETH,walking_travel_time_to_health,3
204,ET030498,49,ETH,walking_travel_time_to_health,3
205,ET030499,13,ETH,walking_travel_time_to_health,3
206,ET030501,138,ETH,walking_travel_time_to_health,3
207,ET030502,132,ETH,walking_travel_time_to_health,3
208,ET030503,143,ETH,walking_travel_time_to_health,3
209,ET030504,139,ETH,walking_travel_time_to_health,3
210,ET030505,131,ETH,walking_travel_time_to_health,3
211,ET030506,157,ETH,walking_travel_time_to_health,3
