index,placeCode,value,countryCodeISO3,adminLevel,indicator
144,PH140127000,1058,PHL,3,total_houses
145,PH148101000,2382,PHL,3,total_houses
146,PH148102000,5466,PHL,3,total_houses
147,PH148103000,4042,PHL,3,total_houses
148,PH148104000,3130,PHL,3,total_houses
149,PH148105000,4129,PHL,3,total_houses
150,PH148106000,3158,PHL,3,total_houses
151,PH148107000,3111,PHL,3,total_houses
152,PH141101000,4332,PHL,3,total_houses
153,PH141102000,87731,PHL,3,total_houses
154,PH141103000,3347,PHL,3,total_houses
155,PH141104000,2873,PHL,3,total_houses
156,PH141105000,10863,PHL,3,total_houses
157,PH141106000,14204,PHL,3,total_houses
158,PH141107000,3483,PHL,3,total_houses
159,PH141108000,4194,PHL,3,total_houses
160,PH141109000,3584,PHL,3,total_houses
161,PH141110000,33599,PHL,3,total_houses
162,PH141111000,8062,PHL,3,total_houses
163,PH141112000,2599,PHL,3,total_houses
164,PH141113000,11123,PHL,3,total_houses
165,PH141114000,3854,PHL,3,total_houses
166,PH142708000,4658,PHL,3,total_houses
167,PH142707000,7138,PHL,3,total_houses
168,PH142711000,2829,PHL,3,total_houses
169,PH142701000,3925,PHL,3,total_houses
170,PH142709000,2044,PHL,3,total_houses
171,PH142702000,1939,PHL,3,total_houses
172,PH142703000,3479,PHL,3,total_houses
173,PH142704000,3944,PHL,3,total_houses
174,PH142705000,5593,PHL,3,total_houses
175,PH142706000,4071,PHL,3,total_houses
176,PH142710000,3597,PHL,3,total_houses
177,PH143201000,2301,PHL,3,total_houses
178,PH143213000,22350,PHL,3,total_houses
179,PH143206000,1728,PHL,3,total_houses
180,PH143208000,1797,PHL,3,total_houses
181,PH143209000,6258,PHL,3,total_houses
182,PH143211000,3718,PHL,3,total_houses
183,PH143214000,1568,PHL,3,total_houses
184,PH143215000,2270,PHL,3,total_houses
185,PH144401000,1190,PHL,3,total_houses
186,PH144402000,6790,PHL,3,total_houses
187,PH144403000,1710,PHL,3,total_houses
188,PH144404000,6307,PHL,3,total_houses
189,PH144405000,2187,PHL,3,total_houses
190,PH144406000,5826,PHL,3,total_houses
191,PH144407000,2215,PHL,3,total_houses
192,PH144408000,1764,PHL,3,total_houses
193,PH144409000,2641,PHL,3,total_houses
194,PH144410000,4227,PHL,3,total_houses
195,PH137601000,137897,PHL,3,total_houses
196,PH137602000,148430,PHL,3,total_houses
197,PH137603000,115515,PHL,3,total_houses
198,PH137604000,159587,PHL,3,total_houses
199,PH137605000,101557,PHL,3,total_houses
200,PH137606000,13393,PHL,3,total_houses
201,PH137607000,192862,PHL,3,total_houses
202,PH137401000,93319,PHL,3,total_houses
203,PH137402000,95305,PHL,3,total_houses
204,PH137403000,175280,PHL,3,total_houses
205,PH137405000,26768,PHL,3,total_houses
206,PH137404000,660249,PHL,3,total_houses
207,PH137501000,353357,PHL,3,total_houses
208,PH137502000,81724,PHL,3,total_houses
209,PH137503000,56260,PHL,3,total_houses
210,PH137504000,147161,PHL,3,total_houses
211,PH064501000,126516,PHL,3,total_houses
212,PH064502000,39765,PHL,3,total_houses
213,PH064503000,14823,PHL,3,total_houses
214,PH064504000,34947,PHL,3,total_houses
215,PH064505000,18380,PHL,3,total_houses
216,PH064506000,4947,PHL,3,total_houses
217,PH064507000,22604,PHL,3,total_houses
218,PH064509000,21519,PHL,3,total_houses
219,PH064510000,25229,PHL,3,total_houses
220,PH064515000,39841,PHL,3,total_houses
221,PH064527000,14783,PHL,3,total_houses
222,PH064528000,22840,PHL,3,total_houses
223,PH064531000,19063,PHL,3,total_houses
224,PH064508000,14180,PHL,3,total_houses
225,PH064511000,20421,PHL,3,total_houses
226,PH064512000,12368,PHL,3,total_houses
227,PH064513000,12698,PHL,3,total_houses
228,PH064514000,13332,PHL,3,total_houses
229,PH064516000,15375,PHL,3,total_houses
230,PH064517000,16740,PHL,3,total_houses
231,PH064518000,12254,PHL,3,total_houses
232,PH064519000,8841,PHL,3,total_houses
233,PH064520000,18227,PHL,3,total_houses
234,PH064521000,12008,PHL,3,total_houses
235,PH064522000,6267,PHL,3,total_houses
236,PH064523000,33246,PHL,3,total_houses
237,PH064532000,5862,PHL,3,total_houses
238,PH064524000,30569,PHL,3,total_houses
239,PH064525000,5557,PHL,3,total_houses
240,PH064526000,28348,PHL,3,total_houses
241,PH064529000,9724,PHL,3,total_houses
242,PH064530000,8836,PHL,3,total_houses
243,PH074601000,5524,PHL,3,total_houses
244,PH074602000,10412,PHL,3,total_houses
245,PH074603000,8255,PHL,3,total_houses
246,PH074604000,17577,PHL,3,total_houses
247,PH074605000,5914,PHL,3,total_houses
248,PH074607000,8673,PHL,3,total_houses
249,PH074608000,12624,PHL,3,total_houses
250,PH074606000,25532,PHL,3,total_houses
251,PH074611000,22324,PHL,3,total_houses
252,PH074621000,18281,PHL,3,total_houses
253,PH074609000,6500,PHL,3,total_houses
254,PH074610000,29262,PHL,3,total_houses
255,PH074612000,7100,PHL,3,total_houses
256,PH074613000,9138,PHL,3,total_houses
