"district"	"Glofas_st"	"thr_stat"	"thr"	"floods"	"floods_correct"	"floods_incorrect"	"protocol_triggered"	"triggered_in_vain"	"detection_ratio"	"false_alarm_ratio"
"1"	"020104"	"G4951"	"q95"	795.8365	6	4	2	9	5	0.67	0.56
"1"	"020104"	"G4954"	"q80"	23.592093	6	5	1	24	19	0.83	0.79
"1"	"020301"	"G1067"	"q75"	299.47537	11	8	3	15	7	0.73	0.47
"1"	"020301"	"G1067"	"q80"	355.014332	11	6	5	12	6	0.55	0.5
"1"	"050101"	"G4954"	"q95"	67.8172295999998	3	1	2	4	3	0.33	0.75
"1"	"030702"	"G4953"	"q95"	713.2098	3	1	2	2	1	0.33	0.5
"1"	"070705"	"G1901"	"q75"	3021.2395	2	1	1	10	9	0.5	0.9
"1"	"070705"	"G1901"	"q80"	3223.91174	2	1	1	9	8	0.5	0.89
"1"	"020305"	"G1053"	"q95"	828.12744	7	5	2	5	1	0.71	0.2
"1"	"020106"	"G1053"	"q95"	828.12744	2	2	0	1	0	1	0
"1"	"050902"	"KEGVS16"	"q95"	540.44836	8	2	6	4	2	0.25	0.5
"1"	"050902"	"G5141"	"q75"	857.54083	8	6	2	20	14	0.75	0.7
"1"	"050902"	"G5141"	"q80"	981.3573	8	4	4	14	10	0.5	0.71
"1"	"020101"	"G1045"	"q95"	848.4251	16	7	9	7	0	0.44	0
"1"	"020101"	"G1053"	"q95"	828.12744	16	7	9	7	0	0.44	0
"1"	"070111"	"G6107"	"q75"	1056.5564	2	2	0	2	0	1	0
"1"	"070111"	"G6107"	"q80"	1206.0715	2	2	0	2	0	1	0
"1"	"020402"	"G1045"	"q95"	848.4251	3	2	1	5	3	0.67	0.6
"1"	"030204"	"G4965"	"q10"	5.2205863	2	2	0	1	-1	1	-1
"1"	"030204"	"G4965"	"q20"	7.0208926	2	2	0	3	1	1	0.33
"1"	"030204"	"G4965"	"q50"	17.719368	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4965"	"q75"	71.35102	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q5"	6.984504	2	2	0	1	0	1	0
"1"	"030204"	"G4957"	"q10"	7.805534	2	2	0	1	-1	1	-1
"1"	"030204"	"G4957"	"q20"	9.1813596	2	2	0	2	0	1	0
"1"	"030204"	"G4957"	"q50"	21.36059	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q75"	113.67116	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q80"	140.71132	2	1	1	5	4	0.5	0.8
"1"	"040701"	"G1074"	"q50"	70.7005	3	2	1	4	2	0.67	0.5
"1"	"040701"	"G1074"	"q75"	199.1944	3	2	1	4	2	0.67	0.5
"1"	"040701"	"G1074"	"q80"	245.723072	3	2	1	4	2	0.67	0.5
"1"	"050901"	"G5115"	"q50"	305.05383	4	2	2	21	19	0.5	0.9
"1"	"050901"	"G5141"	"q75"	857.54083	4	1	3	20	19	0.25	0.95
"1"	"050901"	"G5141"	"q80"	981.3573	4	1	3	15	14	0.25	0.93
"1"	"120206"	"G1603"	"q95"	1222.27418	2	2	0	1	0	1	0
"1"	"020303"	"G1053"	"q95"	828.12744	4	2	2	3	1	0.5	0.33
"1"	"041108"	"G1902"	"q75"	140.29526	1	1	0	1	0	1	0
"1"	"120203"	"G5056"	"q80"	212.41365	1	1	0	1	0	1	0
"1"	"120204"	"G5056"	"q75"	191.86447	3	2	1	21	19	0.67	0.9
"1"	"120204"	"G5056"	"q80"	212.41365	3	2	1	24	22	0.67	0.92
"1"	"120204"	"G5056"	"q95"	307.71423	3	1	2	17	16	0.33	0.94
"1"	"040803"	"G5076"	"q50"	320.10373	2	2	0	7	5	1	0.71
"1"	"040803"	"G5076"	"q75"	734.65265	2	1	1	6	5	0.5	0.83
"1"	"040803"	"G5076"	"q80"	857.090880000001	2	1	1	6	5	0.5	0.83
"1"	"041105"	"G5081"	"q80"	915.0008	2	1	1	1	0	0.5	0
"1"	"050801"	"G5115"	"q50"	305.05383	2	2	0	1	0	1	0
"1"	"030308"	"G1045"	"q95"	848.4251	2	1	1	2	1	0.5	0.5
"1"	"120207"	"G5056"	"q80"	212.41365	4	4	0	6	3	1	0.5
"1"	"120207"	"G5056"	"q95"	307.71423	4	1	3	4	3	0.25	0.75
"1"	"120407"	"G1603"	"q95"	1222.27418	1	1	0	1	0	1	0
"1"	"120407"	"G5056"	"q95"	307.71423	1	1	0	1	0	1	0
"1"	"120103"	"G1603"	"q80"	965.03284	1	1	0	1	0	1	0
"1"	"120102"	"G1603"	"q50"	526.2765	6	5	1	12	9	0.83	0.75
"1"	"120102"	"G1603"	"q75"	914.3923	6	5	1	14	11	0.83	0.79
"1"	"120102"	"G1603"	"q80"	965.03284	6	4	2	14	11	0.67	0.79
"1"	"120102"	"G1603"	"q95"	1222.27418	6	2	4	8	7	0.33	0.88
"1"	"120102"	"G5056"	"q95"	307.71423	6	2	4	15	13	0.33	0.87
"1"	"071012"	"G1901"	"q50"	2010.5155	2	1	1	2	1	0.5	0.5
"1"	"041008"	"G6109"	"q75"	277.1714	2	1	1	4	3	0.5	0.75
"1"	"041008"	"G6109"	"q80"	311.00412	2	1	1	4	3	0.5	0.75
"1"	"070706"	"G1901"	"q75"	3021.2395	5	4	1	14	10	0.8	0.71
"1"	"070706"	"G1901"	"q80"	3223.91174	5	3	2	12	9	0.6	0.75
