station_code,station_name,lat,lon,custom_threshold,2yr_threshold,5yr_threshold,10yr_threshold,20yr_threshold,2yr_threshold_7day,5yr_threshold_7day,10yr_threshold_7day,20yr_threshold_7day,2yr_threshold_3day,5yr_threshold_3day,10yr_threshold_3day,20yr_threshold_3day
G5142,ATHI MUNYU (3DA02),-1.149999976,37.15000153,,88.30430603,139.3603058,183.5127513,205.588974,,,,,,,,
G5145,Rwizi at Mbarara water works (81224),-0.649999976,30.64999962,108,78.30170142,95.73337922,108,120.0365445,,,,,,,,
G5147,MARA NAROK (1LA04),-1.25,35.04999924,,407.270813,527.4512329,631.3814494,683.3465576,,,,,,,,
G5159,AMALA (1LB02),-0.75,35.54999924,,427.3656006,550.9013672,657.733195,711.1491089,,,,,,,,
G5160,Mayanja (83218),0.649999976,32.15000153,131,114.4734134,131,138.4834333,144.0202666,,,,,,,,
G5161,MIRIU SONDU (1JG04),-0.349999994,34.75,,677.2489014,909.0155029,1109.443726,1209.657837,,,,,,,,
G5163,Pager at Kitgum,3.25,33.84999847,,185.6648247,239.0554669,266.4713254,288.071008,,,,,,,,
G5164,Aswa (ii) (86202),2.950000048,32.54999924,,484.3737308,582.369949,623.8852556,652.1226632,,,,,,,,
G5170,Na,3.150000095,36.04999924,,2607.006592,2992.773193,3326.378337,3493.180908,,,,,,,,
G5171,SUAM (2B05),1.149999976,34.65000153,,204.9988251,284.7061157,353.6357422,388.1005554,,,,,,,,
G5173,Na,2.849999905,37.45000076,,275.5379333,468.5873413,635.5334676,719.0065308,,,,,,,,
G5179,YALA (1FG02),0.050000001,34.15000153,,415.9732971,541.9798584,650.9484049,705.4326782,,,,,,,,
G5189,Muzizi (85211),0.850000024,30.75,73,63.41041175,73,79.30146293,85.23628424,,,,,,,,
G5194,LARGE NZOIA (1BD02),0.75,35.04999924,,1472.99707,1833.789429,2145.796997,2301.800781,,,,,,,,
G5195,NZOIA AT RUAMBWA FERRY (1EF01),0.150000006,34.04999924,,1612.568237,1951.601318,2244.791911,2391.387207,,,,,,,,
G5196,Akokorio at Uganda Gauge,1.75,33.84999847,588,475.5050031,588,640.7659602,672.6455429,,,,,,,,
G5197,NDO (2C07),0.449999988,35.65000153,,350.9134216,437.1864014,511.7939046,549.0976563,,,,,,,,
G5198,AWACH KABUON (1HD04),-0.449999988,34.65000153,,63.66960907,99.53189087,130.5450338,146.0516052,,,,,,,,
G5200,Magoro Ngariam,1.649999976,33.95000076,,504.3544006,644.5651245,765.817159,826.4431763,,,,,,,,
G5208,Na,1.149999976,39.25,,177.1297455,309.3100586,423.6175334,480.7712708,,,,,,,,
G5210,TANA GARISSA (4G01),-0.150000006,39.34999847,,1087.105347,1646.088135,2129.487874,2371.187744,,,,,,,,
G5216,GUCHA MIGORI (1KB05),-0.949999988,34.25,,497.8551636,667.4187622,814.0547485,887.3727417,,,,,,,,
G5218,TANA SAGANA (4BC02),-0.649999976,37.15000153,,308.3146362,404.1282654,486.9863993,528.4154663,,,,,,,,
G5220,Manafwa at Butaleja (82212),0.949999988,34.04999924,475,408.0604405,475,528.7234466,577.7148755,,,,,,,,
G5223,Kyoga Nile at Masindi port (83203),1.649999976,32.04999924,,6783.86077,8202.161056,8919.077086,9477.113963,,,,,,,,
G5224,Mutonga (4EA07),-0.349999994,37.84999847,,565.2338257,762.2387695,932.6055908,1017.789001,,,,,,,,
G5227,Nkusi (85212),1.049999952,30.75,76,62.78680968,72.06479855,76,83.78341598,,,,,,,,
G5230,SIO RIVER (1AH01),0.349999994,34.04999924,149,98.85295669,130.4271776,149,166.2997777,,,,,,,,
G5242,Semliki (85205),0.75,29.85000038,,3213.637544,3474.116619,3616.847979,3735.066154,,,,,,,,
G5299,Thiba (4DD02),-0.75,37.45000076,,325.8656921,440.8967285,540.3737793,590.1123047,,,,,,,,
