woreda;pcode;station_code
Yirgalem town;ET160020;no_station
Zala Anbesa town;ET010318;no_station
Zigem;ET030997;no_station
Setit Humera;ET010504;no_station
God-God;ET050899;no_station
Tembaro;ET070301;no_station
Tepi;ET070804;no_station
Diksis;ET040822;no_station
Dila town;ET070507;no_station
Aware;ET050303;no_station
Aykel town;ET031199;no_station
Dita;ET071008;no_station
Ayun;ET051001;no_station
Doba;ET040902;no_station
Bako Tibe;ET040506;no_station
Bedeno;ET041013;no_station
Bedesa;ET040914;no_station
Dubti town;ET020107;no_station
Shashogo;ET070204;no_station
Begi;ET040116;no_station
Bero;ET071805;no_station
Berocano;ET050608;no_station
Bibugn;ET030601;no_station
Bilate Zuria;ET160032;no_station
Bilo Nopha;ET040315;no_station
Birbirsa Kojowa;ET041596;no_station
Bishan Guracha;ET041798;no_station
Bizet;ET010310;no_station
Bodaley;ET050599;no_station
Bele Gesgar;ET040823;no_station
Bensa;ET160008;no_station
Gota-Biki;ET050198;no_station
Gulele;ET140110;no_station
Berbere;ET041114;no_station
Boji Dirmeji;ET040106;no_station
Boke;ET040910;no_station
Gumay;ET040416;no_station
Anfilo;ET041807;no_station
Angolelana Tera;ET030513;no_station
Angot;ET030313;no_station
Arba Minch town;ET071021;no_station
Aroresa;ET160009;no_station
Areka town;ET070614;no_station
Bokh;ET050702;no_station
Boloso Bombe;ET070608;no_station
Boloso Sore;ET070601;no_station
Bonga town;ET070911;no_station
Bereh;ET042011;no_station
Bonke;ET071014;no_station
Berehet;ET030517;no_station
Bambasi;ET060305;no_station
Bora (TG);ET010402;no_station
Banja;ET030902;no_station
Bedele town;ET041621;no_station
Boreda;ET071004;no_station
Baso Liben;ET030611;no_station
Bule;ET070504;no_station
Arero;ET041208;G5141
Bechena Town;ET030699;no_station
Becho (Ilu Aba Bora);ET040314;no_station
Artuma Fursi;ET031004;no_station
Abela Abaya;ET070621;no_station
Abuna Ginde Beret;ET040516;no_station
Addis Ketema (AA);ET140108;no_station
Abadir;ET130109;no_station
Abobo;ET120201;no_station
Adda Berga;ET040513;no_station
Adisezemen town;ET030299;no_station
Abay Chomen;ET041905;no_station
Adaba;ET041710;no_station
Addi Arekay;ET030101;no_station
Adilo;ET070309;no_station
Abe Dongoro;ET041910;no_station
Aboker;ET130108;no_station
Addis Ketema (DD);ET150109;no_station
Adwa;ET010204;no_station
Ahsea;ET010215;no_station
Amaro;ET072102;no_station
Analemmo;ET070208;no_station
Aba-Korow;ET050699;no_station
Abergele (AM);ET030805;no_station
Ada'a;ET040706;no_station
Adet;ET010207;no_station
Adola town;ET041492;no_station
Aheferom;ET010202;no_station
Alge Sachi;ET040302;no_station
Ameya;ET041301;no_station
Aseko;ET040802;no_station
Abaya;ET041513;no_station
Adama;ET040703;G1074
Adi Daero;ET010111;no_station
Adwa town;ET010212;no_station
Akaki;ET042012;no_station
Aleta Chuko;ET160016;no_station
Ambo town;ET040515;no_station
Anchar;ET040906;no_station
Ankober;ET030515;no_station
Aseliso;ET150201;no_station
Abaala;ET020203;no_station
Abergele (TG);ET010210;no_station
Adadle;ET050602;no_station
Adi Hageray;ET010112;no_station
Afambo;ET020104;G4951
Akaki - Kalit;ET140101;no_station
Aleta Wendo;ET160005;no_station
Amir Nur;ET130107;no_station
Arada;ET140109;no_station
Arguba;ET020306;no_station
Abeshege;ET070102;no_station
Adama town;ET040714;no_station
Adete town;ET030799;no_station
Adola;ET041403;no_station
Agulae;ET010316;no_station
Aleltu;ET040617;no_station
Ambasel;ET030404;no_station
Amuru;ET041909;no_station
Abaala town;ET020209;no_station
Abi Adi town;ET010211;no_station
Adar;ET020109;no_station
Adigrat town;ET010308;no_station
Afdera;ET020207;no_station
Alamata town;ET010411;no_station
Alfa;ET031115;no_station
Ameka;ET070215;no_station
Anderacha;ET070801;no_station
Ararso;ET050395;no_station
Arsi Negele;ET041703;no_station
Ataye town;ET030598;no_station
Awash town;ET020396;no_station
Ababo;ET041904;no_station
Abichugna Gne'a;ET040609;no_station
Adama Tulu Jido Kombolcha;ET040708;no_station
Adigudom;ET010607;no_station
Aga Wayu;ET041482;no_station
Ale;ET040311;no_station
Alle Special;ET071205;no_station
Ana Sora;ET041411;no_station
Ankasha;ET030903;no_station
Argoba;ET030401;no_station
Asela town;ET040825;no_station
Asgede;ET010105;no_station
Awabel;ET030612;no_station
Awash;ET020302;G1067
Ayira;ET040107;no_station
Babile town;ET041000;no_station
Adiyio;ET070905;no_station
Agaro town;ET040417;no_station
Aleme Ketma;ET030599;no_station
Ambo Zuria;ET040503;no_station
Aneded;ET030617;no_station
Arba Minch Zuria;ET071015;no_station
Arsi Negele town;ET041799;no_station
Assagirt;ET030514;no_station
Assosa;ET060303;no_station
Axum town;ET010213;no_station
Ayehu Guwagusa;ET030908;no_station
Badele Zuria;ET041622;no_station
Bahir Dar town;ET030712;no_station
Bati;ET031002;no_station
Bati Town;ET031099;no_station
Becho (SW Shewa);ET041309;no_station
Bekoji town;ET040894;no_station
Afdem;ET050105;no_station
Akobo;ET120101;G5056
Aleta Wondo town;ET160021;no_station
Amigna;ET040810;no_station
Antsokiya;ET030507;no_station
Asayita;ET020103;G1045
Atote Ulo;ET071403;no_station
Atsbi town;ET010315;no_station
Aweday town;ET041099;no_station
Awra (AF);ET020401;no_station
Babile (OR);ET041004;no_station
Babile (SM);ET050203;no_station
Basketo SP Woreda;ET071601;G1901
Basona Worena;ET030519;no_station
Agarfa;ET041104;no_station
Albuko;ET030408;no_station
Alicho Woriro;ET072001;no_station
Amibara;ET020301;G1067
Angacha;ET070302;no_station
Arbegona;ET160003;no_station
Asayita town;ET020111;no_station
Atsbi;ET010307;no_station
Aw-Bare;ET050205;no_station
Awra (TG);ET010507;no_station
Ayisha;ET050101;G4954
Babo;ET040111;no_station
Bahirdar Zuria;ET030702;G4953
Barey;ET050807;no_station
Bayera Koisha;ET070622;no_station
Bena Tsemay;ET070705;G1901
Bilcil-Bur;ET050306;no_station
Boji Chekorsa;ET040110;no_station
Bona Zuria;ET160017;no_station
Boricha;ET160010;no_station
Bulike town;ET071508;no_station
Burqua Dhintu;ET040998;no_station
Chencha;ET071010;no_station
Chiro town;ET040905;no_station
Churso;ET070510;no_station
Dale Wabera;ET041803;no_station
Dangila;ET030901;no_station
Darimu;ET040301;no_station
Debark town;ET030198;no_station
Debub Sodo;ET070119;no_station
Dega Damot;ET030707;no_station
Delanta;ET030406;no_station
Berahile;ET020205;no_station
Bila Seyo;ET040207;no_station
Bita;ET070910;no_station
Boko Dawula;ET070710;no_station
Bora (OR);ET040710;no_station
Bui town;ET070117;no_station
Bure town;ET030798;no_station
Cheliya;ET040505;no_station
Chire;ET160014;no_station
Dabo Hana;ET041605;no_station
Damot Gale;ET070602;no_station
Dara Otilicho;ET160025;no_station
Debark;ET030104;no_station
Debub Mecha;ET030715;no_station
Degehabur;ET050302;no_station
Derashe Special;ET072304;no_station
Beyeda;ET030102;no_station
Biyoawale;ET150208;no_station
Bole;ET140104;no_station
Bore;ET041402;no_station
Bulen;ET060207;no_station
Butajira town;ET070115;no_station
Chencha Zuriya;ET071006;no_station
Chiro Zuria;ET040913;no_station
Cobi;ET040592;no_station
Dalol;ET020206;no_station
Dangura;ET060201;no_station
Daror;ET050392;no_station
Debay Telatgen;ET030607;no_station
Bidu;ET020208;no_station
Bishoftu town;ET040709;no_station
Bokolmayo;ET050999;no_station
Borena /Debresina;ET030412;no_station
Bure (AM);ET030710;no_station
Cheha;ET070110;no_station
Chilga 1;ET031106;no_station
Chuko town;ET160035;no_station
Dalefage;ET020504;no_station
Danan;ET050603;G1904
Darara;ET160033;no_station
Dawunt;ET030311;no_station
Debre Libanos;ET040607;no_station
Deder town;ET041097;no_station
Degua Temben;ET010604;no_station
Denba Gofa;ET071502;no_station
Bilidigilu;ET060306;no_station
Boditi town;ET070615;no_station
Boneya Boshe;ET040205;no_station
Boset;ET040702;no_station
Bura;ET160024;no_station
Bursa;ET160015;no_station
Chercher;ET010414;no_station
Chirone;ET160027;no_station
Dabat;ET030105;no_station
Damboya;ET070307;no_station
Dano;ET040507;no_station
Daro Lebu;ET040909;no_station
Debeweyin;ET050504;no_station
Dechatu;ET150111;no_station
Degeluna Tijo;ET040815;no_station
Dembecha;ET030708;no_station
Dessie town;ET030418;no_station
Borecha;ET041607;no_station
Bule Hora town;ET041587;no_station
Chabe Gambeltu;ET160029;no_station
Chila;ET010201;no_station
Chole;ET040809;no_station
Chwaka;ET041623;no_station
Dalocha;ET072005;no_station
Dangila town;ET030998;no_station
Daratole;ET050788;no_station
Daye town;ET160030;no_station
Debre Tabor town;ET030210;no_station
Dedo;ET040410;no_station
Dejen town;ET030698;no_station
Dera (AM);ET030209;G4957
Didu;ET040317;no_station
Dinsho;ET041122;no_station
Dolo Odo;ET050902;G5141
Duguna Fango;ET070612;no_station
Botor Tolay;ET040495;no_station
Burayu;ET042001;no_station
Charati;ET050802;no_station
Cheta;ET070907;no_station
Chora (Buno Bedele);ET041603;no_station
Daella;ET160034;no_station
Damot Pullasa;ET070611;no_station
