station_code,station_name,lat,lon
G1966,Na,14.89,120.74
G1967,Na,15.34,120.47
G1969,Na,7.15,124.34
G1970,Na,7.15,124.79
G4608,Pototan Jalaur Bridge,10.91,122.69
G4611,Nabua,13.40,123.33
G4630,Tuguegarao Buntun Bridge,17.61,121.69
G4945,Talacogon Municipal Hall,8.45,125.78
G5368,Nia Pumping Station,8.89,125.54
G5369,Dao Bridge,11.39,122.69
