"pcode","date","dmp"
"KE036",2012-02-10,75.125
"KE039",2012-02-10,52.2592592592593
"KE040",2012-02-10,36.4579439252336
"KE028",2012-02-10,75.2395833333333
"KE014",2012-02-10,50.3410404624277
"KE007",2012-02-10,12.4025974025974
"KE043",2012-02-10,42.3467336683417
"KE019",2012-02-10,75.5023923444976
"KE011",2012-02-10,11.614910659273
"KE034",2012-02-10,20.1078147612156
"KE037",2012-02-10,49.9358288770053
"KE035",2012-02-10,71.7405063291139
"KE022",2012-02-10,74.0251572327044
"KE003",2012-02-10,25.0828025477707
"KE020",2012-02-10,80.5684210526316
"KE045",2012-02-10,59.3625
"KE042",2012-02-10,43.031746031746
"KE015",2012-02-10,24.3628865979381
"KE002",2012-02-10,23.3596153846154
"KE031",2012-02-10,45.1596091205212
"KE016",2012-02-10,32.7461139896373
"KE017",2012-02-10,33.0229885057471
"KE009",2012-02-10,14.4463855421687
"KE025",2012-02-10,27.143928035982
"KE010",2012-02-10,9.30315742989622
"KE012",2012-02-10,54.9574944071588
"KE044",2012-02-10,42.4378698224852
"KE021",2012-02-10,82.2208588957055
"KE047",2012-02-10,30.2325581395349
"KE032",2012-02-10,51.476821192053
"KE029",2012-02-10,70.8586956521739
"KE046",2012-02-10,66.4655172413793
"KE018",2012-02-10,59.2829268292683
"KE041",2012-02-10,39.45625
"KE006",2012-02-10,16.293956043956
"KE004",2012-02-10,10.7629778672032
"KE013",2012-02-10,52.030303030303
"KE026",2012-02-10,54.4487179487179
"KE023",2012-02-10,8.16786626422104
"KE027",2012-02-10,52.1681818181818
"KE038",2012-02-10,52.2631578947368
"KE008",2012-02-10,9.93117744610282
"KE024",2012-02-10,36.9351535836177
"KE033",2012-02-10,50.6235807860262
"KE001",2012-02-10,21.1
"KE005",2012-02-10,38.7887700534759
"KE030",2012-02-20,31.9416058394161
"KE036",2012-02-20,64.6225165562914
"KE039",2012-02-20,41.6951871657754
"KE040",2012-02-20,31.1495327102804
"KE028",2012-02-20,63.1666666666667
"KE014",2012-02-20,41.7109826589595
"KE007",2012-02-20,9.62842712842713
"KE043",2012-02-20,35.5326633165829
"KE019",2012-02-20,64.5502392344498
"KE011",2012-02-20,9.31484904497844
"KE034",2012-02-20,15.9479015918958
"KE037",2012-02-20,40.752688172043
"KE035",2012-02-20,60.4423076923077
"KE022",2012-02-20,61.8490566037736
"KE003",2012-02-20,22.3808917197452
"KE020",2012-02-20,67.7473684210526
"KE045",2012-02-20,54.85
"KE042",2012-02-20,36.2063492063492
"KE015",2012-02-20,19.7474226804124
"KE002",2012-02-20,20.825
"KE031",2012-02-20,36.1530944625407
"KE016",2012-02-20,25.6321243523316
"KE017",2012-02-20,26.9099616858238
