,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,3574.6218,3533.433,3473.398,3574.621826171875,3533.43310546875,3473.39794921875,G5194
1997-01-05,1997-01-05,3534.7227,3491.7024,3427.3918,3574.621826171875,3533.43310546875,3473.39794921875,G5194
1997-01-09,1997-01-09,3480.3423,3433.0208,3373.834,3574.621826171875,3533.43310546875,3473.39794921875,G5194
1997-01-12,1997-01-12,3434.9902,3389.4407,3340.974,3574.621826171875,3533.43310546875,3473.39794921875,G5194
1997-01-16,1997-01-16,3376.0352,3341.8162,3315.9856,3534.72265625,3491.702392578125,3427.391845703125,G5194
1997-01-19,1997-01-19,3342.32,3321.1277,3289.235,3480.34228515625,3433.020751953125,3373.833984375,G5194
1997-01-23,1997-01-23,3313.9167,3285.755,3284.227,3434.990234375,3389.440673828125,3340.97412109375,G5194
1997-01-26,1997-01-26,3285.4763,3278.3547,3311.7441,3376.03515625,3341.816162109375,3315.985595703125,G5194
1997-01-30,1997-01-30,3286.4167,3312.741,3312.048,3342.320068359375,3321.127685546875,3312.048095703125,G5194
1997-02-02,1997-02-02,3315.5461,3319.867,3290.1384,3315.611572265625,3319.866943359375,3312.048095703125,G5194
1997-02-06,1997-02-06,3315.6116,3287.9556,3228.7615,3315.611572265625,3319.866943359375,3312.048095703125,G5194
1997-02-09,1997-02-09,3290.8,3246.9807,3175.5364,3315.611572265625,3319.866943359375,3312.048095703125,G5194
1997-02-13,1997-02-13,3235.8538,3182.0645,3107.185,3315.611572265625,3319.866943359375,3290.138427734375,G5194
1997-02-16,1997-02-16,3183.1768,3126.4866,3055.4868,3315.611572265625,3287.95556640625,3228.761474609375,G5194
1997-02-20,1997-02-20,3109.119,3053.4297,2986.619,3290.800048828125,3246.980712890625,3175.536376953125,G5194
1997-02-23,1997-02-23,3055.7468,3002.3762,2934.1023,3235.853759765625,3182.064453125,3107.18505859375,G5194
1997-02-27,1997-02-27,2990.062,2938.1309,2865.3184,3183.1767578125,3126.486572265625,3055.48681640625,G5194
1997-03-02,1997-03-02,2940.6038,2881.6125,2808.8074,3109.118896484375,3053.4296875,2986.618896484375,G5194
1997-03-06,1997-03-06,2864.3467,2807.2056,2740.488,3055.746826171875,3002.376220703125,2934.102294921875,G5194
1997-03-09,1997-03-09,2809.395,2758.533,2691.8254,2990.06201171875,2938.130859375,2865.318359375,G5194
1997-03-13,1997-03-13,2744.7217,2693.3494,2638.1685,2940.603759765625,2881.612548828125,2808.807373046875,G5194
1997-03-16,1997-03-16,2693.606,2651.1406,2587.3545,2864.3466796875,2807.20556640625,2740.488037109375,G5194
1997-03-20,1997-03-20,2639.011,2592.6243,2543.4045,2809.39501953125,2758.532958984375,2691.825439453125,G5194
1997-03-23,1997-03-23,2594.0596,2549.4565,2516.3784,2744.7216796875,2693.349365234375,2638.16845703125,G5194
1997-03-27,1997-03-27,2547.2656,2522.3877,2493.0618,2693.60595703125,2651.140625,2587.3544921875,G5194
1997-03-30,1997-03-30,2522.8804,2503.195,2491.026,2639.010986328125,2592.624267578125,2717.055419921875,G5194
1997-04-03,1997-04-03,2489.699,2470.334,2495.1772,2594.0595703125,2659.508056640625,2795.86572265625,G5194
1997-04-06,1997-04-06,2465.1228,2465.204,2552.6428,2691.332275390625,2777.6015625,2880.72119140625,G5194
1997-04-10,1997-04-10,2477.4192,2547.8503,2717.0554,2779.182861328125,2855.671875,2969.154296875,G5194
1997-04-13,1997-04-13,2545.011,2659.508,2795.8657,2876.59423828125,2959.799560546875,3180.81396484375,G5194
1997-04-17,1997-04-17,2691.3323,2777.6016,2880.7212,2960.033935546875,3107.76123046875,3338.244384765625,G5194
1997-04-20,1997-04-20,2779.1829,2855.6719,2969.1543,3162.114013671875,3331.504150390625,3520.806396484375,G5194
1997-04-24,1997-04-24,2876.5942,2959.7996,3180.814,3327.765869140625,3450.989013671875,3608.933837890625,G5194
1997-04-27,1997-04-27,2960.034,3107.7612,3338.2444,3484.3935546875,3596.044189453125,3752.21435546875,G5194
1997-05-01,1997-05-01,3162.114,3331.5042,3520.8064,3594.671142578125,3709.103271484375,3858.024169921875,G5194
1997-05-04,1997-05-04,3327.7659,3450.989,3608.9338,3752.140869140625,3839.765625,3932.6201171875,G5194
1997-05-08,1997-05-08,3484.3936,3596.0442,3752.2144,3842.37548828125,3905.478515625,4000.07470703125,G5194
1997-05-11,1997-05-11,3594.6711,3709.1033,3858.0242,3923.033935546875,3989.140380859375,4048.933837890625,G5194
1997-05-15,1997-05-15,3752.1409,3839.7656,3932.62,3989.5009765625,4039.20703125,4048.933837890625,G5194
1997-05-18,1997-05-18,3842.3755,3905.4785,4000.0747,4046.142333984375,4039.20703125,4048.933837890625,G5194
1997-05-22,1997-05-22,3923.034,3989.1404,4048.9338,4046.142333984375,4039.20703125,4048.933837890625,G5194
1997-05-25,1997-05-25,3989.501,4039.207,4042.536,4046.142333984375,4039.20703125,4048.933837890625,G5194
1997-05-29,1997-05-29,4046.1423,4038.9438,4001.4062,4046.142333984375,4039.20703125,4048.933837890625,G5194
1997-06-01,1997-06-01,4041.206,4015.5044,3962.1821,4046.142333984375,4039.20703125,4048.933837890625,G5194
1997-06-05,1997-06-05,4003.4563,3963.387,3919.356,4046.142333984375,4039.20703125,4042.535888671875,G5194
1997-06-08,1997-06-08,3964.5942,3926.97,3898.8025,4046.142333984375,4038.94384765625,4001.40625,G5194
1997-06-12,1997-06-12,3916.2844,3896.3667,3883.811,4041.2060546875,4015.50439453125,3962.18212890625,G5194
1997-06-15,1997-06-15,3895.711,3886.2288,3858.915,4003.456298828125,3963.386962890625,3919.35595703125,G5194
1997-06-19,1997-06-19,3883.886,3854.519,3802.7888,3964.59423828125,3926.969970703125,3898.802490234375,G5194
1997-06-22,1997-06-22,3857.5889,3818.3093,3769.9724,3916.284423828125,3896.36669921875,3883.81103515625,G5194
1997-06-26,1997-06-26,3807.1296,3770.8687,3737.654,3895.7109375,3886.228759765625,3858.9150390625,G5194
1997-06-29,1997-06-29,3772.4954,3747.2878,3718.264,3883.885986328125,3854.51904296875,3802.788818359375,G5194
1997-07-03,1997-07-03,3741.9658,3716.0662,3659.7485,3857.5888671875,3818.309326171875,3769.972412109375,G5194
1997-07-06,1997-07-06,3715.819,3673.544,3618.5356,3807.129638671875,3770.86865234375,3737.654052734375,G5194
1997-07-10,1997-07-10,3664.9453,3629.493,3612.539,3772.495361328125,3747.287841796875,3718.263916015625,G5194
1997-07-13,1997-07-13,3632.8867,3620.5037,3616.348,3741.9658203125,3716.066162109375,3709.912353515625,G5194
