,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,132.43098,182.98775,246.84846,209.23252868652344,211.0832061767578,246.8484649658203,G1353
1997-01-05,1997-01-05,177.00055,202.05568,208.6551,209.23252868652344,211.0832061767578,246.8484649658203,G1353
1997-01-09,1997-01-09,208.57507,211.0832,212.95439,209.23252868652344,211.0832061767578,380.22802734375,G1353
1997-01-12,1997-01-12,209.23253,197.27704,192.7206,215.14540100097656,425.7395324707031,678.2371215820312,G1353
1997-01-16,1997-01-16,186.81525,170.81396,206.99844,420.36822509765625,638.6539916992188,886.8087768554688,G1353
1997-01-19,1997-01-19,169.17618,186.71704,380.22803,670.7335815429688,754.9393920898438,886.8087768554688,G1353
1997-01-23,1997-01-23,215.1454,425.73953,678.2371,758.938720703125,811.2890014648438,962.472900390625,G1353
1997-01-26,1997-01-26,420.36823,638.654,886.8088,819.5093383789062,887.6288452148438,1168.077880859375,G1353
1997-01-30,1997-01-30,670.7336,754.9394,824.676,876.1079711914062,1043.4881591796875,1556.7584228515625,G1353
1997-02-02,1997-02-02,758.9387,811.289,962.4729,1134.260498046875,1538.5830078125,2248.918212890625,G1353
1997-02-06,1997-02-06,819.50934,887.62885,1168.0779,1483.715087890625,1813.2303466796875,2248.918212890625,G1353
1997-02-09,1997-02-09,876.108,1043.4882,1556.7584,1833.4951171875,1813.2303466796875,2248.918212890625,G1353
1997-02-13,1997-02-13,1134.2605,1538.583,2248.9182,1833.4951171875,1813.2303466796875,2248.918212890625,G1353
1997-02-16,1997-02-16,1483.7151,1813.2303,2036.1448,1833.4951171875,1813.2303466796875,2248.918212890625,G1353
1997-02-20,1997-02-20,1833.4951,1778.4458,1544.2395,1833.4951171875,1813.2303466796875,2248.918212890625,G1353
1997-02-23,1997-02-23,1780.9672,1576.5187,1372.2992,1833.4951171875,1813.2303466796875,2248.918212890625,G1353
1997-02-27,1997-02-27,1493.3752,1344.1539,1341.5792,1833.4951171875,1813.2303466796875,2036.144775390625,G1353
1997-03-02,1997-03-02,1341.9426,1305.0374,1370.825,1833.4951171875,1778.44580078125,1544.239501953125,G1353
1997-03-06,1997-03-06,1307.721,1355.8383,1422.8116,1780.9671630859375,1576.5186767578125,1422.8116455078125,G1353
1997-03-09,1997-03-09,1355.2113,1390.0902,1394.6774,1493.375244140625,1390.0902099609375,1422.8116455078125,G1353
1997-03-13,1997-03-13,1392.6403,1384.2283,1391.8982,1392.6402587890625,1390.0902099609375,1422.8116455078125,G1353
1997-03-16,1997-03-16,1383.1643,1381.7843,1379.236,1392.6402587890625,1390.0902099609375,1422.8116455078125,G1353
1997-03-20,1997-03-20,1381.9232,1385.1892,1415.2572,1392.6402587890625,1390.0902099609375,1415.2572021484375,G1353
1997-03-23,1997-03-23,1383.0026,1387.002,1379.4247,1392.6402587890625,1460.890625,1803.0533447265625,G1353
1997-03-27,1997-03-27,1378.6235,1363.1012,1356.1307,1442.172119140625,1610.218505859375,1803.0533447265625,G1353
1997-03-30,1997-03-30,1362.9839,1350.4603,1388.7511,1623.3023681640625,1610.218505859375,1803.0533447265625,G1353
1997-04-03,1997-04-03,1352.8741,1460.8906,1803.0533,1623.3023681640625,1610.218505859375,1803.0533447265625,G1353
1997-04-06,1997-04-06,1442.1721,1610.2185,1655.8263,1623.3023681640625,1610.218505859375,1803.0533447265625,G1353
1997-04-10,1997-04-10,1623.3024,1583.8796,1470.8584,1623.3023681640625,1610.218505859375,1803.0533447265625,G1353
1997-04-13,1997-04-13,1583.1516,1492.9706,1392.5026,1623.3023681640625,1610.218505859375,1803.0533447265625,G1353
1997-04-17,1997-04-17,1464.1407,1389.3019,1317.8274,1623.3023681640625,1610.218505859375,1655.8262939453125,G1353
1997-04-20,1997-04-20,1388.8231,1330.5684,1275.9955,1623.3023681640625,1583.879638671875,1470.8583984375,G1353
1997-04-24,1997-04-24,1314.2972,1273.0035,1224.1321,1583.151611328125,1492.9705810546875,1392.5025634765625,G1353
1997-04-27,1997-04-27,1272.6832,1234.9698,1185.7325,1464.1407470703125,1389.3018798828125,1317.827392578125,G1353
1997-05-01,1997-05-01,1222.5671,1184.1669,1140.7949,1388.8231201171875,1330.568359375,1275.9954833984375,G1353
1997-05-04,1997-05-04,1183.9921,1150.0043,1104.8549,1314.2972412109375,1273.0035400390625,1224.132080078125,G1353
1997-05-08,1997-05-08,1139.1041,1104.542,1050.4552,1272.6832275390625,1234.9698486328125,1185.7325439453125,G1353
1997-05-11,1997-05-11,1104.514,1065.0823,1005.0922,1222.567138671875,1184.1668701171875,1140.794921875,G1353
1997-05-15,1997-05-15,1050.7214,1005.8433,942.847,1183.9920654296875,1150.0042724609375,1104.8548583984375,G1353
1997-05-18,1997-05-18,1005.7443,958.2769,895.6434,1139.1041259765625,1104.5419921875,1050.4552001953125,G1353
1997-05-22,1997-05-22,942.00543,894.5468,833.6812,1104.5140380859375,1065.082275390625,1005.0922241210938,G1353
1997-05-25,1997-05-25,894.64465,849.25116,791.1816,1050.721435546875,1005.8433227539062,942.8469848632812,G1353
1997-05-29,1997-05-29,834.4622,791.665,739.1981,1005.7443237304688,958.2769165039062,895.6433715820312,G1353
1997-06-01,1997-06-01,791.7204,752.1007,702.2959,942.0054321289062,894.5468139648438,833.6812133789062,G1353
1997-06-05,1997-06-05,739.51196,702.3256,654.5345,894.6446533203125,849.2511596679688,791.1815795898438,G1353
1997-06-08,1997-06-08,702.22925,665.9257,618.6304,834.4622192382812,791.6649780273438,739.1981201171875,G1353
1997-06-12,1997-06-12,653.8376,618.2725,573.3837,791.7203979492188,752.1007080078125,702.2958984375,G1353
1997-06-15,1997-06-15,618.2081,584.0725,542.491,739.511962890625,702.3256225585938,654.5344848632812,G1353
1997-06-19,1997-06-19,573.1302,541.96747,502.6239,702.229248046875,665.9257202148438,618.63037109375,G1353
1997-06-22,1997-06-22,541.94006,512.2842,476.43494,653.8375854492188,618.2725219726562,573.3837280273438,G1353
1997-06-26,1997-06-26,502.817,476.30115,444.2823,618.2081298828125,584.072509765625,542.4910278320312,G1353
1997-06-29,1997-06-29,476.31985,452.30933,422.27664,573.1301879882812,541.9674682617188,502.6239013671875,G1353
1997-07-03,1997-07-03,444.63373,422.11826,394.18048,541.9400634765625,512.2841796875,476.4349365234375,G1353
1997-07-06,1997-07-06,422.16464,401.0551,376.4517,502.8169860839844,476.3011474609375,444.28228759765625,G1353
1997-07-10,1997-07-10,394.37793,375.93112,353.65558,476.3198547363281,452.309326171875,422.2766418457031,G1353
1997-07-13,1997-07-13,375.95657,359.2102,338.15372,444.63372802734375,422.1182556152344,394.18048095703125,G1353
1997-07-17,1997-07-17,353.73276,337.87427,316.98935,422.1646423339844,401.05511474609375,376.4516906738281,G1353
1997-07-20,1997-07-20,337.8946,322.37946,301.51508,394.3779296875,375.9311218261719,353.65557861328125,G1353
1997-07-24,1997-07-24,317.19315,301.68863,282.4731,375.9565734863281,359.210205078125,338.1537170410156,G1353
1997-07-27,1997-07-27,301.7083,287.3004,269.51776,353.7327575683594,337.874267578125,316.9893493652344,G1353
1997-07-31,1997-07-31,282.7488,269.53458,253.26547,337.89459228515625,322.37945556640625,301.51507568359375,G1353
1997-08-03,1997-08-03,269.51437,256.981,242.43645,317.1931457519531,301.6886291503906,282.4731140136719,G1353
1997-08-07,1997-08-07,253.11345,242.51445,229.81494,301.70831298828125,287.3004150390625,269.51776123046875,G1353
