StationCode,stationName,lat,lon,fid
G5040,Bangoran A Bangoran,8.125,20.325,G5040
G1745,Nana Barya A Markounda,7.6333,16.967,G1745
G5174,Lobaye Ngotto,4.025,17.325,G5174
G5192,Mpoko Bimbo,4.325,18.475,G5192
G5012,Koukourou A Koukourou,7.2,20.017,G5012
G5132,Chinko A Rafai,4.977,23.932,G5132
G5139,Ouaka A Bambari,5.7631,20.662,G5139
G1086,Batangafo,7.3,18.28,G1086
G5144,Kotto Bria,6.525,22.025,G5144
G5243,Ombella Ombella,5.175,18.875,G5243
G1117,M Bata,3.67,18.3,G1117
G5128,Ouarra A Dembia,5.101,24.489,G5128
G5162,Mbokou A Obo,5.4,26.5,G5162
G5126,Mbali A Boali - I.C.O.T,4.8955,18.023,G5126
G5146,Kotto Ira-Banda,5.925,22.125,G5146
G5177,Lobaye Safa,3.625,18.125,G5177
G1111,Loungoumba,4.73,22.68,G1111
G5186,Mbaere Bambio,3.975,16.975,G5186
G5124,Lobaye A Kedingue-Yawa,4.3504,17.075,G5124
G1092,Bac Bea,6.48,17.08,G1092
G1109,Zemio,5.03,25.15,G1109
G5158,Oubangui A Zinga,3.7138,18.587,G5158
G5181,Oubangui Mobaye,4.325,21.225,G5181
G5000,Manovo Manovo,8.175,23.025,G5000
G5090,Boungou Mahamat,6.775,21.925,G5090
G5131,Bangui-Kette A Alindao,5.0446,21.202,G5131
G5187,Tomi A Sibut,5.7265,19.082,G5187
G4991,Vokouma Ouanda-Djalle,8.875,22.675,G4991
G5059,Pende Pende,7.225,16.275,G5059
G5180,Kadei Sosso,3.975,15.525,G5180
G5022,Lim Sarki,6.975,15.325,G5022
G5178,Lobaye Mongoumba,3.675,18.525,G5178
G5042,Gribingui A Kaga Bandoro Ex. Crampel,7.0,19.183,G5042
G5135,Lobaye A Zaoro-Yanga,5.175,16.575,G5135
G5151,Ouaka Bakala,6.175,20.375,G5151
G5031,Ouham A Bozoum,6.3333,16.35,G5031
G5127,Ouaka Bambala,5.225,20.175,G5127
G5043,Bamingui A Bamingui,7.5667,20.183,G5043
G5184,Mambere A Carnot,4.975,15.825,G5184
G5120,Ngou Bougouy,7.075,15.225,G5120
G1115,Bangui,4.37,18.58,G1115
G1113,Bossele Bali,4.53,18.47,G1113
G5362,Nana A Bewiti,5.816167,15.188553,G5362
G1112,Bangassou,4.72,22.82,G1112
G5165,Kerre Kerre,5.375,25.775,G5165
G5140,Kotto Kembe,4.625,21.925,G5140
G5006,Fafa Bouca,6.525,18.275,G5006
G5091,Mbari Fode,5.475,23.325,G5091
G5172,Lesse Boyali,4.075,18.225,G5172
G4984,Yata Birao,10.275,22.825,G4984
G5001,Ouandja Ouandja,9.275,22.675,G5001
G1093,Bossangoa,6.47,17.45,G1093
G1122,Salo,3.18,16.12,G1122
