StationCode,stationName,lat,lon,fid
G5253,Cavally A Flampleu,7.2833,-8.0583,G5253
G4851,Tienba A Lile,9.3917,-7.2167,G4851
G5277,Cavally A Fete,4.91,-7.56,G5277
G5214,Bandama -Blanc- A Bada,8.1069,-5.4972,G5214
G4528,Baoule A Samatiguila,9.8189,-7.5544,G4528
G5252,Yarani-Banoroni A Seguela,8.0222,-6.6542,G5252
G4722,Soungourou A Rte Brobo-Mbahiakro,7.54,-4.67,G4722
G5233,Maraoue A Rte Beoumi-Seguela - Kongasso 10145,7.8319,-6.2542,G5233
G5205,Lobo A Nibehibe -Nibeigbeu-,6.8003,-6.7,G5205
G4793,Bagoe At Papara,10.63,-6.22,G4793
G1091,Aniassue,6.62,-3.72,G1091
G4786,Banifing A Ziemougoula,9.9222,-7.4319,G4786
G5238,Bandama -Blanc- A Tortiya Amont - Niakaramandougou,8.7639,-5.5278,G5238
G1085,Semien,7.69,-7.06,G1085
G1088,Bouafle,6.96,-5.76,G1088
G4816,Kouroukele A Iradougou,9.7069,-7.8028,G4816
G5199,Davo A Rte Gagnoa-Issia,6.1747,-6.1,G5199
G5215,Kan-De Beoumi- A Bodokro,7.852,-5.522,G5215
G1065,Kafolo,9.59,-4.29,G1065
G5032,Kavi A Mbesse,5.8386,-4.2961,G5032
G1082,Serebou,7.95,-3.94,G1082
G5033,Bandama -Blanc- A Rte Korhogo-Badikaha   10146,9.312553,-5.363917,G5033
G1099,Zienoa,6.0,-4.82,G1099
G4714,Nzi A Mbahiakro  10133,7.4458,-4.3556,G4714
G4721,Nzi A Dimbokro        10141,6.6358,-4.71,G4721
G2011,Volta-Noire- A Vonkoro,9.1667,-2.75,G2011
G1076,Dabala,8.4,-7.13,G1076
G1098,Bafecao,6.0738,-4.940846,G1098
G5264,Bia A Pont De Bianouan,6.02,-3.1936,G5264
G4723,Nzi A Bocanda,7.0442,-4.52,G4723
G5261,Comoe A Mbasso,6.29,-3.49,G5261
G5269,Agneby-Agbo A Agboville,5.9364,-4.2264,G5269
G4784,Baoule A Djirila,10.119,-7.6014,G4784
G5268,Bere A Beredramane,8.1264,-6.0,G5268
G1106,Soubre,5.76,-6.6,G1106
G1103,Tiassale,5.888,-4.8176,G1103
G1084,Fetekro,7.77,-4.68,G1084
G4917,Diore A Karakro - Kouakoukrakro,7.57,-3.52,G4917
G5226,Nse A Tai 1 -Tai Pont-,5.875,-7.4583,G5226
G5278,Boa A Vialadougou Limni   10132,8.5433,-7.2222,G5278
G4791,Comoe A Akakomoekro,7.447418,-3.509399,G4791
G4785,Bagoe A Guinguerini,9.5333,-6.6,G4785
G1063,Kouto Amont,9.8833,-6.3667,G1063
