stationCode,stationName,lat,lon,fid
G2003,Chari A Chagoua,12.09,15.085,G2003
G2006,Logone A Logone-Gana,11.564,15.144,G2006
G4867,Lim A Ouli Bangala,7.8333,15.833,G4867
G2005,Chari A Mailao,11.6,15.2833,G2005
G4926,Tandjile A Tchoa,9.3442,16.073,G4926
G1744,Na,9.825,15.825,G1744
G4893,Pende A Gore,7.95,16.617,G4893
G4961,Chari A Hellibongo,9.2442,18.331,G4961
G2007,Kabia A Patalao,9.85,15.2667,G2007
G2004,Chari A Ndjamena  -Ex Fort-Lamy-,12.1167,15.0333,G2004
G4964,Chari A Bousso,10.5,16.717,G4964
G4882,Ba-Tha A Ati,13.209,18.32,G4882
G5034,Bahr Aouk Golongosso,9.025,19.175,G5034
G4967,Kabia At Pont Carol,9.275,15.475,G4967
G1066,Lai,9.4,16.3,G1066
G1060,Bongor,10.27,15.42,G1060
G4874,Logone A Katoa,10.834,15.073,G4874
G1073,Manda,9.1864,18.2022,G1073
G4928,Ba-Tha A Oum-Hadjer,13.294,19.716,G4928
G2008,Tandjile A Bologo,9.1167,15.8,G2008
G1072,Sarh Fort Archambault,9.125,18.425,G1072
G4891,Pende A Doba Cotonfran,8.65,16.833,G4891
G4962,Bahr-Sara A Moissala,8.3333,17.767,G4962
G4935,Logone A Moundou-Pont,8.5333,16.067,G4935
G4925,Logone A Baibokoum,7.75,15.667,G4925
