StationCode,stationName,lat,lon,fid
G1680,Great Letaba River At Kruger National Park,-23.7025,31.21422,G1680
G1637,Vaal River At Annie S Rust,-26.85347,28.12139,G1637
G1614,Orange River At Kakamas South Neusberg,-28.77466,20.72243,G1614
G1681,Riet River At Philippia,-29.475,25.225,G1681
G1645,Olifants River At Tambotieboom,-24.77508,29.42196,G1645
G1626,Limpopo River At Botswana,-22.93476,28.00392,G1626
G1658,Modder River At Tweeriviere,-29.02861,24.63833,G1658
G1669,Tugela River At Tugela Ferry,-28.75003,30.44222,G1669
G1628,Orange River At Roodepoort,-30.58472,25.42083,G1628
G1635,Olifants River At Oxford,-24.18473,30.82299,G1635
G1629,Vaal River At Pilgrims Estate,-27.01011,26.69808,G1629
G1665,Caledon River At Welbedacht,-29.92639,26.85889,G1665
G5943,Swart-Doring Rivier At Bruintjieshoogte -27713201-,-30.8239,18.1175,G5943
G1646,Harts River At Espagsdrif,-27.90321,24.61514,G1646
G1672,Groot River At Buffelsfontein,-33.74917,21.4444,G1672
G1662,Wilge River At Frankfort,-27.27167,28.49111,G1662
G1666,Mogalakwena River At Leniesrus,-22.59801,28.88612,G1666
G1490,Matolemas Location Outspan,-33.2378,26.9947,G1490
G1454,Upington,-28.4578,21.2392,G1454
G1656,Vaal River At Villiers,-27.025,28.575,G1656
G1671,Tugela River At Impafana Loc,-28.74623,30.37865,G1671
G1640,Riet River At Klipdrift,-29.0425,24.59917,G1640
G1663,Vaal River At Nooitgedacht,-27.00231,28.76528,G1663
G1636,Gourits River At Zeekoedrift,-33.98028,21.65333,G1636
G1638,Na,-29.03278,23.98278,G1638
G1653,Harts River At Tlapeng,-27.47212,24.93043,G1653
G1476,Windhoek 27814013,-31.3661,21.3222,G1476
G1632,Vaal River At De Vaal,-26.97056,27.20967,G1632
G1668,Letaba River At Kruger National Park,-23.83838,31.63786,G1668
G1429,Finale 27521009,-24.3311,30.7414,G1429
G1654,Mzimvubu River At Ntontela,-31.375,29.275,G1654
G1652,Krokodil River At Nooitgedacht,-25.06303,27.52,G1652
G1625,Vaal River At Port Arlington,-27.66961,25.61767,G1625
G1433,Loskop Noord 27527001,-24.925,29.375,G1433
G5936,Great Kei At Area 8 Springs B,-32.5164,28.0181,G5936
G1674,Sondags River At Jansenville,-32.94944,24.66667,G1674
G1627,Vaal River At Klipplaatdrift,-27.38972,26.46389,G1627
G1630,Olifants River At Kruger National Park,-24.05652,31.72092,G1630
G1651,Krokodil River At Hardekoolbult,-24.93392,27.548,G1651
G1488,Brandt Legte Piggot S Bridge,-33.0981,26.4447,G1488
G1493,Grootrivierspoort 27691206,-33.7308,24.6178,G1493
G1624,Vaal River At Schoolplaats,-28.11458,24.91487,G1624
G1678,Great Fish River At Rietfontyn,-32.075,25.575,G1678
G1457,Vioolsdrif 27811003,-28.7578,17.7214,G1457
G1631,Olifants River At Kruger National Park,-24.06628,31.24288,G1631
G1620,Vaal River At Schmidtsdrif,-28.71149,24.0729,G1620
G5937,Gqunube At Outspan -27672101-,-32.8017,27.8553,G5937
G1623,Vaal River At Riverton,-28.51345,24.69709,G1623
G1611,Orange River At Onseepkans,-28.73592,19.30554,G1611
G1450,Taung 27817303,-27.5733,24.7458,G1450
G1641,Harts River At Lloyds,-28.375,24.325,G1641
G1673,Olifants River At Loskop Nat  Res,-25.41726,29.35807,G1673
G1447,Slabberts 27817822,-27.2983,28.4956,G1447
G1613,Orange River At Kakamas,-28.75806,20.62283,G1613
G1655,Great Fish River At Sout Vleij,-33.02764,25.89331,G1655
G1618,Orange River At Rietfontein,-29.325,22.275,G1618
G1617,Orange River At Boegoeberg Dam Res,-29.03008,22.18729,G1617
G1676,Komati River At M Weti,-25.45125,31.95175,G1676
G1650,Komati River At Komatipoort,-25.43661,31.98244,G1650
G1647,Doring River At Melkboom,-31.8625,18.68639,G1647
G1619,Orange River At Irene,-29.18285,23.57511,G1619
G1475,Aliwal Noord 27819103,-30.6781,26.7164,G1475
G1649,Krokodil River At Haakdoringdrift,-24.69508,27.409,G1649
G1460,Marksdrift 27815208,-29.1619,23.6958,G1460
G1642,Faure Crocodile River,-24.39619,27.08983,G1642
G1436,Tenbosch 27613216,-25.3636,31.9556,G1436
G1683,Wilge River At Ballingtomp,-27.30139,28.58556,G1683
G1459,Mandini 27661102,-29.175,31.375,G1459
G1471,Oranjedraai 27819109,-30.3364,27.3583,G1471
G1621,Vaal River At Gamagara,-28.40623,24.27124,G1621
G1615,Orange River At Kanon Island,-28.61843,21.09226,G1615
G1675,Mogalakwena River At Glen Alpine,-23.18415,28.69964,G1675
G6037,Doring Rivier At Elands Drift - Aspoort -27712202-,-32.5028,19.535,G6037
G1612,Orange River At Kakamas South,-28.625,20.425,G1612
G1465,Prieska 27815102,-29.6517,22.7458,G1465
G1609,Orange River At Goodhouse,-28.89729,18.23717,G1609
G1659,Sak River At Williston,-31.375,20.875,G1659
G1644,Harts River At Spitskop,-28.16291,24.47069,G1644
G1639,Riet River At Estate Biesiesbult,-28.96037,24.24207,G1639
G1677,Olifants River At Warm Water,-33.66,21.77306,G1677
G1643,Groot River At Sandpoort,-33.45778,24.68978,G1643
G1660,Vet River At Fizantkraal,-27.935,26.12444,G1660
G1418,Beibrug Ds,-22.2261,29.9903,G1418
G1473,Hol Pads Leegte 27814016,-30.4744,20.5192,G1473
G1661,Mogalakwena River At Leniesrus,-22.55019,28.89752,G1661
G1608,Orange Rivier At Vioolsdrif,-28.76507,17.6266,G1608
G1466,Vluytjeskraal 27815205,-29.825,24.425,G1466
G1667,Sondags River At De Draay,-33.09931,25.0115,G1667
G1610,Orange River At Pella Mission,-28.9634,19.15192,G1610
