fid,name,lat,lon,type,report_date
5,Mzalagwe secondary school borehole ,-11.6116464,33.5659081,Borehole or tubewell,
7,Mbiriyawaka Shallow Well,-11.7828257,33.5019448,Unprotected dug well,
9,Chaluwa water point ,-10.9761126,33.7182222,Piped into public tap / standpipe / basin,
11,Chigwere Tap 13,-11.0236744,33.8433463,Piped into public tap / standpipe / basin,
13,Msiya Chirwa Borehole ,-11.6131466,33.6331581,Borehole or tubewell,
17,Domphi kumwenda borehole ,-11.0599821,33.8002383,Borehole or tubewell,
19,Nkhalamuntheta,-10.7640361,34.0298160,Piped into public tap / standpipe / basin,
22,Manson chinula water point ,-11.0250182,33.8557628,Piped into public tap / standpipe / basin,
29,Makupula,-10.9635907,33.6929032,Piped into public tap / standpipe / basin,
31,Mwenekadzungu,-10.7379542,34.0426748,Piped into public tap / standpipe / basin,
35,Chikalamba,-11.0154626,33.8492036,Piped into public tap / standpipe / basin,
36,Cheyeka,-10.9513796,33.7500178,Piped into public tap / standpipe / basin,
40,Mjuma,-10.9635907,33.7684987,Piped into public tap / standpipe / basin,
43,Chatumbwa,-11.0265499,33.8528353,Piped into public tap / standpipe / basin,
44,Bongololo,-10.9790590,33.7430537,Piped into public tap / standpipe / basin,
48,Mebo Nyasulu pvt tap,-10.7622564,34.2009954,Piped into public tap / standpipe / basin,
51,Mutu FP School Borehole,-11.7022212,33.4212882,Borehole or tubewell,
52,Chatumbwa,-11.0189932,33.8422670,Piped into public tap / standpipe / basin,
54,Nyachima wp,-10.9940467,33.7126821,Piped into yard/plot,
55,GVH kayunguna tap,-10.9888018,33.7742211,Piped into yard/plot,
56,Amosi munthali  water point ,-11.0084127,33.8448041,Piped into public tap / standpipe / basin,
57,Chigwere,-11.0234731,33.8411099,Piped into public tap / standpipe / basin,
33760,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
21313,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
26668,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
35830,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
65,Doloba tap 11,-11.0191225,33.8665812,Piped into yard/plot,
67,Chivwenene,-10.9519335,34.0991724,Protected dug well,
70,Yalero,-10.8264308,34.1002108,Piped into public tap / standpipe / basin,
71,Bota Nyirongo  Borehole  1,-11.7210593,33.6952721,Borehole or tubewell,
74,Winnie Mhango tap ,-10.8568384,33.9842362,Piped into yard/plot,
75,John Mwafongo dugwell,-9.9517461,33.9214300,Unprotected dug well,
33760,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
21313,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
26668,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
35830,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
33760,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
21313,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
26668,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
35830,Mr Mzumala,-10.4210000,33.7820000,Borehole or tubewell,
85,Lubinga,-10.9889309,33.7604957,Piped into public tap / standpipe / basin,
86,Chamahiya Chimaliro Water Point,-11.2530568,33.8158637,Borehole or tubewell,
87,Chatumbwa Tap ,-11.0189924,33.8415536,Piped into public tap / standpipe / basin,
88,Chikalamba,-11.0251727,33.8527258,Piped into public tap / standpipe / basin,
89,Chatumbwa,-11.0260238,33.8498135,Piped into public tap / standpipe / basin,
91,Kafukule Primary school Borehole 3,-11.4647399,33.6329599,Borehole or tubewell,
94,Ngomiawo Moyo  1 borehole ,-11.7137432,33.5464899,Borehole or tubewell,
95,Mwale school borehole ,-10.8709109,34.0561945,Borehole or tubewell,
96,Yaulungu,-10.8643345,33.9976791,Piped into public tap / standpipe / basin,
97,Mbiriwizi primary School,-10.9854951,33.8227875,Borehole or tubewell,
98,Kayiwale,-11.0066214,33.7969990,Piped into public tap / standpipe / basin,
104,Goodson mhango tap,-10.7379166,34.0418579,Piped into public tap / standpipe / basin,
107,Rodha gumbo water point ,-11.0124162,33.8456970,Piped into public tap / standpipe / basin,
115,Chekha wp,-10.9524050,33.6840817,Piped into yard/plot,
120,Chamakozga WP,-10.9821368,33.7419357,Piped into yard/plot,
123,Kanyankhunde school borehole 2,-11.5379514,33.3651106,Borehole or tubewell,
127,Chikhangawa wp,-10.9896835,33.7617176,Piped into yard/plot,
128,Ziyaka Ngwira  borehole,-11.6102768,33.3625528,Borehole or tubewell,
129,Zgawa tap 1,-10.9771868,33.6725907,Piped into yard/plot,
130,Chatumbwa,-11.0205757,33.8432468,Piped into public tap / standpipe / basin,
132,Levi Chisi Village Water Point,-11.9322473,33.5227243,Borehole or tubewell,
133,Kasawambe,-10.9764896,33.7448822,Piped into public tap / standpipe / basin,
136,Chimwela borehole ,-10.9967786,33.8116817,Borehole or tubewell,
137,Chatumbwa vh,-11.0211609,33.8417579,Piped into public tap / standpipe / basin,
139,Robert Lungu tap,-11.0148183,33.8525388,Piped into public tap / standpipe / basin,
140,Chigwere,-11.0214431,33.8342253,Piped into public tap / standpipe / basin,
141,Andala Malinga ,-12.0588775,33.3088345,Protected dug well,
144,Chakolagalu Jere Borehole ,-11.4534894,33.6962698,Borehole or tubewell,
145,Good Kawonga Tap ,-11.0179092,33.8453554,Piped into public tap / standpipe / basin,
147,Chakoma,-10.9203540,33.7355160,Piped into public tap / standpipe / basin,
150,Emmanuel Nkhoma Borehole ,-11.5232717,33.6374271,Protected dug well,
154,Mwachikwezga,-10.7317470,34.0252058,Surface water,
156,Sosole Mhango,-10.7561682,34.2057519,Surface water,
157,Mwachirwa Tap 2,-11.0147225,33.8046312,Piped into public tap / standpipe / basin,
158,Yaulungu,-10.8636087,33.9966748,Piped into public tap / standpipe / basin,
164,Kitchen WP,-10.9603247,33.6481666,Piped into yard/plot,
165,Mwazulanga,-10.9983385,33.6543664,Protected dug well,
168,Obey WP,-10.9892683,33.7588969,Piped into yard/plot,
169,JUWIRI VILLAGE TAP 2,-10.9354508,33.9394917,Piped into public tap / standpipe / basin,
171,Lwasho vokolani 01,-9.9911610,33.9506961,Borehole or tubewell,
173,Jalira - mtawanda water point,-11.0218135,33.7453609,Borehole or tubewell,
174,Leah Mnthali tap ,-11.0165980,33.9427335,Piped into yard/plot,
176,Kaboma saka  shallowwell,-12.2502247,33.7279504,Protected dug well,
177,Chanyeka Gondwe villge borehole ,-11.1920615,33.5592338,Borehole or tubewell,
178,Malata Mtonga borehole ,-11.8791501,33.3551054,Borehole or tubewell,
179,Phonex secondary school tap,-9.9311289,33.9370565,Piped into public tap / standpipe / basin,
181,Vitanda borehole,-10.9129420,34.0300574,Borehole or tubewell,
184,Nchenachena epa 2,-10.7520183,34.0230290,Piped into public tap / standpipe / basin,
185,Bongololo,-10.9738901,33.7385008,Piped into public tap / standpipe / basin,
186,Mwaziko borehole ,-10.7360416,34.1700295,Borehole or tubewell,
187,,-10.1035944,33.9503390,,
190,Doloba tap 12,-11.0173840,33.8665115,Piped into yard/plot,
194,Chimayi,-10.9342361,33.7390573,Piped into public tap / standpipe / basin,
198,Jonas Borehole ,-11.0130326,33.9653262,Borehole or tubewell,
199,Chigezelo Chibaka borehole ,-11.1956536,33.8264538,Borehole or tubewell,
200,Chaleka FP School borehole ,-11.3229287,33.8165310,Borehole or tubewell,
209,Chilomba 2 waterpoint,-12.1921240,33.3492536,Protected dug well,
210,Tambala tap,-11.0202862,33.8620124,Piped into yard/plot,
211,R Chilembo tap,-11.0072243,33.8515145,Piped into yard/plot,
212,Nickson Chizotera,-10.9321393,33.7390375,,
213,Mshani tap,-11.0164313,33.8711241,Piped into yard/plot,
214,Mgabi shaba borehole ,-12.2823780,33.5132033,Borehole or tubewell,
215,Razalo water point,-11.1894687,33.9394232,Piped into public tap / standpipe / basin,
216,Aubrey  mtumbuka  water point ,-11.0091884,33.8497796,Piped into public tap / standpipe / basin,
217,SGH Chaparanyika,-10.9496653,33.7456650,,
227,Mgubani Mbeye Water Point,-11.9116470,33.5258879,Borehole or tubewell,
245,Uchindami borehole,-12.0615861,33.4188774,Protected dug well,
247,Chotha borehole,-11.8937075,33.5430567,Borehole or tubewell,
251,Mgubani Shallowell,-12.1827246,33.3229671,Protected dug well,
256,Makanjira communal tap,-10.7586802,34.2012055,Piped into public tap / standpipe / basin,
257,Kachenga area borehole ,-11.4771767,33.8516404,Borehole or tubewell,
258,Thomas Msukwa Tap ,-11.0194405,33.8428112,Piped into public tap / standpipe / basin,
264,Mtalama,-10.8452377,33.9923467,Piped into public tap / standpipe / basin,
268,Sarah kaunda water point ,-11.0267879,33.8519586,Piped into public tap / standpipe / basin,
269,Mtanila,-11.0642187,33.6215538,Protected dug well,
270,Odiodi borehole,-11.4456686,33.4161792,Borehole or tubewell,
273,DCT,-9.9363169,33.9276047,,
274,Lake,-9.9365604,33.9274318,,
286,Mwamuwiliri,-10.9487839,33.9773815,Piped into public tap / standpipe / basin,
287,Chikalamba,-11.0253470,33.8552363,Piped into public tap / standpipe / basin,
288,Chisinde,-10.9236889,33.6315817,Protected dug well,
289,Blantyre Tap,-10.9641158,33.6654402,Piped into yard/plot,
298,Chikalamba,-11.0136274,33.8532610,Piped into public tap / standpipe / basin,
299,Mgubani 2 bore hole,-11.5397289,33.3671857,Borehole or tubewell,
304,Gogo Mlambika wp,-10.9740871,33.7426755,Piped into yard/plot,
313,Kakila tap,-10.7573654,34.0335692,Piped into public tap / standpipe / basin,
317,Lubinga  water point  ,-10.9849179,33.7593831,Piped into public tap / standpipe / basin,
334,Chikwetu 2 borehole,-11.0497727,33.6994324,Borehole or tubewell,
335,Chibagombe dug well,-11.0662924,33.7101078,Unprotected dug well,
336, Kalinda makuni borehole,-11.0748119,33.6953202,Borehole or tubewell,
338,Muhungwa,-10.9838909,33.6189869,Protected dug well,
339,Chatumbwa,-11.0269603,33.8489800,Piped into public tap / standpipe / basin,
340,Kachipumpha mhone borehole 2,-11.3297417,33.9157867,Borehole or tubewell,
341,Molly nyasulu tap,-11.0266627,33.8672776,Piped into public tap / standpipe / basin,
343,Kasongwe primary school borehole,-11.0636388,33.6826912,Borehole or tubewell,
344,Mferp borehole,-11.0841592,33.6975221,Borehole or tubewell,
346,Katete - Kaulufu,-10.7311990,34.0432180,Piped into public tap / standpipe / basin,
347,Chilongozi,-10.9783970,33.7451014,Piped into public tap / standpipe / basin,
366,Madji yathika borehole,-11.0834802,33.6741667,Borehole or tubewell,
367,Chandiwila,-11.0782155,33.6830368,Borehole or tubewell,
374,Mzuni,-11.2318385,33.9592869,Piped into yard/plot,
378,Yiwele Mkandawire borehole 1,-11.1083301,33.7458412,Borehole or tubewell,
379,Kamphere borehole,-10.9173196,33.6482242,Borehole or tubewell,
380,Chilamasinda borehole,-10.9256124,33.6420821,Borehole or tubewell,
382,Chiwuta shallow well,-10.9288484,33.6361854,Protected dug well,
383,Lonjera borehole,-10.9029104,33.6576116,Borehole or tubewell,
384,Chinkhokwe borehole,-10.9176691,33.6577365,Borehole or tubewell,
385,Jumbamu ndhlovu borehole,-11.5134038,33.3385949,Borehole or tubewell,
386,Mkama primary school 1 borehole,-10.9064446,33.7078666,Borehole or tubewell,
387,Catherine chizala tap ,-10.9491739,33.7386851,Piped into yard/plot,
390,,-9.9827640,33.8316816,,
391,Leonard  nyasulu  water point ,-11.0275518,33.8491962,Piped into public tap / standpipe / basin,
401,Mughogho tap 4,-11.0105844,33.8632463,Piped into yard/plot,
402,,-11.1843554,33.5658699,Borehole or tubewell,
406,Chikalamba,-11.0135008,33.8531323,Piped into public tap / standpipe / basin,
408,,-9.9347350,33.9313490,,
410,Violet gondwe  water point ,-11.0121100,33.8458829,Piped into public tap / standpipe / basin,
411,Brigth luhanga tap ,-11.0211990,33.8482569,Piped into yard/plot,
418,Pililani gondwe  water point ,-11.0250469,33.8450814,Piped into public tap / standpipe / basin,
420,,-12.0783781,33.4398479,Borehole or tubewell,
421,Winess  ngambi  water point ,-11.0259973,33.8535068,Piped into public tap / standpipe / basin,
425,Yaulungu,-10.8629315,33.9969019,Piped into public tap / standpipe / basin,
426,Mwang'Onga,-10.9564736,33.9311013,Piped into public tap / standpipe / basin,
428,Chigumba water point,-11.0000464,33.7639374,Borehole or tubewell,
