name,description,type,depth,vulnerability,fid,lat,lon
Mzalagwe secondary school borehole ,Near Mzalagwe Health centre ,Borehole or tubewell,0,no risk,5,-11.6116464,33.5659081
Mbiriyawaka Shallow Well,Near Katope trees,Unprotected dug well,0,no risk,7,-11.7828257,33.5019448
Chaluwa water point ,Near  bluegum tree ,Piped into public tap / standpipe / basin,0,no risk,9,-10.9761126,33.7182222
Chigwere Tap 13,Near Baobab tree ,Piped into public tap / standpipe / basin,0,no risk,11,-11.0236744,33.8433463
Msiya Chirwa Borehole ,Near Jandalala -Emoneni Road ,Borehole or tubewell,0,no risk,13,-11.6131466,33.6331581
Domphi kumwenda borehole ,Near msangusangu trees ,Borehole or tubewell,0,no risk,17,-11.0599821,33.8002383
Nkhalamuntheta,,Piped into public tap / standpipe / basin,0,no risk,19,-10.7640361,34.0298160
Manson chinula water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,22,-11.0250182,33.8557628
Makupula,,Piped into public tap / standpipe / basin,0,no risk,29,-10.9635907,33.6929032
Mwenekadzungu,,Piped into public tap / standpipe / basin,0,no risk,31,-10.7379542,34.0426748
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,35,-11.0154626,33.8492036
Cheyeka,,Piped into public tap / standpipe / basin,0,no risk,36,-10.9513796,33.7500178
Mjuma,,Piped into public tap / standpipe / basin,0,no risk,40,-10.9635907,33.7684987
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,43,-11.0265499,33.8528353
Bongololo,,Piped into public tap / standpipe / basin,0,no risk,44,-10.9790590,33.7430537
Mebo Nyasulu pvt tap,At Mebo Nyasulu's compound,Piped into public tap / standpipe / basin,0,no risk,48,-10.7622564,34.2009954
Mutu FP School Borehole,Near Mangoe Tree,Borehole or tubewell,0,no risk,51,-11.7022212,33.4212882
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,52,-11.0189932,33.8422670
Nyachima wp,Private tap,Piped into yard/plot,0,no risk,54,-10.9940467,33.7126821
GVH kayunguna tap,Near chitotho tree ,Piped into yard/plot,0,no risk,55,-10.9888018,33.7742211
Amosi munthali  water point ,Near mango tree ,Piped into public tap / standpipe / basin,0,no risk,56,-11.0084127,33.8448041
Chigwere,,Piped into public tap / standpipe / basin,0,no risk,57,-11.0234731,33.8411099
Mr Mzumala,,Borehole or tubewell,0,no risk,33760,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,21313,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,26668,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,35830,-10.4210000,33.7820000
Doloba tap 11,Near rumphi river ,Piped into yard/plot,0,no risk,65,-11.0191225,33.8665812
Chivwenene,,Protected dug well,0,no risk,67,-10.9519335,34.0991724
Yalero,,Piped into public tap / standpipe / basin,0,no risk,70,-10.8264308,34.1002108
Bota Nyirongo  Borehole  1,Near bota nyirongo  village,Borehole or tubewell,0,no risk,71,-11.7210593,33.6952721
Winnie Mhango tap ,Along the way to kauka primary school ,Piped into yard/plot,0,no risk,74,-10.8568384,33.9842362
John Mwafongo dugwell,Near thorn tree,Unprotected dug well,0,no risk,75,-9.9517461,33.9214300
Mr Mzumala,,Borehole or tubewell,0,no risk,33760,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,21313,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,26668,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,35830,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,33760,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,21313,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,26668,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,35830,-10.4210000,33.7820000
Lubinga,,Piped into public tap / standpipe / basin,0,no risk,85,-10.9889309,33.7604957
Chamahiya Chimaliro Water Point,,Borehole or tubewell,0,no risk,86,-11.2530568,33.8158637
Chatumbwa Tap ,Near future Hill ,Piped into public tap / standpipe / basin,0,no risk,87,-11.0189924,33.8415536
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,88,-11.0251727,33.8527258
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,89,-11.0260238,33.8498135
Kafukule Primary school Borehole 3,Near Kafukule Primary school ,Borehole or tubewell,0,no risk,91,-11.4647399,33.6329599
Ngomiawo Moyo  1 borehole ,At the  junction to  visenthe ,Borehole or tubewell,0,no risk,94,-11.7137432,33.5464899
Mwale school borehole ,Near Mwale primary school ,Borehole or tubewell,0,no risk,95,-10.8709109,34.0561945
Yaulungu,,Piped into public tap / standpipe / basin,0,no risk,96,-10.8643345,33.9976791
Mbiriwizi primary School,"TA  Chikulamayembe, Rumphi. Near Mbiriwizi Primary School",Borehole or tubewell,0,no risk,97,-10.9854951,33.8227875
Kayiwale,,Piped into public tap / standpipe / basin,0,no risk,98,-11.0066214,33.7969990
Goodson mhango tap,Along the road from WUA office to TA mwalweni ,Piped into public tap / standpipe / basin,0,no risk,104,-10.7379166,34.0418579
Rodha gumbo water point ,Near mawelewele river ,Piped into public tap / standpipe / basin,0,no risk,107,-11.0124162,33.8456970
Chekha wp,Private tap,Piped into yard/plot,0,no risk,115,-10.9524050,33.6840817
Chamakozga WP,Private Tap,Piped into yard/plot,0,no risk,120,-10.9821368,33.7419357
Kanyankhunde school borehole 2,100 my from kanyankhunde primary school,Borehole or tubewell,0,no risk,123,-11.5379514,33.3651106
Chikhangawa wp,Private Tap,Piped into yard/plot,0,no risk,127,-10.9896835,33.7617176
Ziyaka Ngwira  borehole,Along Thale - Lukwelukwe road near Hon. Ngwira house,Borehole or tubewell,0,no risk,128,-11.6102768,33.3625528
Zgawa tap 1,Near mwachanda to kamphenda road,Piped into yard/plot,0,no risk,129,-10.9771868,33.6725907
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,130,-11.0205757,33.8432468
Levi Chisi Village Water Point,Near Manyamula road,Borehole or tubewell,0,no risk,132,-11.9322473,33.5227243
Kasawambe,,Piped into public tap / standpipe / basin,0,no risk,133,-10.9764896,33.7448822
Chimwela borehole ,Near buwira last church after Buwira trading centre ,Borehole or tubewell,0,no risk,136,-10.9967786,33.8116817
Chatumbwa vh,Near tenthere school,Piped into public tap / standpipe / basin,0,no risk,137,-11.0211609,33.8417579
Robert Lungu tap,Near chikhuni to bondi road,Piped into public tap / standpipe / basin,0,no risk,139,-11.0148183,33.8525388
Chigwere,,Piped into public tap / standpipe / basin,0,no risk,140,-11.0214431,33.8342253
Andala Malinga ,Near ant hill ,Protected dug well,0,no risk,141,-12.0588775,33.3088345
Chakolagalu Jere Borehole ,Near Elangeni -Kapangamawe Road ,Borehole or tubewell,0,no risk,144,-11.4534894,33.6962698
Good Kawonga Tap ,NEAR KATANGAJA MAIZE MILL ,Piped into public tap / standpipe / basin,0,no risk,145,-11.0179092,33.8453554
Chakoma,,Piped into public tap / standpipe / basin,0,no risk,147,-10.9203540,33.7355160
Emmanuel Nkhoma Borehole ,Near Thitimila Stream ,Protected dug well,0,no risk,150,-11.5232717,33.6374271
Mwachikwezga,,Surface water,0,no risk,154,-10.7317470,34.0252058
Sosole Mhango,,Surface water,3.0006103515625,high risk,156,-10.7561682,34.2057519
Mwachirwa Tap 2,Near mango tree ,Piped into public tap / standpipe / basin,0,no risk,157,-11.0147225,33.8046312
Yaulungu,,Piped into public tap / standpipe / basin,0,no risk,158,-10.8636087,33.9966748
Kitchen WP,Private Tap,Piped into yard/plot,0,no risk,164,-10.9603247,33.6481666
Mwazulanga,,Protected dug well,0,no risk,165,-10.9983385,33.6543664
Obey WP,Private Tap,Piped into yard/plot,0,no risk,168,-10.9892683,33.7588969
JUWIRI VILLAGE TAP 2,Near the 2 mango trees,Piped into public tap / standpipe / basin,0,no risk,169,-10.9354508,33.9394917
Lwasho vokolani 01,Near lake malawi shores,Borehole or tubewell,0,no risk,171,-9.9911610,33.9506961
Jalira - mtawanda water point,Along chikwawa to kazuni,Borehole or tubewell,0,no risk,173,-11.0218135,33.7453609
Leah Mnthali tap ,Near Kesha tree ,Piped into yard/plot,0,no risk,174,-11.0165980,33.9427335
Kaboma saka  shallowwell,"Near anthill, alongside kachiwongowongo stream 1",Protected dug well,0,no risk,176,-12.2502247,33.7279504
Chanyeka Gondwe villge borehole ,Close to mango tree ,Borehole or tubewell,0,no risk,177,-11.1920615,33.5592338
Malata Mtonga borehole ,Near Community Of Christ church ,Borehole or tubewell,0,no risk,178,-11.8791501,33.3551054
Phonex secondary school tap,Near gwafa and mango trees,Piped into public tap / standpipe / basin,0,no risk,179,-9.9311289,33.9370565
Vitanda borehole,About 300 meters from the chief's compound,Borehole or tubewell,0,no risk,181,-10.9129420,34.0300574
Nchenachena epa 2,Near kasalamba mountain ,Piped into public tap / standpipe / basin,0,no risk,184,-10.7520183,34.0230290
Bongololo,,Piped into public tap / standpipe / basin,0,no risk,185,-10.9738901,33.7385008
Mwaziko borehole ,Along jalawe bunga road ,Borehole or tubewell,0,no risk,186,-10.7360416,34.1700295
,,,0,no risk,187,-10.1035944,33.9503390
Doloba tap 12,Near rumphi river ,Piped into yard/plot,0,no risk,190,-11.0173840,33.8665115
Chimayi,,Piped into public tap / standpipe / basin,0,no risk,194,-10.9342361,33.7390573
Jonas Borehole ,Near msangusangu tree ,Borehole or tubewell,0,no risk,198,-11.0130326,33.9653262
Chigezelo Chibaka borehole ,200m behind roman Catholic Church ,Borehole or tubewell,0,no risk,199,-11.1956536,33.8264538
Chaleka FP School borehole ,A water point at Chaleka School ,Borehole or tubewell,0,no risk,200,-11.3229287,33.8165310
Chilomba 2 waterpoint,Near Rukulu river,Protected dug well,0,no risk,209,-12.1921240,33.3492536
Tambala tap,Near  St Denis Road ,Piped into yard/plot,0,no risk,210,-11.0202862,33.8620124
R Chilembo tap,Near magawa to st dennis road,Piped into yard/plot,0,no risk,211,-11.0072243,33.8515145
Nickson Chizotera,The tap is within the village and it is private,,0,no risk,212,-10.9321393,33.7390375
Mshani tap,Near rumphi river ,Piped into yard/plot,0,no risk,213,-11.0164313,33.8711241
Mgabi shaba borehole ,Near ngundu River ,Borehole or tubewell,0,no risk,214,-12.2823780,33.5132033
Razalo water point,Near baobao tree,Piped into public tap / standpipe / basin,0,no risk,215,-11.1894687,33.9394232
Aubrey  mtumbuka  water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,216,-11.0091884,33.8497796
SGH Chaparanyika,Closer to SGH Chaparanyika,,0,no risk,217,-10.9496653,33.7456650
Mgubani Mbeye Water Point,,Borehole or tubewell,0,no risk,227,-11.9116470,33.5258879
Uchindami borehole,Near katope tree,Protected dug well,0,no risk,245,-12.0615861,33.4188774
Chotha borehole,Near Chotha football ground,Borehole or tubewell,0,no risk,247,-11.8937075,33.5430567
Mgubani Shallowell,Near Mgubani village,Protected dug well,0,no risk,251,-12.1827246,33.3229671
Makanjira communal tap,Close to mlowe bridge ,Piped into public tap / standpipe / basin,0,no risk,256,-10.7586802,34.2012055
Kachenga area borehole ,Near Enyezini Trading Centre ,Borehole or tubewell,0,no risk,257,-11.4771767,33.8516404
Thomas Msukwa Tap ,Near Chisekese Tree ,Piped into public tap / standpipe / basin,0,no risk,258,-11.0194405,33.8428112
Mtalama,,Piped into public tap / standpipe / basin,0,no risk,264,-10.8452377,33.9923467
Sarah kaunda water point ,Near masuku tree ,Piped into public tap / standpipe / basin,0,no risk,268,-11.0267879,33.8519586
Mtanila,,Protected dug well,0,no risk,269,-11.0642187,33.6215538
Odiodi borehole,Near the road to euthini market,Borehole or tubewell,0,no risk,270,-11.4456686,33.4161792
DCT,,,0,no risk,273,-9.9363169,33.9276047
Lake,,,0,no risk,274,-9.9365604,33.9274318
Mwamuwiliri,,Piped into public tap / standpipe / basin,0,no risk,286,-10.9487839,33.9773815
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,287,-11.0253470,33.8552363
Chisinde,,Protected dug well,0,no risk,288,-10.9236889,33.6315817
Blantyre Tap,Near ruviri to chirambo road,Piped into yard/plot,0,no risk,289,-10.9641158,33.6654402
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,298,-11.0136274,33.8532610
Mgubani 2 bore hole,Near the houses,Borehole or tubewell,0,no risk,299,-11.5397289,33.3671857
Gogo Mlambika wp,Private Tap,Piped into yard/plot,0,no risk,304,-10.9740871,33.7426755
Kakila tap,Along the road from nkhomboli to lura,Piped into public tap / standpipe / basin,0,no risk,313,-10.7573654,34.0335692
Lubinga  water point  ,Near  musangusangu tree ,Piped into public tap / standpipe / basin,0,no risk,317,-10.9849179,33.7593831
Chikwetu 2 borehole,,Borehole or tubewell,0,no risk,334,-11.0497727,33.6994324
Chibagombe dug well,,Unprotected dug well,0,no risk,335,-11.0662924,33.7101078
 Kalinda makuni borehole,,Borehole or tubewell,0,no risk,336,-11.0748119,33.6953202
Muhungwa,,Protected dug well,0,no risk,338,-10.9838909,33.6189869
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,339,-11.0269603,33.8489800
Kachipumpha mhone borehole 2,Near kalihoro mosque ,Borehole or tubewell,0,no risk,340,-11.3297417,33.9157867
Molly nyasulu tap,Near road to mzuzu,Piped into public tap / standpipe / basin,0,no risk,341,-11.0266627,33.8672776
Kasongwe primary school borehole,,Borehole or tubewell,0,no risk,343,-11.0636388,33.6826912
Mferp borehole,,Borehole or tubewell,0,no risk,344,-11.0841592,33.6975221
Katete - Kaulufu,,Piped into public tap / standpipe / basin,0,no risk,346,-10.7311990,34.0432180
Chilongozi,,Piped into public tap / standpipe / basin,0,no risk,347,-10.9783970,33.7451014
Madji yathika borehole,,Borehole or tubewell,0,no risk,366,-11.0834802,33.6741667
Chandiwila,,Borehole or tubewell,0,no risk,367,-11.0782155,33.6830368
Mzuni,,Piped into yard/plot,0,no risk,374,-11.2318385,33.9592869
Yiwele Mkandawire borehole 1,Near mango trees ,Borehole or tubewell,0,no risk,378,-11.1083301,33.7458412
Kamphere borehole,,Borehole or tubewell,0,no risk,379,-10.9173196,33.6482242
Chilamasinda borehole,,Borehole or tubewell,0,no risk,380,-10.9256124,33.6420821
Chiwuta shallow well,,Protected dug well,0,no risk,382,-10.9288484,33.6361854
Lonjera borehole,,Borehole or tubewell,0,no risk,383,-10.9029104,33.6576116
Chinkhokwe borehole,,Borehole or tubewell,0,no risk,384,-10.9176691,33.6577365
Jumbamu ndhlovu borehole,Near the houses,Borehole or tubewell,0,no risk,385,-11.5134038,33.3385949
Mkama primary school 1 borehole,,Borehole or tubewell,0,no risk,386,-10.9064446,33.7078666
Catherine chizala tap ,Near orange tree ,Piped into yard/plot,0,no risk,387,-10.9491739,33.7386851
,,,0,no risk,390,-9.9827640,33.8316816
Leonard  nyasulu  water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,391,-11.0275518,33.8491962
Mughogho tap 4,Near mayembe river ,Piped into yard/plot,0,no risk,401,-11.0105844,33.8632463
,,Borehole or tubewell,0,no risk,402,-11.1843554,33.5658699
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,406,-11.0135008,33.8531323
,,,0.247589111328125,intermediate risk,408,-9.9347350,33.9313490
Violet gondwe  water point ,Near banana tree ,Piped into public tap / standpipe / basin,0,no risk,410,-11.0121100,33.8458829
Brigth luhanga tap ,Near mango tree ,Piped into yard/plot,0,no risk,411,-11.0211990,33.8482569
Pililani gondwe  water point ,Near  cassava tree ,Piped into public tap / standpipe / basin,0,no risk,418,-11.0250469,33.8450814
,,Borehole or tubewell,0,no risk,420,-12.0783781,33.4398479
Winess  ngambi  water point ,Near mango tree ,Piped into public tap / standpipe / basin,0,no risk,421,-11.0259973,33.8535068
Yaulungu,,Piped into public tap / standpipe / basin,0,no risk,425,-10.8629315,33.9969019
Mwang'Onga,,Piped into public tap / standpipe / basin,0,no risk,426,-10.9564736,33.9311013
Chigumba water point,Along chikwawa bolero road (jandang'ombe,Borehole or tubewell,0,no risk,428,-11.0000464,33.7639374
Lusuntha borehole,,Borehole or tubewell,0,no risk,429,-11.0682179,33.7205965
Paul banda tap,Near rumphi river,Piped into public tap / standpipe / basin,0,no risk,430,-11.0316500,33.8746756
Mbiriyawaka Moyo borehole,Near football ground,Borehole or tubewell,0,no risk,434,-11.7794805,33.5033896
Gindiloni shallow well,Near rukulu river,Protected dug well,0.7587890625,high risk,439,-12.2052163,33.3517163
Mwamlowe,,Piped into public tap / standpipe / basin,0,no risk,441,-10.7726879,34.2041386
Chenyentha,,Protected dug well,0,no risk,442,-10.8300418,34.0105809
Mwanza mtumbuka borehole,Near chilulu school,Borehole or tubewell,0,no risk,444,-10.9061072,33.9596595
Magwambani bolehole ,Near cenderera trees ,Borehole or tubewell,0,no risk,445,-11.7578404,33.4478989
Baphani  Kamanga  borehole ,Along  Eswazini road,Borehole or tubewell,0,no risk,446,-11.7149565,33.5909609
Chawanangwa kayila tap ,Near the road from Rumphi CCAP Church to chankhomi commuty day secondary school ,Piped into yard/plot,0,no risk,447,-11.0194593,33.8506248
Kamulawanga Kaira borehole ,Near katonthowolo river,Borehole or tubewell,0,no risk,449,-11.2362272,33.8257680
Kamunthambani Mtonga borehole ,25 metres from muchemani tree,Borehole or tubewell,0,no risk,450,-11.4331108,33.4914943
Machawane shallow well ,Near chimulu hills,Protected dug well,0,no risk,454,-10.9393979,34.0958103
Laston kaira waterpoint,Near bolero to hewe m24 road,Piped into yard/plot,0,no risk,458,-10.9812102,33.7401621
Kahami borehole ,Along themail road from mdimwa to zombe ,Borehole or tubewell,0,no risk,459,-10.7987621,34.0587144
Chivwanyuma primary school  tap,Along the road from chivwanyuma to nkhomboli ,Piped into public tap / standpipe / basin,0,no risk,460,-10.7841882,34.0297090
Manyung'unya borehole,,Borehole or tubewell,0,no risk,461,-10.9027128,33.7013674
Kayisuke Dug well ,Near Kamnyololo stream,Protected dug well,0,no risk,468,-11.8164987,33.7036357
Chaula tap,Near ruviri river,Piped into public tap / standpipe / basin,0,no risk,479,-10.9594951,33.6556339
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,504,-11.0263782,33.8541307
Msambala tap,Along kawaza to jumbi road,Piped into public tap / standpipe / basin,0,no risk,505,-10.9423073,33.7452402
Makupula,,Protected dug well,0,no risk,506,-10.9690431,33.6945909
Msongawumo tap,Along the road from nchenachena to nchenachena smallholder ,Piped into public tap / standpipe / basin,0,no risk,509,-10.7537765,34.0296282
Jando mghogho,Near kawaza to jumbi road,Piped into yard/plot,0,no risk,510,-10.9413960,33.7459989
Kettie Banda shallow well ,North of vitima shallow well,Protected dug well,0,no risk,511,-12.1666780,33.4312520
Kamatang'Ombe,,Piped into public tap / standpipe / basin,0,no risk,512,-10.9273102,33.9626584
Mwvere communal tap ,Close to a very large mango tree along mlowe mfulu road ,Piped into public tap / standpipe / basin,0,no risk,516,-10.7916565,34.2096031
Mpata,Mwenitete,Borehole or tubewell,0,no risk,12100,-9.9567133,33.8265700
Mpata,Mwenitete,Borehole or tubewell,0,no risk,21303,-9.9567133,33.8265700
Chipiku borehole,Near Embangweni Chipiku store,Borehole or tubewell,0,no risk,577,-12.1412302,33.4728541
Vwalako shallow well ,Near pakambwa area,Protected dug well,0,no risk,620,-10.8533028,34.0664483
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,33480,-9.9368230,33.9261400
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,5563,-9.9368230,33.9261400
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,33334,-9.9368230,33.9261400
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,33480,-9.9368230,33.9261400
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,5563,-9.9368230,33.9261400
Aunt Mwiza Lodge,Mwalimba,Borehole or tubewell,0,no risk,33334,-9.9368230,33.9261400
Kacheche  water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,648,-10.9705202,33.7424618
Kayange Borehole ,Near Mango tree ,Borehole or tubewell,0,no risk,655,-9.9593496,33.9112543
Mbale tap ,Near the trees ,Piped into yard/plot,0,no risk,661,-10.8562507,33.9950557
Ireen munthali tap,Near Bolero magestrate court ,Piped into yard/plot,0,no risk,681,-10.9743822,33.7481644
Chawezi Hlongo water point,Near mkhuru dam,Protected dug well,0,no risk,742,-12.1353960,33.4662874
Mnjiri Secondary school Monitoring well,,Borehole or tubewell,0,no risk,749,-11.8914229,33.5830262
Echulumbeni F.P. School Monitoring well,situated in Madede,Borehole or tubewell,0,no risk,757,-11.5363729,33.2945195
Chifwefwe 2 kaitchaye borehole,Near a big bluegum tree,Borehole or tubewell,0,no risk,758,-11.4664138,33.4798603
Solomoni Moyo community borehole ,Near kanyika river ,Borehole or tubewell,0,no risk,759,-11.7943861,33.6742084
Alfred  kamanga  water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,761,-11.0228659,33.8455340
Matunkha Tap 2,Near Matunkha hill ,Piped into public tap / standpipe / basin,0,no risk,764,-11.0196336,33.8376527
Victor  tembo water point ,Near bluegum tree ,Piped into public tap / standpipe / basin,0,no risk,777,-11.0263225,33.8520052
Msekanawana tap,Near mango trees,Piped into public tap / standpipe / basin,0,no risk,779,-11.1734899,33.9507553
Kantcheni primary school borehole ,Close to kafukule  -Mkwangwali road,Borehole or tubewell,0,no risk,781,-11.4371873,33.5944313
Khongono 2,"TA Changata, Thyolo",Borehole or tubewell,0,no risk,782,-10.9855148,33.8227844
Zebediya Beza community  borehole ,Near kasito river ,Borehole or tubewell,0,no risk,783,-11.7230369,33.6889836
Vwalika tap,Near magawa to st dennis road,Piped into yard/plot,0,no risk,787,-11.0076517,33.8535290
Samson borehole ,Along Emsizin -Ekwenden road ,Borehole or tubewell,0,no risk,795,-11.4381257,33.8298777
Chimoyo,,Piped into public tap / standpipe / basin,0,no risk,796,-11.0065541,34.0729788
Gogo chirwa tap,Near RU 2 school,Piped into public tap / standpipe / basin,0,no risk,803,-11.0286680,33.8716886
Lura cdss water point 2,Near nyirenda 's compound ,Borehole or tubewell,0,no risk,808,-10.7280661,34.0464100
Mtungambewa borehole,Near a mango tree,Borehole or tubewell,0,no risk,810,-10.8162585,34.0136701
Mtete tap ,Near bluegum trees ,Piped into yard/plot,0,no risk,811,-10.9368236,33.9216464
Mary Mhone wp,Private tap,Piped into yard/plot,0,no risk,814,-10.9768453,33.7434756
Mdoyi,,Piped into public tap / standpipe / basin,0,no risk,815,-10.7892671,34.2071863
Thom sowoya tap,Near bondi road,Piped into yard/plot,0,no risk,828,-11.0131361,33.8518449
Zamukolani tap,Near mangoe tree,Piped into public tap / standpipe / basin,0,no risk,834,-11.0149558,33.8497137
Kaulambwe shallowwell ,Between anthills,Protected dug well,0,no risk,835,-12.2590594,33.6847291
Nkhundukundu Chimaliro waterpoint ,Near bluegum trees ,Piped into public tap / standpipe / basin,0,no risk,836,-11.2517337,33.7982617
Mwaphoka tap 2,Near magawa to st dennis road,Piped into yard/plot,0,no risk,837,-11.0068695,33.8517918
Kagowa Nyirenda borehole ,Near kagowa Nyirenda village ,Borehole or tubewell,0,no risk,838,-11.3056483,33.9330617
Mwawembe  tap,Near munga tree,Piped into public tap / standpipe / basin,0,no risk,82,-9.9228432,33.9457936
Stanry moyo tap,Near kapanthi tree ,Piped into yard/plot,0,no risk,840,-11.0148239,33.8443647
Mkhondweni water point,It is in the valley of joke river,Protected dug well,0,no risk,842,-12.2525438,33.4798842
Jacob munthali  water point ,Near  mango tree ,Piped into public tap / standpipe / basin,0,no risk,846,-11.0271461,33.8487615
Phoseka Jere Borehole 2,Near Chamavi River ,Borehole or tubewell,0,no risk,849,-11.4370224,33.6285613
Davie kayilast tap ,Near the road from Rumphi CCAP Church to chankhomi ,Piped into yard/plot,0,no risk,851,-11.0195070,33.8505809
Andrew Muyaba well ,Near Kamembe stream ,Protected dug well,0,no risk,853,-11.5863233,33.7078235
Kaonga tap,Along the road from nnchenachena to lura trading ,Piped into public tap / standpipe / basin,0,no risk,854,-10.7343011,34.0407346
Mdekezga shallow well 1,Near lupololo river,Protected dug well,0,no risk,856,-10.9685215,34.1088629
Brian Gondwe tap,Near mangoe tree,Piped into yard/plot,0,no risk,857,-10.9546785,33.7620077
Chimfyonyo 2 tap,Near m24 road,Piped into yard/plot,0,no risk,859,-10.9667580,33.6659880
Aunt thoko tap,Near Enukweni clinic,Piped into public tap / standpipe / basin,0,no risk,860,-11.1817518,33.8869201
,,Borehole or tubewell,0,no risk,861,-9.9435785,33.8721531
Bembe water point,"TA Chikulamayembe , Rumphi",Borehole or tubewell,0,no risk,863,-10.9740320,33.6711950
,,Borehole or tubewell,0,no risk,865,-11.1776607,33.6598727
Chivunguru water point,"TA.Mwahenga, Rumphi",Borehole or tubewell,0,no risk,866,-10.8791000,34.0225940
Mr. Mbizi well ,Near Muwale stream,Protected dug well,0,no risk,868,-11.4553051,33.9396182
Mafumu water point,"T.A Chikulamayembe , Rumphi",Borehole or tubewell,0,no risk,869,-11.0459790,33.6559900
Chilenga,,Piped into public tap / standpipe / basin,0,no risk,871,-10.7304335,34.0442375
Bowe Nkhonjera water point,T.A Chikulamayembe ,Borehole or tubewell,0,no risk,872,-11.0834760,33.6920070
Nkhalamuntheta,,Piped into public tap / standpipe / basin,0,no risk,874,-10.7472355,34.0229271
Kachenjere water point,"T.A Zolokere, Rumphi",Borehole or tubewell,0,no risk,875,-10.8523710,33.3723100
Takatika Lungu Water Point,,Borehole or tubewell,0,no risk,878,-11.5758300,33.5869400
Thunda communal tap,Close to mwachisoti tank ,Piped into public tap / standpipe / basin,0,no risk,880,-10.7833676,34.2035309
Malita WP,Private tap,Piped into yard/plot,0,no risk,884,-10.9458144,33.7675594
Cheyama 2,Private tap but worn out,Piped into yard/plot,0,no risk,886,-10.9340590,33.7369383
Kanyama Mkandawire borehole ,Near Kavuwo  river,Borehole or tubewell,0,no risk,889,-11.3519165,33.4229805
,,Borehole or tubewell,0,no risk,890,-11.8039790,33.3350539
Chigwere,,Piped into public tap / standpipe / basin,0,no risk,903,-11.0237395,33.8489592
Mlimo Primary School borehole ,Near Kamuzunguzeni Hill ,Borehole or tubewell,0,no risk,904,-11.5022167,33.7444644
John nyirendas tap ,Near papaw tree ,Piped into yard/plot,0,no risk,905,-10.9794133,33.7449077
Zanadi Banda Borehole ,Near  Kesha tree,Borehole or tubewell,0,no risk,907,-11.9032031,33.5988766
,,,0.3060302734375,intermediate risk,908,-9.9346070,33.9311170
KAPETA ABANDONED COMMUNAL TAP ,Near an Orange/Mango trees,Piped into public tap / standpipe / basin,0,no risk,909,-10.9358996,33.9329752
Aaron Chalatani Makwakwa Water Point,,Borehole or tubewell,0.52197265625,high risk,910,-11.1437246,33.6623786
Mercy mzumala water point ,Near masuku tree ,Piped into public tap / standpipe / basin,0,no risk,912,-11.0256664,33.8520037
Musa Nkosi Dug well ,Near Katope tree ,Protected dug well,0,no risk,914,-11.7939320,33.7628914
Kasasa  school water point,T.A Chikulamayembe Rumphi,Borehole or tubewell,0,no risk,920,-10.8553400,33.6577900
Bulex msimuko water point ,Near cassava tree ,Piped into public tap / standpipe / basin,0,no risk,924,-11.0085086,33.8455264
Samuel makwakwa 2 borehore ,Close to ezweleni road ,Borehole or tubewell,0,no risk,928,-11.2891114,33.6606917
Chatonda school,,Borehole or tubewell,0,no risk,930,-11.7750129,33.6040822
Patamo Kamanga,,Borehole or tubewell,0,no risk,931,-11.7739362,33.6000097
Chikota School,,Borehole or tubewell,0,no risk,932,-11.0904439,33.7088533
