name,description,type,depth,vulnerability,fid,lat,lon
Mpapalika shallowell ,Near  musewe tree,Unprotected dug well,0,no risk,29205,-10.9679518,33.6238404
Hoho CDSS shallowwell ,Alongside road from hoho school to kathundu FP school ,Protected dug well,0,no risk,29206,-12.2726742,33.6869866
Chimombo tap,Near luwazi intake,Piped into public tap / standpipe / basin,0,no risk,29207,-11.1753242,33.9559102
Chimzinga Tembo 3,Near Mtwalo -Ekwendeni Road ,Borehole or tubewell,0,no risk,29212,-11.3801487,33.7792947
Kettle Tembo shallow well,West of uchindami CBO,Protected dug well,0,no risk,29213,-12.1687686,33.4355989
Kadambo  muwelu  shallowwell ,Near  anthill ,Protected dug well,0,no risk,29214,-12.2669094,33.6820146
Nyakathira  tap ,Near bluegum trees ,Piped into yard/plot,0,no risk,29215,-11.0127212,33.8604914
Euthini health centre water tap,Near mwamaliza tree and in side the hospital,Piped into public tap / standpipe / basin,0,no risk,29216,-11.4581799,33.4191956
Kayuniwata Abandoned Tap,Just behind Stuart Ngwira's House,Piped into public tap / standpipe / basin,0,no risk,29217,-10.9860827,33.9249202
Nowel chipeta tap ,Near mango tree ,Piped into yard/plot,0,no risk,29218,-10.9757016,33.7488275
Nyozomu Munthali water point ,Near  chikuyu tree,Borehole or tubewell,0,no risk,29220,-11.1381182,33.9140473
E. Kapira tap,Near mcherenje hills,Piped into yard/plot,0,no risk,29221,-11.0103945,33.8529381
Phwezi girls secondary school water tap 3,Near phwezi girls secondary school administration hall ,Piped into public tap / standpipe / basin,0,no risk,29226,-10.8870627,34.0437013
Kachilamlandu borehole,Near the road to mzimba,Borehole or tubewell,0,no risk,29227,-11.5495498,33.4089360
Lonely chinkhuntha  2 shallow well ,Near goat khola,Protected dug well,0,no risk,29228,-11.5494959,33.4091417
William  chirwa tap,Under  muula tree ,Piped into public tap / standpipe / basin,0,no risk,29232,-12.2719234,33.6728346
Mkolasatto tap,Along the road from nchenachena to nchenachena smallholder ,Piped into public tap / standpipe / basin,0,no risk,29234,-10.7497160,34.0253416
William chirwa shallowwell ,Near road path from hoho school to kathundu FP school ,Protected dug well,0,no risk,29236,-12.2695212,33.6705966
Malema 2 communal kiosk,Near karonga district hospital,Piped into public tap / standpipe / basin,0,no risk,29238,-9.9514055,33.9097770
Raphael Kagala ,Near guava tree ,Piped into yard/plot,0,no risk,29244,-10.8574806,33.9850618
Bombota Ng'oma water point ,Near orange tree,Borehole or tubewell,0,no risk,29250,-11.1222706,33.9284611
Lutheran church protected dug well,Near gofant tree,Borehole or tubewell,0,no risk,29253,-9.9348643,33.9232059
Pentecost Holliness Association tap,Opposite mango tree,Piped into public tap / standpipe / basin,0,no risk,29256,-9.9407793,33.9207785
Katowoyela Kanye ndau water point ,Near mango tree & ant-hill ,Borehole or tubewell,0,no risk,29262,-11.1154129,33.9378136
Rukuru CDSS borehole ,Neare mphangala  trees,Borehole or tubewell,0,no risk,29264,-11.0646125,33.7546746
Cheyeka water point 4,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,29268,-10.9497053,33.7448047
Kasayo waterpoint,Near mshunguti tree,Borehole or tubewell,0,no risk,29270,-10.0601178,33.9739264
Kazengo borehole,Beside kazengo school,Borehole or tubewell,0,no risk,29272,-11.9068896,33.5845990
Mtheto Lubanda Village borehole ,Near Kamuzuwe stream ,Borehole or tubewell,0,no risk,29275,-11.5027805,33.7678024
Kasindi Moyo Village borehole 2 ,Near Kajirange stream ,Borehole or tubewell,0,no risk,29277,-11.4939573,33.7197939
Kasindi Moyo Village borehole 1 ,Near Kajirange stream ,Borehole or tubewell,0,no risk,29280,-11.4949119,33.7201989
Tione kanyasko tap ,Near visekese tree ,Piped into yard/plot,0,no risk,29281,-10.9765428,33.7484882
Callings Gondwe tap ,Near lupalamizi luviri river at Bolero ,Piped into yard/plot,0,no risk,29282,-10.9744288,33.7486854
Dadie Butawo tap,Near bluegam tree ,Piped into yard/plot,0,no risk,29283,-10.9816911,33.7434582
Chikakula 2 borehole ,Along the road from chivwanyuma to nkhomboli ,Borehole or tubewell,0,no risk,29284,-10.7887845,34.0268287
Kasindi Moyo Village Village borehole 3 ,Near Masato dambo ,Borehole or tubewell,0,no risk,29288,-11.5016787,33.7201464
Manyamula Health Centre tap 2,Near Moringa tree,Piped into public tap / standpipe / basin,0,no risk,29290,-11.9397543,33.4387608
