country_code,fid,name,education_level,school_year,source,school_id,amenity,lat,lon,depth,vulnerability
ETH,118,ሂልቶፕስ አካዳሚ Hilltops Academy,,,,,,9.02,38.718,0,no risk
ETH,119,ቤት ትምህርቲ ዒላላ - Elala primarily & junior secondary school,,,,,,13.511,39.481,0,no risk
ETH,120,Mekelle University: Veterinary Campus,,,,,,13.46,39.467,0,no risk
ETH,121,AMU Nechsar campus,,,,,,6.025,37.552,0,no risk
ETH,122,Gebeya Computer Training,,,,,,8.99,38.782,0,no risk
ETH,123,Junior school,,,,,,7.535,39.254,0,no risk
ETH,124,Arsi Universty Bekoji Campus,,,,,,7.525,39.247,0,no risk
ETH,125,Bekoji  Sinior Secondary school,,,,,,7.542,39.254,0,no risk
ETH,126,,,,,,,12.012,38.004,0,no risk
ETH,127,,,,,,,11.121,39.631,0,no risk
ETH,128,,,,,,,11.567,39.618,0,no risk
ETH,129,,,,,,,11.564,39.643,0,no risk
ETH,130,,,,,,,11.523,39.579,0,no risk
ETH,131,,,,,,,11.569,39.433,0,no risk
ETH,132,,,,,,,11.617,39.38,0,no risk
ETH,133,,,,,,,11.576,39.246,0,no risk
ETH,134,,,,,,,11.554,39.542,0,no risk
ETH,135,,,,,,,11.561,39.6,0,no risk
ETH,136,,,,,,,11.581,39.358,0,no risk
ETH,137,,,,,,,13.291,37.606,0,no risk
ETH,138,Hawas Prepararory School,,,,,,8.499,39.286,0,no risk
ETH,139,ቅዱስ ያቆብ 1ይ ብርኪ ቤት ት/ቲ St. Jacob primary school,,,,,,14.285,39.489,0,no risk
ETH,140,,,,,,,4.182,42.057,0,no risk
ETH,141,Ligaba School,,,,,,6.862,37.761,0,no risk
ETH,142,,,,,,,9.034,38.764,0,no risk
ETH,143,Asayita teachers training college,,,,,,11.577,41.433,0,no risk
ETH,144,,,,,,,9.065,38.735,0,no risk
ETH,145,Zebenay Kindergaten,,,,,,7.533,39.25,0,no risk
ETH,146,,,,,,,12.596,37.449,0,no risk
ETH,147,ECF Children's Fund,,,,,,9.191,39.15,0,no risk
ETH,148,Aleltu Primary School,,,,,,9.194,39.149,0,no risk
ETH,149,Bekoji TVET,,,,,,7.544,39.264,0,no risk
ETH,150,ECF Children's Fund,,,,,,9.191,39.15,0,no risk
ETH,151,,,,,,,9.093,43.178,0,no risk
ETH,152,,,,,,,13.875,39.564,0,no risk
ETH,153,Del Ber high school,,,,,,9.057,38.742,0,no risk
ETH,154,,,,,,,13.615,39.0,0,no risk
ETH,155,,,,,,,13.624,39.006,0,no risk
ETH,156,,,,,,,7.26,36.244,0,no risk
ETH,157,,,,,,,8.301,34.242,0,no risk
ETH,158,,,,,,,8.287,34.255,0,no risk
ETH,159,,,,,,,11.592,41.447,0,no risk
ETH,160,Azeb Acadamy and Kindergarten ኣዜብ ኣካምን መዋእለ ህፃናትን,,,,,,14.28,39.454,0,no risk
ETH,161,,,,,,,8.982,38.748,0,no risk
ETH,162,,,,,,,8.294,34.255,0,no risk
ETH,163,,,,,,,8.301,34.254,0,no risk
ETH,164,,,,,,,8.303,34.231,0,no risk
ETH,165,,,,,,,8.302,34.23,0,no risk
ETH,166,,,,,,,8.298,34.252,0,no risk
ETH,167,,,,,,,8.289,34.259,0,no risk
ETH,168,Unity University Dessie Campus,,,,,,11.129,39.634,0,no risk
ETH,169,tigat primary school,,,,,,8.98,38.699,0,no risk
ETH,170,,,,,,,5.787,36.562,0,no risk
ETH,171,,,,,,,5.784,36.568,0,no risk
ETH,172,Issac school,,,,,,7.243,37.902,0,no risk
ETH,173,,,,,,,9.037,38.752,0,no risk
ETH,174,,,,,,,8.302,34.24,0,no risk
ETH,175,,,,,,,8.301,34.241,0,no risk
ETH,176,,,,,,,8.288,34.254,0,no risk
ETH,177,Senafe Secondary School,,,,,,14.091,39.689,0,no risk
ETH,178,,,,,,,9.666,39.525,0,no risk
ETH,179,LG KOICA HOPE TVET COLLEGE,,,,,,8.986,38.861,0,no risk
ETH,180,Safari Academy,,,,,,9.013,38.846,0,no risk
ETH,181,Wachemo Comprehensive High School,,,,,,7.564,37.856,0,no risk
ETH,182,Bobicho Kale Hiwot Bible College,,,,,,7.578,37.842,0,no risk
ETH,183,Don Bosco Technical college  - ኮሌጅ ቴክኒክ ዶን ቦስኮ,,,,,,13.511,39.486,0,no risk
ETH,184,Hosaina Teachers Education College,,,,,,7.573,37.857,0,no risk
ETH,185,Cordova Academy,,,,,,8.981,38.747,0,no risk
ETH,186,,,,,,,9.669,39.532,0,no risk
ETH,187,,,,,,,7.551,37.856,0,no risk
ETH,188,,,,,,,13.458,39.487,0,no risk
ETH,189,Yekatit,,,,,,7.545,37.85,0,no risk
ETH,190,wachemo,,,,,,7.561,37.857,0,no risk
ETH,191,,,,,,,7.55,37.849,0,no risk
