branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
(Gplus Company ) Gplus Emergency Response Service,-16.673493,13.447401,,Modou Nyang,2203955395,national coverage with focuses on the Greater Banjul Area
(Gplus Company) Clinic,-16.672469,13.450356,,Modou Nyang,2203955395,Kanifing
