StationCode,stationName,lat,lon,fid
G4390,Sio A Kati,6.8789,0.8222,G4390
G3031,KOUMANGOU a KOUMANGOU,10.175,0.425,G3031
G4524,Sio A Kpedji,6.5317,1.0083,G4524
G4939,Oti A Sansanne Mango,10.3,0.4667,G4939
G4397,Sio A Togblekope,6.2833,1.2167,G4397
G4919,Ouke Ou Ouale A Mandouri,10.92,0.81,G4919
G4922,Kara A Nnaboupi,9.88,0.5667,G4922
G3034,KERAN a TITIRA capt.1 = Cnusc,10.025,1.075,G3034
G4933,Kara A Kpesside,9.635,0.955,G4933
G4755,Haho A Gati Station Principale,6.505,1.3375,G4755
G4901,Sansargou A Borgou,10.75,0.5667,G4901
G4756,Lili A Agbatope,6.45,1.25,G4756
G5286,Ogou A Sirka,7.9167,1.3667,G5286
G3029,KPAYA a ATCHANGBADE,9.475,1.125,G3029
G5026,Keran A Naboulgou Capt.1 = Cnusc,10.16,0.8167,G5026
G5285,Mono A Correkope,7.8,1.3,G5285
G5067,Reservoir Nangbeto,7.45,1.45,G5067
G5304,Anie A Pont C F T,7.7333,1.2,G5304
G4527,Yoto A Yotokope,6.7,1.3167,G4527
G4405,Mono A Tetetou,7.0167,1.5333,G4405
G3030,KARA a LAMA KARA 1,9.525,1.175,G3030
G3028,KPELOU a KPESSIDE 1,9.675,1.025,G3028
G4938,Yaweni A Paio,10.22,0.7167,G4938
