StationCode,stationName,lat,lon,fid
G4730,Gambie A Gouloumbo,13.4667,-13.7333,G4730
G4752,Senegal A Matam -Donnee Reconstituee-,15.65,-13.25,G4752
G4877,Faleme A Fadougou Drague -Donnee Reconstituee-,12.5167,-11.3833,G4877
G4729,Koulountou A Missirah-Gonasse,13.2,-13.6167,G4729
G4733,Gambie A Wassadou Aval,13.35,-13.3833,G4733
G1022,Mako,12.87,-12.35,G1022
G4849,Senegal A Dagana -Donnee Reconstituee-,16.517,-15.5,G4849
G4856,Koulountou A Parc Gue Du Pnnk,12.7833,-13.4833,G4856
G0996,Kidira,14.45,-12.22,G0996
G4839,Casamance A Kolda,12.875,-14.925,G4839
G0988,Bakel,14.9,-12.45,G0988
G1012,Wassadou Amont,13.35,-13.37,G1012
G1018,Simenti,13.03,-13.3,G1018
