id,lon,lat,fid,name,Country
1,41.88,9.58,1,wflow_dire_dawa_1,ETH
4,41.832,9.607,4,wflow_dire_dawa_4,ETH
5,41.82,9.59,5,wflow_dire_dawa_5,ETH
7,41.85,9.6,7,wflow_dire_dawa_7,ETH
