country_code,fid,name,lat,lon,education_level,school_year,source,vulnerability,depth,school_id,amenity
MWI,501307,Lemero Sch,-10.1902664031,34.0589526183,Primary,,government,no risk,0,,
MWI,501378,Lughali Sch,-10.0342517896,33.9612429596,Primary,,government,no risk,0,,
MWI,501403,Lupembe Sch,-10.0619824915,33.9935389709,Primary,,government,no risk,0,,
MWI,501872,Mlare Sch,-10.1713616075,34.0425644805,Primary,,government,no risk,0,,
MWI,501956,Mphanya Sch,-10.1723184776,34.0213717249,Primary,,government,no risk,0,,
MWI,501974,Mphughu Sch,-10.2119181229,33.9830208487,Primary,,government,no risk,0,,
MWI,502388,Ndembwera Sch,-10.1398721454,34.0211574683,Primary,,government,no risk,0,,
MWI,502894,Ibundya Sch,-10.1941624666,34.0395637879,Primary,,government,no risk,0,,
MWI,502895,Nthambo Sch,-10.1215530841,34.012165718,Primary,,government,no risk,0,,
MWI,502896,Gumi Sch,-10.2070004105,34.0712912256,Primary,,government,no risk,0,,
MWI,503775,Bwaye Sch,-10.1147461696,33.9361851807,Primary,,government,no risk,0,,
MWI,503794,Chinsogholo Sch,-10.0859956251,33.9833288818,Primary,,government,no risk,0,,
MWI,506262,Ndomomo,-10.0715227616,33.9679366731,Primary,,government,no risk,0,,
MWI,506673,Vilangali,-10.1438525643,33.9886711846,Primary,,government,no risk,0,,
MWI,500076,Bwiba Sch,-9.94545569565,33.8896480607,Primary,,government,no risk,0,,
MWI,500767,Ipyana Model Sch,-9.96902518357,33.9151580333,Primary,,government,no risk,0,,
MWI,502196,Mwenilondo Sch,-10.0020018558,33.93016037,Primary,,government,no risk,0,,
MWI,502802,Tumbi Sch,-10.0924933326,33.8843186715,Primary,,government,no risk,0,,
MWI,502899,Nthola CCAP Sch,-9.99102679641,33.9207983414,Primary,,government,no risk,0,,
MWI,503784,Karonga Demostration Sch,-9.96912409676,33.8997102377,Primary,,government,no risk,0,,
MWI,504742,Kabuyu J.P Sch,-10.1606219658,33.8666959127,Primary,,government,no risk,0,,
MWI,504770,Chisalankhanga,-10.0181285542,33.9361727234,Primary,,government,no risk,0,,
MWI,505605,Katili,-10.0440145043,33.8823887483,Primary,,government,no risk,0,,
MWI,505606,Mphwero,-10.0222525968,33.9292541228,Primary,,government,no risk,0,,
MWI,505608,John Dubbey,-9.95195600366,33.9234576608,Primary,,government,no risk,0,,
MWI,506672,ST Agness Sch,-9.96784536956,33.8892097525,Primary,,government,no risk,0,,
MWI,506675,King Laureate Institute Pvt,-9.94723726901,33.8851603567,Primary,,government,no risk,0,,
MWI,509441,Good Gift Pvt,-9.95875077921,33.914279931,Primary,,government,no risk,0,,
MWI,501127,Kasoba CCAP Sch,-9.87143857301,33.8723904397,Primary,,government,no risk,0,,
MWI,501401,Lupaso Sch,-9.92917260384,33.8591170962,Primary,,government,no risk,0,,
MWI,501534,Malimbalimba Sch,-9.90208028042,33.8542422972,Primary,,government,no risk,0,,
MWI,501554,Malungo Sch,-9.88313537642,33.9180455281,Primary,,government,no risk,0,,
MWI,501601,Masoko Sch,-9.9164647349,33.8790903221,Primary,,government,no risk,0,,
MWI,501891,Mlowo Sch,-9.89285310809,33.7992494927,Primary,,government,no risk,0,,
MWI,502659,Silu Sch,-9.93405346703,33.8238682768,Primary,,government,no risk,0,,
MWI,503417,Chipake Sch,-9.87590428056,33.8452410807,Primary,,government,no risk,0,,
MWI,503777,Chinsebe Sch,-9.91035574264,33.9008308246,Primary,,government,no risk,0,,
MWI,505611,Kisindile,-9.90196670054,33.9201868825,Primary,,government,no risk,0,,
MWI,501406,Lusako Sch,-9.8711494044,33.8983310471,Primary,,government,no risk,0,,
MWI,502382,Nchowo,-9.85001194212,33.8862493346,Primary,,government,no risk,0,,
MWI,505330,Mwimba Primary Sch,-9.86160974438,33.8567315776,Primary,,government,no risk,0,,
MWI,505331,Nalutete Primary Sch,-9.83418277666,33.7710561391,Primary,,government,no risk,0,,
MWI,505335,Kasisi Primary Sch,-9.85608866956,33.8416342141,Primary,,government,no risk,0,,
MWI,500066,Bvungu Sch,-10.0308152472,33.7788828885,Primary,,government,no risk,0,,
MWI,501114,Kasikizi Sch,-10.0003043992,33.8295230071,Primary,,government,no risk,0,,
MWI,501380,Luhenga J.P. Sch,-10.1076082025,33.7364557817,Primary,,government,no risk,0,,
MWI,502452,Nkhando Sch,-9.95902352219,33.804967146,Primary,,government,no risk,0,,
MWI,505345,Chilambiro Primary Sch,-9.9437255444,33.8659778233,Primary,,government,no risk,0,,
MWI,505346,Vilaule Primary Sch,-9.94411041829,33.7708216514,Primary,,government,no risk,0,,
MWI,505347,St Joseph Primary Sch,-10.0266595334,33.8278469464,Primary,,government,no risk,0,,
MWI,505348,Nayi Primary Sch,-9.97246063433,33.7727288774,Primary,,government,no risk,0,,
