stationCode,stationName,lat,lon,fid
G0990,Alcongui,14.75,0.6,G0990
G1028,W,12.5833,2.6167,G1028
G4639,Gorouol At Dolbel,14.62,0.3,G4639
G4908,Majia At Tsernaoua,13.88,5.33,G4908
G1007,Niamey,13.52,2.08,G1007
G1004,Garbe-Kourou,13.7333,1.6167,G1004
G1020,Diongore Amont,12.96,2.26,G1020
G4912,Boss Bangou,13.325,1.275,G4912
G4642,Dargol At Tera,14.02,0.75,G4642
G4918,Dargol A Kakassi,13.85,1.4333,G4918
G0991,Kandadji,14.6167,0.9833,G0991
