branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Blue Nile - ICRC,11.25,34.25,,NA,,Blue Nile
Blue Nile - ICRC 3,11.25,34.25,,NA,,Blue Nile
Gadaref - ICRC,14.0342,35.3839,,NA,,Gadaref
Gadaref- SRCS,14.0342,35.3839,,NA,,Gadaref
Gezira - NORCROSS,14.4443,33.4196,,NA,,Gezira
Gezira - NORCROSS 2,14.4443,33.4196,,NA,,Gezira
Gezira- SRCS,14.4443,33.4196,,NA,,Gezira
Kassala- SRCS,15.45,36.4,,NA,,Kassala
Khartoum - UNFPA 1,15.5007,32.5599,,NA,,Khartoum
Khartoum - UNFPA 2,15.5007,32.5599,,NA,,Khartoum
Khartoum - UNFPA 3,15.5007,32.5599,,NA,,Khartoum
Khartoum- SRCS,15.5007,32.5599,,NA,,Khartoum
North Darfur - ICRC,15.7833,24.0833,,NA,,North Darfur
North Kurdufan - SRCS,13.589973,30.396278,,NA,,North Kurdufan
Northern State - UNFPA 1,19.6129,30.4367,,NA,,Northern State
Northern State - UNFPA 2,19.6129,30.4367,,NA,,Northern State
Northern State - UNFPA 3,19.6129,30.4367,,NA,,Northern State
River Nile- SRCS,17.2283,33.7432,,NA,,River Nile
Sennar - UNFPA 1,13.55,33.6167,,NA,,Sennar
Sennar - UNFPA 2,13.55,33.6167,,NA,,Sennar
Sennar - UNFPA 3,13.55,33.6167,,NA,,Sennar
Sennar NORCROSS 1,13.55,33.6167,,NA,,Sennar
Sennar NORCROSS 2,13.55,33.6167,,NA,,Sennar
South Darfur - ICRC,11.691,25.337,,NA,,South Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
West Darfur- SRCS,13.7864,22.4473,,NA,,West Darfur
White Nile - NORCROSS 1,13.695,32.4455,,NA,,White Nile
White Nile - NORCROSS 2,13.695,32.4455,,NA,,White Nile
White Nile - UNFPA 1,13.695,32.4455,,NA,,White Nile
White Nile - UNFPA 2,13.695,32.4455,,NA,,White Nile
White Nile - UNFPA 3,13.695,32.4455,,NA,,White Nile
