stationCode,stationName,lat,lon,fid
G5075,Mpologoma at Budumba (82217),0.827,33.79,G5075
G5160,Mayanja (83218),0.67583,32.16967,G5160
G5189,Muzizi (85211),0.871,30.73004,G5189
G5196,Akokorio at Uganda Gauge,1.8,33.9,G5196
G5220,Manafwa at Butaleja (82212),0.936944,34.15778,G5220
G5227,Nkusi (85212),1.13006,30.98565,G5227
G5230,SIO RIVER (1AH01),0.3875,34.14167,G5230
G5317,Mitano (84267),-0.68333,29.8,G5317
