StationCode,stationName,lat,lon,fid
G5445,Kanzenze,-2.058748,30.08704,G5445
G5342,Nyundo,-1.725,29.325,G5342
G5347,Kagitumba,-1.075,30.425,G5347
G5446,Akagera A Rusumo,-2.38454,30.78087,G5446
G5432,Mwaka,-2.083801,29.62376,G5432
G5461,Rusumo,-1.418231,29.83247,G5461
G5512,Nyabarongo A Ruliba,-1.959973,30.00281,G5512
G5528,Mukungwa A Nyakinama,-1.551661,29.64344,G5528
G5456,Mfune,-2.201949,30.2778,G5456
