stationCode,stationName,lat,lon,fid
G2016,Martil Pont Torreta,35.56,-5.35,G2016
G2015,Chekkour Amzal,35.549492,-5.478269,G2015
G4341,Zat Tensift,31.543821,-7.598234,G4341
G4347,Ait Ouchene Oum Rbia,32.261579,-6.097405,G4347
G4195,Mdouar Loukkos,35.006288,-5.508718,G4195
G4342,Issen Aguenza,30.753,-9.155,G4342
G4200,Dar Driouch,34.972067,-3.386989,G4200
G4346,Rdat Tensift,31.638882,-7.475638,G4346
G2014,Hajra Benkarrich,35.514368,-5.447934,G2014
G4199,Derna,32.460233,-6.449955,G4199
G4352,Tizi Oum Rbia _ Asif Ouirine,32.411192,-5.743654,G4352
