stationCode,stationName,lat,lon,fid
G4208,Oued Siliana A Jebel La Ouedj Cote 140,36.53917,9.428184,G4208
G4438,Mejerda A Ghardimaou,36.451555,8.434965,G4438
G4212,Merguellil A Haffouz Telepherique,35.63194,9.660833,G4212
G4280,Hathob A Cassis Ain Saboun,35.57833,9.11555,G4280
G4233,Oued Tessa A Sidi Medienne,36.27889,8.953892,G4233
G4325,Miliane A Tuburbo Majus,36.39417,9.908,G4325
G4213,Mellegue A Mellegue K13,36.11694,8.4938,G4213
G4209,Hatab A Khanguet Zazia,35.09194,9.11778,G4209
G4478,Medjerda A Mejez Elbab,36.675,9.625,G4478
G4337,La Medjerda A Bou Salem,36.600707,8.966399,G4337
