StationCode,stationName,lat,lon,fid
G5074,Sigi River At Lanconi Estate -55212001-,-5.0139,38.7997,G5074
G5061,Mkondoa River At Mbarahwe -55221529-,-6.5958,36.7833,G5061
G5446,Akagera A Rusumo,-2.38454,30.78087,G5446
G1893,Na,-8.175,36.775,G1893
G5457,Seseni At Gulutu -55213302-,-4.4639,38.0611,G5457
G1892,Na,-8.025,38.975,G1892
G5046,Madukwa River At Mdukwe -55221531-,-6.8311,36.9333,G5046
G1216,Morogoro Road Bridge 55223108,-6.6889,38.6986,G1216
G5055,Little Ruaha At Iringa Ndiuka -55232302-,-7.7833,35.7167,G5055
G5044,Bubu At Thawi -55124029-,-4.6333,35.6833,G5044
G5533,Zambeze A Masigira,-9.9333,35.1833,G5533
