StationCode,stationName,lat,lon,fid
G5734,Zambeze At Marromeu Sena Sugar E285,-18.283333,35.936111,G5734
G6166,Na,-25.075,32.925,G6166
G5698,Zambeze At Caia S.S. E291,-17.825,35.425,G5698
G6199,Capoche-Capoche I,-15.125,32.725,G6199
G6197,Na,-15.225,39.075,G6197
G6170,Macarretane,-24.375,32.875,G6170
G6188,Na,-16.375,36.375,G6188
G6187,Luenha-Luenha 1,-16.525,33.425,G6187
G6174,Inhamhombe em Maxixe km12,-23.975,35.325,G6174
G6177,Vila Franca do Save,-21.125,34.525,G6177
G6209,Messalo em Chai E.N 243,-11.825,40.125,G6209
G6162,Maputo em Madubula I,-26.775,32.425,G6162
G6178,Buzi em Espungabera,-20.475,32.825,G6178
G6191,Mutamba em Jangamo E.N.1,-15.825,30.575,G6191
G6193,Na,-15.625,38.525,G6193
G6176,Save em Massangena,-21.525,32.975,G6176
G6183,Nhazania em J.E. da Costa,-18.475,33.375,G6183
G6203,Lugenda em Est. Litunde Marrupa,-13.475,36.275,G6203
G6202,Na,-14.025,38.925,G6202
G6198,Cherinze-Ponte Vuende,-15.175,33.025,G6198
G6207,Montepuez em Moja E.N.243,-12.625,40.025,G6207
G6175,Chefu,-22.225,32.475,G6175
G6189,Revubue em Chingodzi,-16.125,33.675,G6189
G6200,Lurio,-14.825,36.825,G6200
G6173,Na,-23.875,32.125,G6173
G6179,Buzi em Chibabava,-20.275,33.675,G6179
G6195,Gurue,-15.475,36.925,G6195
G6208,Lugenda em Est. Marrupa Mecula,-12.425,37.675,G6208
G5735,Licungo At Mocuba Ponte E91,-16.823333,36.988333,G5735
G6201,Lugenda em Congerane E.N.8,-14.225,35.975,G6201
G5701,Pungoe At En1 Ponte Gorongosa E651,-19.024444,34.18,G5701
G5693,Zambeze At Tete E320,-16.153611,33.589444,G5693
G6205,Montepuez em Mecuia,-13.075,38.975,G6205
G5707,Buzi At E.N.1 Goonda E456,-19.916667,33.866667,G5707
G6171,Jagamo,-24.125,35.325,G6171
G6190,Zembeze em Zumbo,-15.625,30.425,G6190
G6196,Na,-15.425,39.025,G6196
G6204,Megaruma em E.N.106 Chiure Pemba,-13.225,39.875,G6204
G6206,Na,-12.975,38.375,G6206
G6163,Umbeluzi em Goba Montante,-26.175,32.125,G6163
G6180,Revue,-19.775,33.825,G6180
G6181,Nhandare em Vila Paiva de Andrad,-18.675,34.075,G6181
G6164,Na,-26.025,32.275,G6164
G6169,Na,-24.475,34.275,G6169
G5847,Lucite At Dombe E246,-19.966667,33.4,G5847
G6192,Nametil,-15.725,39.325,G6192
G6182,Pungue em E.N.102,-18.575,33.275,G6182
G1431,Sicacate 58510036,-24.7444,33.5431,G1431
G6185,Zambeze em Mutarara,-17.425,35.075,G6185
G5708,Buzi At Estaquinha E188,-19.958333,34.166667,G5708
G6172,Na,-23.825,32.275,G6172
G6184,Pungue em Fronteira,-18.375,33.075,G6184
G6165,Na,-26.075,32.325,G6165
G1889,Limpopo At Chokwe E35,-24.502778,33.006944,G1889
G1890,Limpopo At Combomune E33,-23.416667,32.433333,G1890
G6167,Incomati en Magude,-25.025,32.625,G6167
G6186,Chire em Megaza Mutamba,-17.125,35.325,G6186
G1304,Est  Nairoto Montepuz 58262047,-12.5675,39.0,G1304
G6168,Limpopo em Xai-Xai,-25.025,33.625,G6168
G1782,Pungwe At Mafambisse En6 E67,-19.438889,34.535556,G1782
