StationCode,stationName,lat,lon,fid
G4902,Oueme A Affon,9.751153,2.095141,G4902
G1044,Couberi,11.75,3.33,G1044
G1090,Bonou,6.9,2.45,G1090
G4934,Mekrou A Kompongou Nouvelle Station,11.04,2.1636,G4934
G4794,Oueme A Hetin Sota,6.575,2.525,G4794
G5097,Yerou Maro A Barerou,9.35,2.3667,G5097
G4943,Irane A Koutakroukrou Rte Kandi-Segbana,11.067,3.0667,G4943
G4744,Mekrou A Yakrigourou,10.702,2.0181,G4744
G4810,Sota A Rte Kandi-Segbana Aval,10.983,3.25,G4810
G1089,Athieme,6.5829,1.6605,G1089
G5027,Oueme A Pont De Beterou,9.199179,2.267582,G5027
G5094,Couffo A Lanhounta - Lanta,7.1,1.8833,G5094
G1087,Sagon,7.17,2.43,G1087
G5030,Zou A Dome,7.1167,2.3333,G5030
G4909,Terou A Piste Okotorou-Wanou Cote 238,9.0833,2.093055,G4909
G1894,Alibori A Route Kandi-Banikoara -Aval-,11.233,2.65,G1894
G1081,Pont De Save,8.0,2.42,G1081
G4927,Okpara A Kaboua,8.25,2.7167,G4927
G1042,Malanville,11.8667,3.3833,G1042
G4783,Zou A Atcherigbe,7.567,2.066,G4783
