branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
IRANIAN RED CRESCENT communty clinic in niger balayara city,13.783403,2.962476,,dr shahin habib zadeh,9122500761,balayara city
IRANIAN RED CRESCENT society clinic in zinder  niger,13.517838,9.635253,,dr shahin habib zadeh,9122500761,zinder city in niger
IRANIAN RED CRESCENT society of the islamic republic of IRAN in niger niamey,13.475106,2.202609,,dr shahin habib zadeh,9122500761,yantala
