stationCode,stationName,lat,lon,fid
G6084,Kaytooy,0.79479,42.66959,G6084
G1606,Beletweyne,4.75,45.25,G1606
G1605,Bardheere,2.35,42.25,G1605
G6087,Bu Ale,1.225,42.575,G6087
G1607,Bulo Burti,3.85,45.55,G1607
G6088,Afgooye,2.125,45.125,G6088
G5244,Jamaame,0.02216,42.6801,G5244
G1908,Jowhar,2.775,45.525,G1908
G1903,Na,2.575,45.475,G1903
G6085,Kamsuma,0.175,42.775,G6085
G6089,Audegle,1.975,44.825,G6089
G6090,Balcad,2.375,45.375,G6090
G6086,Marerey,0.42789,42.72087,G6086
G6083,Jilib,0.525,42.775,G6083
G1604,Luuq,3.75,42.55,G1604
