stationCode,stationName,lat,lon,fid
G1264,NearChibote,-9.9061,29.501,G1264
G1265,ChungaRanch,-9.930000305,32.13000107,G1265
G1269,MbesumaPontoon60773245,-10,32.1667,G1269
G1271,PumpHouse,-10.175,30.975,G1271
G1294,ChembeFerry,-11.975,28.725,G1294
G1312,Mpatamato,-13.25,28.1333,G1312
G1319,KabompoPontoon60380051,-13.6,24.2166,G1319
G1320,Kafironda,-13.63329983,27.59000015,G1320
G1323,KelongwaSchool60334550,-13.7,26.3333,G1323
G1328,Lukulu60370030,-14.3833,23.2333,G1328
G1329,Mswebi,-14.4166,27,G1329
G1338,KafueHookBridge60334669,-14.9333,25.9166,G1338
G1340,LuangwaRoadBridge60332040,-14.9667,30.2167,G1340
G1344,NgwerereConfluence,-15.2167,28.5,G1344
G1351,Nyimba,-15.725,27.375,G1351
G1352,ItezhiTezhi,-15.7667,26.0166,G1352
G1353,Kasaka60334977,-15.8166,28.2166,G1353
G1361,Senanga60370001,-16.1167,23.25,G1361
G1373,KatimaMulilo64370001,-17.4833,24.3,G1373
G5696,Na,-16.35000038,23.45000076,G5696
