StationCode,stationName,lat,lon,fid
G5373,Djerem A Mbakaou Echelle Ii -Aval-,6.3333,12.8168,G5373
G5011,Mayo Kebi A Cossi,9.6167,13.867,G5011
G5039,Metchem A Gouri,6.2833,10.033,G5039
G5225,Dja A Somalomo,3.3611,12.747,G5225
G5273,Nyong A Olama,3.4333,11.283,G5273
G5234,Boumba A Biwala,3.2167,14.917,G5234
G5005,Benoue A Buffle Noir,8.1167,13.833,G5005
G5122,Mbam A Bac De Goura,4.5667,11.3667,G5122
G4779,Faro A Djelepo,8.65,12.817,G4779
G2009,Sanaga A Edea,3.7667,10.0667,G2009
G4865,Mungo A Mundame,4.5667,9.5333,G4865
G5370,Lom A Betare Oya,5.9167,14.1333,G5370
G5137,Mbalmayo,3.52,11.5,G5137
G5045,Dja A Bie,2.8,13.35,G5045
G5364,Kadei A Batouri,4.422769,14.324641,G5364
G4874,Logone A Katoa,10.834,15.073,G4874
G5232,Lokoundje A Lolodorf,3.2333,10.733,G5232
G4862,Mape A Au Pont De Magba  Amont,5.98761,11.261282,G4862
G5371,Kadey A Pana,4.2,14.6833,G5371
G5136,Sanaga A Nachtigal,4.35,11.6333,G5136
