stationCode,stationName,lat,lon,fid
G1382,Mukwe 64932102,-18.0333,21.4333,G1382
G5579,Ponte Do Cuije,-9.625,16.375,G5579
G5576,Nharea Dando,-11.225,17.425,G5576
G1381,Rundu 64932101,-17.9,19.7667,G1381
G5563,Capanda Barragem,-9.775,15.425,G5563
G5573,Na,-10.625,15.875,G5573
G5571,Cangandala Ponte Salazar,-9.875,16.275,G5571
