StationCode,stationName,lat,lon,fid
G1046,Banankoro,11.68898,-8.66526,G1046
G5029,Baoule At Madina Diassa,10.8,-7.67,G5029
G4778,Banifing At Kolondieba,11.07,-6.85,G4778
G1011,Oualia,13.590623,-10.375878,G1011
G4930,Kana,12.975,-6.325,G4930
G4883,Niger A Kenieroba,12.107,-8.32,G4883
G1000,Tilembeya,14.15,-4.98,G1000
G4793,Bagoe At Papara,10.63,-6.22,G4793
G1014,Siramakana,14.225728,-9.004682,G1014
G0995,Kayes,14.453516,-11.44,G0995
G4890,Mahina,13.725,-10.875,G4890
G4923,Douna,13.217252,-5.899745,G4923
G1037,Daka Saydou,12.1925,-10.3644,G1037
G0979,Akka,15.4,-4.23,G0979
G1040,Kouoro 2,12.025,-5.675,G1040
G1023,Koulikoro,12.859333,-7.556389,G1023
G0976,Ansongo,15.664934,0.494453,G0976
G1050,Bougouni,11.39821,-7.4497,G1050
G4881,Diangola,12.775,-9.475,G4881
G1010,Beneny Kegny,13.38,-4.92,G1010
G1786,Tamani,13.325,-6.825,G1786
G4859,Gao,16.225,-0.025,G4859
G1009,Toukoto,13.45,-9.88,G1009
G0966,Dire,16.279167,-3.383333,G0966
G0960,Koryoume,16.6666,-3.0333,G0960
G1034,Bafing Makana,12.55,-10.283334,G1034
G1029,Dioila,12.52,-6.8,G1029
G1784,Na,14.48842,-4.20549,G1784
G1785,Niger River At Tossaye,16.93,-0.58,G1785
G4872,Bamako,12.6313,-7.99846,G4872
G4886,Guelelinkoro,11.125,-8.575,G4886
G1017,Dibia,13.225,-10.775,G1017
G1048,Selingue,11.58,-8.17,G1048
G0968,Tonka,16.13,-3.75,G0968
G1041,Gouala,11.97,-8.23,G1041
G1002,Ke Macina,13.95,-5.37,G1002
G0998,Kabate,14.5228,-11.1955,G0998
G4877,Faleme A Fadougou Drague -Donnee Reconstituee-,12.5167,-11.3833,G4877
G1005,Kirango Aval,13.7167,-6.05,G1005
G1015,Gourbassy,13.395,-11.63,G1015
G1001,Sofara,14.01393,-4.2429,G1001
G4861,Pankourou,11.44886,-6.57652,G4861
G1003,Galougo,13.83,-11.13,G1003
