CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,lat,lon,depth,vulnerability,fid
"CODE0RangeIndex(start=1, stop=785, step=1)",Secha health center,Secha health center,,,,6.008,37.541,0,no risk,21
"CODE0RangeIndex(start=1, stop=785, step=1)",Guakepece clinic,Guakepece clinic,,,,8.009,37.98,0,no risk,22
"CODE0RangeIndex(start=1, stop=785, step=1)",Zizecio Clinic,Zizecio Clinic,,,,7.957,38.037,0,no risk,23
"CODE0RangeIndex(start=1, stop=785, step=1)",Tabor Medium Clinic,Tabor Medium Clinic,,clinic,,8.952,38.76,0,no risk,24
"CODE0RangeIndex(start=1, stop=785, step=1)",Dirma Pharmacy,Dirma Pharmacy,,,,12.607,37.467,0,no risk,25
"CODE0RangeIndex(start=1, stop=785, step=1)",Gojeb Dental Clinic,Gojeb Dental Clinic,,dentist,,9.03,38.756,0,no risk,26
"CODE0RangeIndex(start=1, stop=785, step=1)",Abadir Pharmacy,Abadir Pharmacy,,pharmacy,,8.993,38.781,0,no risk,27
"CODE0RangeIndex(start=1, stop=785, step=1)",Nile Pharmacy,Nile Pharmacy,,pharmacy,,9.004,38.786,0,no risk,28
"CODE0RangeIndex(start=1, stop=785, step=1)",Wegepeche clinic,Wegepeche clinic,,,,8.009,37.98,0,no risk,29
"CODE0RangeIndex(start=1, stop=785, step=1)",Erestino Dispensary,Erestino Dispensary,,,,3.456,39.553,0,no risk,30
"CODE0RangeIndex(start=1, stop=785, step=1)",Dr. Aemiro Higher Clinic,Dr. Aemiro Higher Clinic,,,,9.028,38.752,0,no risk,31
"CODE0RangeIndex(start=1, stop=785, step=1)",Dr. Abdurahman Duri Specialized Clinic Internal Medicine,Dr. Abdurahman Duri Specialized Clinic Internal Medicine,,,,9.001,38.74,0,no risk,32
"CODE0RangeIndex(start=1, stop=785, step=1)",Towfik Pharmacy,Towfik Pharmacy,,,,9.347,42.797,0,no risk,33
"CODE0RangeIndex(start=1, stop=785, step=1)",Weramo Pharmacy,Weramo Pharmacy,,,,9.021,38.877,0,no risk,34
"CODE0RangeIndex(start=1, stop=785, step=1)",Seyoum Special Eye Clinic,Seyoum Special Eye Clinic,,,,9.004,38.816,0,no risk,35
"CODE0RangeIndex(start=1, stop=785, step=1)",ከነማ ፋርማሲ ቁ.7 (ኦሊቢያ ዋና መስሪያቤት ፊት),ከነማ ፋርማሲ ቁ.7 (ኦሊቢያ ዋና መስሪያቤት ፊት),,,,8.974,38.761,0,no risk,36
"CODE0RangeIndex(start=1, stop=785, step=1)",Gotera Pharmacy,Gotera Pharmacy,,,,8.976,38.76,0,no risk,37
"CODE0RangeIndex(start=1, stop=785, step=1)",SOS Health Center,SOS Health Center,,,,5.934,43.547,0,no risk,38
"CODE0RangeIndex(start=1, stop=785, step=1)",Icon center of special surgery,Icon center of special surgery,,,,9.0,38.806,0,no risk,39
"CODE0RangeIndex(start=1, stop=785, step=1)",Wojel Health Center,Wojel Health Center,,,,10.224,38.02,0,no risk,40
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.005,38.464,0,no risk,41
"CODE0RangeIndex(start=1, stop=785, step=1)",ከሳ ጤና ጣቢያ/Health Sub Center,ከሳ ጤና ጣቢያ/Health Sub Center,,clinic,,10.902,36.975,0,no risk,42
"CODE0RangeIndex(start=1, stop=785, step=1)",ከሳ ጤና ጣቢያ/ Kessa Health Sub Center,ከሳ ጤና ጣቢያ/ Kessa Health Sub Center,,clinic,,10.895,36.974,0,no risk,43
"CODE0RangeIndex(start=1, stop=785, step=1)",በቆጂ ቀይመስቀል,በቆጂ ቀይመስቀል,,,,7.533,39.251,0,no risk,44
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.528,39.248,0,no risk,45
"CODE0RangeIndex(start=1, stop=785, step=1)",በቆጂ ጤና ጣቢያ,በቆጂ ጤና ጣቢያ,,,,7.539,39.258,0,no risk,46
"CODE0RangeIndex(start=1, stop=785, step=1)",Health Clinic,Health Clinic,,,,12.734,39.504,0,no risk,47
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.048,38.476,0,no risk,48
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.045,38.478,0,no risk,49
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,hospital,,7.052,38.473,0,no risk,50
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.047,38.492,0,no risk,51
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.037,38.487,0,no risk,52
