stationCode,stationName,lat,lon,fid
G5756,Kam Rivier At Klein Aub -64812004-,-23.8,16.6,G5756
G5763,Dawib At Dawib -64732005-,-21.867,15.567,G5763
G5925,Hudup At Breckhorn -64812007-,-24.817,17.167,G5925
G5770,Kuiseb At Schlesien Weir -64731001-,-23.267,15.8,G5770
G5922,Packriem Rivier At Karris -64812005-,-24.35,17.567,G5922
G5858,Tsauchab At Sesriem -64722401-,-24.517,15.767,G5858
G1422,Rooibank  64731011,-23.1833,14.65,G1422
G5758,Bismark At Stanco -64731003-,-22.967,16.383,G5758
G1611,Orange River At Onseepkans,-28.73592,19.30554,G1611
G1406,Ugab Slab  64734003,-21.0833,13.8,G1406
G5762,Omaruru At Omburo -64733003-,-21.3,16.2,G5762
G1427,Gobabeb,-23.5,14.9667,G1427
G5753,Omaruru At Etemba -64733002-,-21.433,15.667,G5753
G1391,Sesfontein,-19.1667,13.5667,G1391
G1382,Mukwe 64932102,-18.0333,21.4333,G1382
G1372,Ruacana 64740001,-17.4,14.2167,G1372
G1441,Tses 64812009,-25.9,17.9833,G1441
G1381,Rundu 64932101,-17.9,19.7667,G1381
G5938,Bethanien 64812013,-26.425,17.125,G5938
G5955,Gaap Rivier At Holoog -64812015-,-27.433,17.967,G5955
G5773,Khan At Ameib -64732004-,-21.817,15.617,G5773
G1404,Vingerklip  64734002,-20.4167,15.4667,G1404
G5980,Lowen Rivier At Geduld -64812012-,-26.767,18.467,G5980
G1444,Seeheim 64812008,-26.804041,17.769595,G1444
G5757,Ugab At Petersburg -64734001-,-20.2,16.133,G5757
G5906,Fish At Grass -64812001-,-24.167,17.35,G5906
G1434,Gochas,-25.0167,18.8833,G1434
G1453,Ai Ais 64812014,-27.9167,17.4833,G1453
G1608,Orange Rivier At Vioolsdrif,-28.76507,17.6266,G1608
G1979,Na,-17.875,19.625,G1979
G1378,Kongola,-17.675,23.375,G1378
G1727,Na,-17.525,24.625,G1727
G1610,Orange River At Pella Mission,-28.9634,19.15192,G1610
